xi,eta
4.4892035508898305,0.2215330598554522
4.481414639916726,0.21875699718202116
4.472992513622537,0.21570087414407288
4.4639250363617,0.21227479013490197
4.454233051024772,0.20831076079293548
4.443883810774961,0.20378562436235853
4.432958026412588,0.19843311160929947
4.421536350771249,0.19204652469113243
4.409860226115142,0.1842225431846194
4.398391019681762,0.17443931051275574
4.387902117166,0.1621638127262862
4.379724027976195,0.14695222743351194
4.375311890036101,0.1290400954334342
4.376005971770085,0.10937209463558462
4.381725491085038,0.0892013101338952
4.392000069447302,0.06939970577153623
4.406119855741909,0.05035795585746657
4.423538674418781,0.03220402203369904
4.443844414286399,0.014916089101152469
4.466756081779068,-0.0015816621071138776
4.492099816511032,-0.01736034403895801
4.519739140587378,-0.03253344792889774
4.549623819943283,-0.04713569078003044
4.581691665741445,-0.061274954136162005
4.615938822429911,-0.07497428927920663
4.652355816631543,-0.08829524710030087
4.690947096406871,-0.10128797656245087
4.731736243597255,-0.11396237625236513
4.774733844511696,-0.12638069896461288
4.819970118662457,-0.13854956366055474
4.867471194673882,-0.15049322712277657
4.917259423263407,-0.16225522795782835
4.969372307232769,-0.17381593765062756
5.023829856609143,-0.18522955008359915
5.080665265912499,-0.19648654511858107
5.139905517810848,-0.2075995113474202
5.201571876167661,-0.2186045317556572
5.265694751442509,-0.2294772508578114
5.332290531272719,-0.2402619449131502
5.401381491253324,-0.25095579215052766
5.472987043328239,-0.2615574928457562
5.547117703325611,-0.2721092274329865
5.623792185936169,-0.2825782720752157
5.703016457481572,-0.2930027050073423
5.784799260993008,-0.30337994853601224
5.869147388535513,-0.31369826603984663
5.956058137401491,-0.32399875029863934
6.045534501077313,-0.3342498283398815
6.137569176088425,-0.34448083071153046
6.232154211962971,-0.3547003249388973
6.329281575813728,-0.36488785336080287
6.428933133002113,-0.37508850694974927
6.531095522497321,-0.3852709831888991
6.635747015032073,-0.39545456048899996
6.742863469072096,-0.4056518803934001
6.8524216711237464,-0.41583262563579965
6.964388570547686,-0.42603819339944077
7.078734436640181,-0.4362410915041022
7.195423160781344,-0.44645045693694574
7.314414547705928,-0.4566890718445428
7.435670459852668,-0.4669223554620543
7.559143439299518,-0.4771920258270082
7.684788684553023,-0.48747583719080545
7.812556957671617,-0.4977724114981818
7.94239423698237,-0.5081080247656723
8.074249398989446,-0.5184414382072012
8.208062914410569,-0.5288073519720052
8.343777036886506,-0.5391885633428088
8.481331314754785,-0.5495740479432857
8.620659862343125,-0.5599972424363107
8.761700415032116,-0.5704170629946577
8.904383352679147,-0.5808661305070616
9.048640426499599,-0.5913350199521334
9.194402442272162,-0.6018044506380732
9.34159476305767,-0.6123096685225766
9.490147022960656,-0.6228066178725065
9.639982725116225,-0.6333192264648729
9.791026231868313,-0.6438429151102799
9.943202401966273,-0.6543506698250401
10.096430580524563,-0.6648816577581839
10.250634798575565,-0.6753952468694748
10.405734159869851,-0.6859124041758464
10.56164836571487,-0.696436989828906
10.718299068384551,-0.7069368889815523
10.875602756775232,-0.7174514982120312
11.033481041804908,-0.7279400611856044
11.19185187021321,-0.738414573964455
11.350633457732096,-0.7488826934175915
11.50974708595226,-0.7593066201743285
11.669109060457266,-0.7697269982413257
11.828640956566971,-0.7801082865418655
11.988261808006346,-0.7904595437627435
12.14789069358777,-0.800796521775735
12.30745086738132,-0.811079140258829
12.466861073751437,-0.8213472253118614
12.626045549039034,-0.8315668852055916
12.784927133380378,-0.841738630933012
12.943428435441286,-0.8518807484498366
13.101477042377569,-0.8619489932218177
13.258996271341589,-0.8719825226608154
13.41591484886064,-0.8819533361427285
13.572161043401,-0.8918593660384782
13.727662621742752,-0.9017263748047201
13.882353125750178,-0.9115099164366067
14.036162265787077,-0.9212478534837582
14.189025194836868,-0.9309148225624905
14.340877585960504,-0.9405008099901594
14.491654303378333,-0.9500330502060949
14.64129653882641,-0.9594637845255208
14.789741834526826,-0.9688289843211663
14.936932904091723,-0.9781092508930581
15.08281372399073,-0.9872923710378374
15.22732709146847,-0.9964126753966257
15.370422692033005,-1.0054235536892846
15.512046901637873,-1.0143597355448712
15.652151151492363,-1.0232050343611947
15.790688968228197,-1.0319397397986279
15.92761230707338,-1.04059905989224
16.062880404588594,-1.0491332248445258
16.196449254145147,-1.0575744384253398
16.32827948534421,-1.0659123585686936
16.458334412366945,-1.0741252464467073
16.58657525660541,-1.0822556808598096
16.712970952528277,-1.0902556837782393
16.83748738975919,-1.0981567901057159
16.960094870941443,-1.1059523322051996
17.08076713774216,-1.113612988527852
17.19947529346057,-1.1211823614741623
17.31619851575251,-1.1286085078501489
17.43091282712919,-1.1359203331926844
17.543598128621944,-1.143116999674165
17.654238275001827,-1.150166728128403
17.762813704495585,-1.1571220990435123
17.869313400046053,-1.163932570284206
17.9737231665451,-1.170627678231954
18.07603240102989,-1.1772108954981726
18.17623526488566,-1.1836413349545876
18.274321622178107,-1.1899743711629187
18.370290476313,-1.1961524599674265
18.464137183041526,-1.202203378964719
18.555860089669554,-1.2081367559388996
18.645462902927527,-1.2139070868560358
18.732943666316537,-1.2195839685211098
18.818310508330875,-1.2251079244751455
18.901567348898954,-1.2305109293320122
18.98272087103206,-1.235808081995991
19.06178433932885,-1.2409386825053155
19.13876346348265,-1.2459827325403767
19.21367582391156,-1.2508622744965512
19.286533136748247,-1.255612676342976
19.35734943826356,-1.2602565875725475
19.426146675696135,-1.2647177403465182
19.49293543063591,-1.2691155338601983
19.557742261958815,-1.273345737730586
19.62058404725703,-1.277472152521804
19.681481349970515,-1.2815212829715963
19.74046623902534,-1.2853639427122168
19.797549718665937,-1.2892078176391328
19.85277592557846,-1.292776263240218
19.906154759850963,-1.296327899702888
19.957729949300802,-1.2996212028055936
