node,y_over_Vt,material_dphi_dt_over_V2,similarity_material_dphi_dt_over_V2,auxiliary_psi_over_V2,difference_over_V2,cp_from_auxiliary,cp_from_finite_difference,cp_from_similarity_derivative
59,0.37771228630872145,-1.9774659266161843,-3.5619991629198355,-2.980507258145399,-1.0030413315292148,6.916042631509461,4.909959968451032,8.079026441058335
60,0.7554245726174429,-2.0158433719429105,-3.6436483942302087,-3.0534002319342415,-1.037556859991331,6.981452272899964,4.906338552917302,8.161948597491898
61,1.1331368589261641,-2.0694246782537453,-3.761721185249755,-3.1605563558495486,-1.0911316775958033,7.098002690763889,4.915739335572282,8.300332349564302
62,1.5108491452348858,-2.1425652600687295,-3.923157119043511,-3.307700663545714,-1.1651354034769845,7.2707859522923375,4.94051514533837,8.501698863287933
63,1.8885614315436072,-2.239159252962614,-4.138874125351755,-3.506220264711587,-1.2670610117489733,7.514169506614665,4.980047483116717,8.779477227895
64,2.2662737178523282,-2.366390315645117,-4.428280205951596,-3.776212619880103,-1.4098223042349858,7.853363072661071,5.033718464191099,9.157498244804056
65,2.64398600416105,-2.53746421564012,-4.826357703935108,-4.154036386653219,-1.6165721710130994,8.33306533458772,5.099920992561521,9.677707969151498
66,3.0216982904697716,-2.779405829393511,-5.401829335618215,-4.7111313615669905,-1.9317255321734796,9.037671421850199,5.174220357503239,10.419067369952646
67,3.399410576778493,-3.1614436214084662,-6.312969260441545,-5.608404163988433,-2.4469605425799665,10.14198682686063,5.248065741700698,11.551117019766854
68,3.7771228630872145,-3.95347310564248,-8.046628250380696,-7.296221553577206,-3.3427484479347265,12.0300845074227,5.344587611553248,13.530897901029679
