benchmark,candidate_name,candidate_order,row_count,pass_count,fail_count,pass_fraction,median_gate_error_ratio,max_gate_error_ratio,improved_vs_current_default_count,worsened_vs_current_default_count,improved_vs_row_measure_without_end_count,worsened_vs_row_measure_without_end_count,passing_coefficients,failing_coefficients,best_improved_coefficients,diagnostic_conclusion,remaining_blocker,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,row_measure_plus_half_configured_endpoint_forward,1,8,0,8,0.0,35.92549496822379,136.29932713326215,5,2,2,5,none,"A33,A35,A53,A55,B33,B35,B53,B55","A53,B33",endpoint_forward_candidate_improves_without_passing,Endpoint-forward improves some rows but is insufficient for Gate 1.,false,no full-row pass; not eligible for default route.,diagnostic_endpoint_forward_route_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,row_measure_plus_configured_endpoint_forward,0,8,1,7,0.125,46.20327650262256,145.73440002274245,5,2,2,5,B33,"A33,A35,A53,A55,B35,B53,B55","A53,B33",endpoint_forward_candidate_is_local_not_global,The endpoint-forward candidate helps or passes some rows but fails others; continue with coefficient-family-specific Eq.31/Eq.32 and pitch-row moment tracing.,false,mixed pass/fail response; not eligible for default route.,diagnostic_endpoint_forward_route_candidate_not_hard_gate,INFO
