benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,candidate_name,candidate_order,reference_value,base_row_measure_value,endpoint_forward_gradient_value,endpoint_total_pressure_value,current_end_contour_value,candidate_endpoint_increment_value,candidate_value,abs_error,rel_error,tolerance,near_zero_abs_tolerance,effective_abs_tolerance,candidate_gate_error_ratio,candidate_status,current_default_gate_error_ratio,row_measure_without_end_gate_error_ratio,gate_ratio_delta_vs_current_default,gate_ratio_delta_vs_row_measure_without_end,endpoint_increment_to_current_end_ratio,candidate_default_gate_eligible,candidate_exclusion_reason,diagnostic_conclusion,remaining_blocker,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,row_measure_plus_configured_endpoint_forward,0,1.0,10.186413296463698,0.0,0.0156877448714606,0.0,0.0,10.186413296463698,9.186413296463698,9.186413296463698,0.15,0.0,0.15,61.24275530975799,FAIL,61.24275530975799,61.24275530975799,0.0,0.0,,false,endpoint-forward route candidates are diagnostic-only; they may not enter the default until one formula-traced endpoint rule passes all eight Ma 2005 coefficients.,endpoint_forward_candidate_worsens_or_does_not_help_this_row,Endpoint-forward is not a consistent correction for this coefficient under the current base row-measure route.,diagnostic_endpoint_forward_route_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,row_measure_plus_half_configured_endpoint_forward,1,1.0,10.186413296463698,0.0,0.0156877448714606,0.0,0.0,10.186413296463698,9.186413296463698,9.186413296463698,0.15,0.0,0.15,61.24275530975799,FAIL,61.24275530975799,61.24275530975799,0.0,0.0,,false,endpoint-forward route candidates are diagnostic-only; they may not enter the default until one formula-traced endpoint rule passes all eight Ma 2005 coefficients.,endpoint_forward_candidate_worsens_or_does_not_help_this_row,Endpoint-forward is not a consistent correction for this coefficient under the current base row-measure route.,diagnostic_endpoint_forward_route_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,row_measure_plus_configured_endpoint_forward,0,2.1,1.0662023360878203,1.1439091409651048,1.1439091409651048,0.5020078358867408,1.1439091409651048,2.210111477052925,0.11011147705292501,0.05243403669186905,0.15,0.0,0.315,0.3495602446124603,PASS,22.477550488857663,3.2818973457529514,-22.127990244245204,-2.932337101140491,2.2786678995647884,false,endpoint-forward route candidates are diagnostic-only; they may not enter the default until one formula-traced endpoint rule passes all eight Ma 2005 coefficients.,endpoint_forward_candidate_passes_this_row,This coefficient is locally compatible with the endpoint-forward candidate; keep it diagnostic until all Ma 2005 rows and the Eq.31/Eq.32 derivation pass.,diagnostic_endpoint_forward_route_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,row_measure_plus_half_configured_endpoint_forward,1,2.1,1.0662023360878203,1.1439091409651048,1.1439091409651048,0.5020078358867408,0.5719545704825524,1.6381569065703727,0.46184309342962737,0.21992528258553684,0.15,0.0,0.315,1.4661685505702455,FAIL,22.477550488857663,3.2818973457529514,-21.011381938287418,-1.815728795182706,1.1393339497823942,false,endpoint-forward route candidates are diagnostic-only; they may not enter the default until one formula-traced endpoint rule passes all eight Ma 2005 coefficients.,endpoint_forward_candidate_improves_but_fails_this_row,"Endpoint-forward improves this coefficient but does not close Gate 1; inspect whether the missing term is distributed transport, pitch moment, or frequency pairing.",diagnostic_endpoint_forward_route_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,row_measure_plus_configured_endpoint_forward,0,-0.2,-1.258294373361185,-0.2033616250604629,-0.1849276326125557,-0.089245837490976,-0.2033616250604629,-1.461655998421648,1.261655998421648,6.30827999210824,0.3,0.0,0.06,21.027599973694134,FAIL,41.68039086832301,17.63823955601975,-20.652790894628875,3.389360417674382,2.27866789956479,false,endpoint-forward route candidates are diagnostic-only; they may not enter the default until one formula-traced endpoint rule passes all eight Ma 2005 coefficients.,endpoint_forward_candidate_worsens_or_does_not_help_this_row,Endpoint-forward is not a consistent correction for this coefficient under the current base row-measure route.,diagnostic_endpoint_forward_route_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,row_measure_plus_half_configured_endpoint_forward,1,-0.2,-1.258294373361185,-0.2033616250604629,-0.1849276326125557,-0.089245837490976,-0.10168081253023145,-1.3599751858914166,1.1599751858914167,5.799875929457083,0.3,0.0,0.06,19.332919764856946,FAIL,41.68039086832301,17.63823955601975,-22.347471103466063,1.6946802088371946,1.139333949782395,false,endpoint-forward route candidates are diagnostic-only; they may not enter the default until one formula-traced endpoint rule passes all eight Ma 2005 coefficients.,endpoint_forward_candidate_worsens_or_does_not_help_this_row,Endpoint-forward is not a consistent correction for this coefficient under the current base row-measure route.,diagnostic_endpoint_forward_route_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,3,wigley_iii,Fn0.4,2.5,B35,row_measure_plus_configured_endpoint_forward,0,0.13,5.077705915507491,0.735935685379465,0.7422107833280492,0.5898877583330298,0.735935685379465,5.813641600886956,5.683641600886956,43.72032000682274,0.3,0.0,0.039,145.73440002274245,FAIL,164.37734137762976,126.86425424378184,-18.642941354887313,18.870145778960605,1.247585960181906,false,endpoint-forward route candidates are diagnostic-only; they may not enter the default until one formula-traced endpoint rule passes all eight Ma 2005 coefficients.,endpoint_forward_candidate_worsens_or_does_not_help_this_row,Endpoint-forward is not a consistent correction for this coefficient under the current base row-measure route.,diagnostic_endpoint_forward_route_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,3,wigley_iii,Fn0.4,2.5,B35,row_measure_plus_half_configured_endpoint_forward,1,0.13,5.077705915507491,0.735935685379465,0.7422107833280492,0.5898877583330298,0.3679678426897325,5.445673758197223,5.3156737581972235,40.889798139978645,0.3,0.0,0.039,136.29932713326215,FAIL,164.37734137762976,126.86425424378184,-28.07801424436761,9.43507288948031,0.623792980090953,false,endpoint-forward route candidates are diagnostic-only; they may not enter the default until one formula-traced endpoint rule passes all eight Ma 2005 coefficients.,endpoint_forward_candidate_worsens_or_does_not_help_this_row,Endpoint-forward is not a consistent correction for this coefficient under the current base row-measure route.,diagnostic_endpoint_forward_route_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,4,wigley_iii,Fn0.4,2.0,A53,row_measure_plus_configured_endpoint_forward,0,0.15,1.417913761834949,0.0,0.0074516788139438,0.0,0.0,1.417913761834949,1.2679137618349492,8.452758412232996,0.3,0.0,0.045,28.17586137410998,FAIL,28.17586137410999,28.17586137410999,-7.105427357601002e-15,-7.105427357601002e-15,,false,endpoint-forward route candidates are diagnostic-only; they may not enter the default until one formula-traced endpoint rule passes all eight Ma 2005 coefficients.,endpoint_forward_candidate_improves_but_fails_this_row,"Endpoint-forward improves this coefficient but does not close Gate 1; inspect whether the missing term is distributed transport, pitch moment, or frequency pairing.",diagnostic_endpoint_forward_route_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,4,wigley_iii,Fn0.4,2.0,A53,row_measure_plus_half_configured_endpoint_forward,1,0.15,1.417913761834949,0.0,0.0074516788139438,0.0,0.0,1.417913761834949,1.2679137618349492,8.452758412232996,0.3,0.0,0.045,28.17586137410998,FAIL,28.17586137410999,28.17586137410999,-7.105427357601002e-15,-7.105427357601002e-15,,false,endpoint-forward route candidates are diagnostic-only; they may not enter the default until one formula-traced endpoint rule passes all eight Ma 2005 coefficients.,endpoint_forward_candidate_improves_but_fails_this_row,"Endpoint-forward improves this coefficient but does not close Gate 1; inspect whether the missing term is distributed transport, pitch moment, or frequency pairing.",diagnostic_endpoint_forward_route_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,5,wigley_iii,Fn0.4,2.0,B53,row_measure_plus_configured_endpoint_forward,0,-0.1,0.6283466665803241,0.5433568419584248,0.5433568419584248,0.2384537220462018,0.5433568419584248,1.1717035085387488,1.271703508538749,12.717035085387488,0.3,0.0,0.03,42.39011695129163,FAIL,5.068730106884483,24.278222219344137,37.32138684440715,18.111894731947494,2.2786678995647898,false,endpoint-forward route candidates are diagnostic-only; they may not enter the default until one formula-traced endpoint rule passes all eight Ma 2005 coefficients.,endpoint_forward_candidate_worsens_or_does_not_help_this_row,Endpoint-forward is not a consistent correction for this coefficient under the current base row-measure route.,diagnostic_endpoint_forward_route_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,5,wigley_iii,Fn0.4,2.0,B53,row_measure_plus_half_configured_endpoint_forward,1,-0.1,0.6283466665803241,0.5433568419584248,0.5433568419584248,0.2384537220462018,0.2716784209792124,0.9000250875595366,1.0000250875595367,10.000250875595366,0.3,0.0,0.03,33.33416958531789,FAIL,5.068730106884483,24.278222219344137,28.265439478433404,9.05594736597375,1.1393339497823949,false,endpoint-forward route candidates are diagnostic-only; they may not enter the default until one formula-traced endpoint rule passes all eight Ma 2005 coefficients.,endpoint_forward_candidate_worsens_or_does_not_help_this_row,Endpoint-forward is not a consistent correction for this coefficient under the current base row-measure route.,diagnostic_endpoint_forward_route_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,6,wigley_iii,Fn0.4,1.0,A55,row_measure_plus_configured_endpoint_forward,0,0.063,-0.1923125839264906,-0.2173427367833698,-0.2085865903706139,-0.0953814888184806,-0.2173427367833698,-0.4096553207098604,0.4726553207098604,7.5024654080930215,0.15,0.0,0.00945,50.01643605395348,FAIL,10.2487665596035,27.01720464830589,39.767669494349974,22.99923140564759,2.278667899564791,false,endpoint-forward route candidates are diagnostic-only; they may not enter the default until one formula-traced endpoint rule passes all eight Ma 2005 coefficients.,endpoint_forward_candidate_worsens_or_does_not_help_this_row,Endpoint-forward is not a consistent correction for this coefficient under the current base row-measure route.,diagnostic_endpoint_forward_route_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,6,wigley_iii,Fn0.4,1.0,A55,row_measure_plus_half_configured_endpoint_forward,1,0.063,-0.1923125839264906,-0.2173427367833698,-0.2085865903706139,-0.0953814888184806,-0.1086713683916849,-0.3009839523181755,0.3639839523181755,5.777523052669452,0.15,0.0,0.00945,38.51682035112968,FAIL,10.2487665596035,27.01720464830589,28.26805379152618,11.499615702823792,1.1393339497823955,false,endpoint-forward route candidates are diagnostic-only; they may not enter the default until one formula-traced endpoint rule passes all eight Ma 2005 coefficients.,endpoint_forward_candidate_worsens_or_does_not_help_this_row,Endpoint-forward is not a consistent correction for this coefficient under the current base row-measure route.,diagnostic_endpoint_forward_route_candidate_not_hard_gate,INFO
