benchmark,variant,probe_row,source_row,hull,speed_case,motion_test,coefficient,omega_e_sqrt_l_over_g,reference_value,computed_value,raw_computed_value,gate_error_ratio,status,provider_route,provider_formulation,solver_status,matched_apply_local_time_phase,matched_local_time_phase_gradient_correction,candidate_default_gate_eligible,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,default_no_local_time_phase,0,0,wigley_iii,Fn0.4,forced_heave,A33,1.68,1.035,6.65807084017924,18.94515912375481,36.21945790775679,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,False,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_only,1,0,wigley_iii,Fn0.4,forced_heave,A33,1.68,1.035,-8.153540321784929,-23.200431855724744,59.18544490682725,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,2,0,wigley_iii,Fn0.4,forced_heave,A33,1.68,1.035,-8.17757365071497,-23.26881731628571,59.340248957906425,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,True,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,default_no_local_time_phase,3,1,wigley_iii,Fn0.4,forced_heave,A53,1.68,0.14,7.806223479845536,22.212161680346938,182.52913047251275,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,False,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_only,4,1,wigley_iii,Fn0.4,forced_heave,A53,1.68,0.14,-11.193455313395688,-31.850335802556767,269.84417412846875,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,5,1,wigley_iii,Fn0.4,forced_heave,A53,1.68,0.14,-11.22779713719351,-31.948053494673147,270.6618365998455,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,True,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,default_no_local_time_phase,6,2,wigley_iii,Fn0.4,forced_heave,A33,2.23,0.712,6.658070840179242,18.945159123754813,55.67482060092924,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,False,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_only,7,2,wigley_iii,Fn0.4,forced_heave,A33,2.23,0.712,-6.4933513613222225,-18.47645928372064,67.4658367165002,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,8,2,wigley_iii,Fn0.4,forced_heave,A33,2.23,0.712,-6.495076228823205,-18.481367295374152,67.48198716126596,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,True,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,default_no_local_time_phase,9,3,wigley_iii,Fn0.4,forced_heave,A53,2.23,0.07,7.806223479845542,22.212161680346956,368.3915942783591,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,False,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_only,10,3,wigley_iii,Fn0.4,forced_heave,A53,2.23,0.07,-8.862775658673382,-25.218520373566328,425.3702694606372,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,11,3,wigley_iii,Fn0.4,forced_heave,A53,2.23,0.07,-8.862199073861591,-25.21687973451788,425.34281304102814,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,True,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,default_no_local_time_phase,12,4,wigley_iii,Fn0.4,forced_pitch,A55,1.67,0.064,-1.195935101747404,-3.4029648149070337,131.24323976535462,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,False,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_only,13,4,wigley_iii,Fn0.4,forced_pitch,A55,1.67,0.064,-14.827537759470347,-42.190909200222066,1551.201849944828,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,14,4,wigley_iii,Fn0.4,forced_pitch,A55,1.67,0.064,-14.833563974878615,-42.20805645091437,1551.8295807165225,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,True,True,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,default_no_local_time_phase,15,5,wigley_iii,Fn0.4,forced_pitch,A35,1.67,-0.182,-0.5621130527025413,-1.5994604870714368,6.961777522024566,FAIL,matched_bie_station_sweep,matched_bie,a1_station_hull_matched_sweep_free_surface_marching_not_benchmark_validated,False,False,False,local_time_phase_frequency_sensitivity_not_hard_gate,INFO
