benchmark,variant,coefficient,row_count,unique_frequency_count,pass_count,fail_count,max_gate_error_ratio,median_gate_error_ratio,dominant_component_counts,median_time_derivative_component_value,median_pressure_gradient_component_value,median_stokes_body_forward_component_value,median_end_term_component_value,time_derivative_component_sensitivity_ratio,pressure_gradient_component_sensitivity_ratio,stokes_body_forward_component_sensitivity_ratio,end_term_component_sensitivity_ratio,median_abs_time_derivative_delta_vs_default,median_abs_pressure_gradient_delta_vs_default,median_abs_stokes_body_forward_delta_vs_default,median_abs_end_term_delta_vs_default,median_abs_total_delta_vs_default,diagnostic_conclusion,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role,path_diagnostic_status,source_reference
ma2005_wigley_iii_coefficients,default_no_local_time_phase,A33,2,2,0,2,55.67482060092924,45.947139254343014,time_derivative:2,6.658070840179241,0.0,0.0,0.0,2.6679752769834287e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,default_time_component_frequency_invariant_for_time_pressure_target,False,default Eq.30 time component lacks same-cell frequency sensitivity for A33/A53,local_time_phase_component_audit_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,local_time_phase_only,A33,2,2,0,2,67.4658367165002,63.32564081166373,pressure_gradient:2,3.6641961114507984,-9.106768676273331,0.0,-1.8808732767310432,0.3125841879621546,0.23527097142528364,0.0,0.2709691781860872,2.993874728728443,9.106768676273331,0.0,1.8808732767310432,13.981516681732817,local_time_phase_changes_time_component_but_gate_still_fails,False,diagnostic-only; local-time phase changes the time-pressure component but does not close Gate 1,local_time_phase_component_audit_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,A33,2,2,0,2,67.48198716126596,63.411118059586194,pressure_gradient:2,3.6641961114507984,-9.119647774488843,0.0,-1.8808732767310432,0.3125841879621546,0.23688085772942177,0.0,0.2709691781860872,2.993874728728443,9.119647774488843,0.0,1.8808732767310432,13.994395779948329,local_time_phase_changes_time_component_but_gate_still_fails,False,diagnostic-only; local-time phase changes the time-pressure component but does not close Gate 1,local_time_phase_component_audit_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,default_no_local_time_phase,A53,2,2,0,2,368.3915942783591,275.4603623754359,time_derivative:2,7.8062234798455385,0.0,0.0,0.0,7.964477258373205e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,default_time_component_frequency_invariant_for_time_pressure_target,False,default Eq.30 time component lacks same-cell frequency sensitivity for A33/A53,local_time_phase_component_audit_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,local_time_phase_only,A53,2,2,0,2,425.3702694606372,347.60722179455297,pressure_gradient:2,4.013809050391394,-11.26763645324764,1.4781725418751006,-2.7742880831782886,0.3508328088833346,0.24656445699822055,0.16281834104920287,0.27096917818608734,3.792414429454145,11.26763645324764,1.4781725418751006,2.7742880831782886,17.83433896588007,local_time_phase_changes_time_component_but_gate_still_fails,False,diagnostic-only; local-time phase changes the time-pressure component but does not close Gate 1,local_time_phase_component_audit_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,A53,2,2,0,2,425.34281304102814,348.0023248204368,pressure_gradient:2,4.013809050391394,-11.284519072740657,1.4781725418751006,-2.7742880831782886,0.3508328088833346,0.2486170795476633,0.16281834104920287,0.27096917818608734,3.792414429454145,11.284519072740657,1.4781725418751006,2.7742880831782886,17.85122158537309,local_time_phase_changes_time_component_but_gate_still_fails,False,diagnostic-only; local-time phase changes the time-pressure component but does not close Gate 1,local_time_phase_component_audit_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,default_no_local_time_phase,A55,2,2,0,2,367.6265805395154,249.434910152435,time_derivative:2,6.883588719243171,-5.035464336556556,0.8942921795623676,-1.269875404214889,1.2902839723954013e-16,0.4391803575378552,0.43918035753785517,0.4391803575378552,0.0,0.0,0.0,0.0,0.0,local_time_phase_component_candidate_does_not_close_gate,False,diagnostic-only; component changes are insufficient for default promotion,local_time_phase_component_audit_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,local_time_phase_only,A55,2,2,0,2,1559.1971226905432,1555.1994863176856,pressure_gradient:2,2.1171520048496864,-11.522010908498569,1.7321301286662072,-2.8877369341413224,0.3922306320597755,0.3466201983795485,0.3212568351097531,0.36094668888728726,4.7664367143934845,6.486546571942013,0.8378379491038395,1.6178615299264334,12.87084481626193,local_time_phase_component_candidate_does_not_close_gate,False,diagnostic-only; component changes are insufficient for default promotion,local_time_phase_component_audit_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,A55,2,2,0,2,1556.8909339249124,1554.3602573207174,pressure_gradient:2,2.1171520048496864,-11.517776818006707,1.7321301286662072,-2.8877369341413224,0.3922306320597755,0.3479420857479125,0.3212568351097531,0.36094668888728726,4.7664367143934845,6.482312481450151,0.8378379491038395,1.6178615299264334,12.86661072577007,local_time_phase_gradient_correction_changes_forward_component_but_gate_still_fails,False,diagnostic-only; gradient correction changes Eq.30 forward component without full Gate closure,local_time_phase_component_audit_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,default_no_local_time_phase,A35,2,2,0,2,77.53740456685135,42.249591044437956,time_derivative:2,5.786611661079198,-4.093674641493876,0.0,-0.8609324774338227,0.0,0.43918035753785517,0.0,0.43918035753785517,0.0,0.0,0.0,0.0,0.0,local_time_phase_component_candidate_does_not_close_gate,False,diagnostic-only; component changes are insufficient for default promotion,local_time_phase_component_audit_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,local_time_phase_only,A35,2,2,0,2,241.71241556709117,221.96524694206192,pressure_gradient:2,1.995687274225093,-9.325139293826233,0.0,-1.9577877519602187,0.3406305209571817,0.34065436505349883,0.0,0.36094668888728715,3.790924386854105,5.231464652332357,0.0,1.096855274526396,10.119244313712858,local_time_phase_component_candidate_does_not_close_gate,False,diagnostic-only; component changes are insufficient for default promotion,local_time_phase_component_audit_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,A35,2,2,0,2,241.40917276378903,221.84915380314683,pressure_gradient:2,1.995687274225093,-9.322530494922084,0.0,-1.9577877519602187,0.3406305209571817,0.3416910016418819,0.0,0.36094668888728715,3.790924386854105,5.228855853428208,0.0,1.096855274526396,10.11663551480871,local_time_phase_gradient_correction_changes_forward_component_but_gate_still_fails,False,diagnostic-only; gradient correction changes Eq.30 forward component without full Gate closure,local_time_phase_component_audit_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
