benchmark,row,coefficient,prefix,mode_column,generalized_row,variant_name,variant_description,reference_value,current_computed_value,computed_value,scale_factor_applied_to_current_value,omega_e_rad_s,omega_e_sqrt_l_over_g,gate_error_ratio,current_gate_error_ratio,gate_ratio_delta_vs_current,status,phase_rotation_not_represented,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,0,A33,A,heave,heave_force,current_unit_displacement,Current default body condition scale; heave uses i*omega*N3 and pitch uses i*omega*N5 plus U*m5.,1.0,10.186413296463698,10.186413296463698,1.0,1.808005346599764,1.0,61.24275530975799,61.24275530975799,0.0,FAIL,True,False,Real-amplitude unit proxy only; a default change requires complex same-frequency force phase evidence and closure of the complete eight-coefficient Gate 1 set.,diagnostic_body_condition_unit_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,0,A33,A,heave,heave_force,remove_dimensional_omega_unit_velocity_proxy,Real-amplitude proxy for interpreting the solved potential as unit velocity in SI time units.,1.0,10.186413296463698,5.634061489707891,0.5530957095235675,1.808005346599764,1.0,30.893743264719276,61.24275530975799,-30.349012045038712,FAIL,True,False,Real-amplitude unit proxy only; a default change requires complex same-frequency force phase evidence and closure of the complete eight-coefficient Gate 1 set.,diagnostic_body_condition_unit_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,0,A33,A,heave,heave_force,remove_dimensional_omega2_unit_acceleration_proxy,Real-amplitude proxy for interpreting the solved potential as unit acceleration in SI time units.,1.0,10.186413296463698,3.1161752371493927,0.30591486389337846,1.808005346599764,1.0,14.107834914329285,61.24275530975799,-47.13492039542871,FAIL,True,False,Real-amplitude unit proxy only; a default change requires complex same-frequency force phase evidence and closure of the complete eight-coefficient Gate 1 set.,diagnostic_body_condition_unit_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,0,A33,A,heave,heave_force,remove_nondimensional_omega_unit_velocity_proxy,Real-amplitude proxy for interpreting the solved potential with A1 nondimensional encounter frequency.,1.0,10.186413296463698,10.186413296463698,1.0,1.808005346599764,1.0,61.24275530975799,61.24275530975799,0.0,FAIL,True,False,Real-amplitude unit proxy only; a default change requires complex same-frequency force phase evidence and closure of the complete eight-coefficient Gate 1 set.,diagnostic_body_condition_unit_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,0,A33,A,heave,heave_force,remove_nondimensional_omega2_unit_acceleration_proxy,Real-amplitude proxy for removing two powers of the A1 nondimensional encounter frequency.,1.0,10.186413296463698,10.186413296463698,1.0,1.808005346599764,1.0,61.24275530975799,61.24275530975799,0.0,FAIL,True,False,Real-amplitude unit proxy only; a default change requires complex same-frequency force phase evidence and closure of the complete eight-coefficient Gate 1 set.,diagnostic_body_condition_unit_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,0,A33,A,heave,heave_force,multiply_dimensional_omega_proxy,Opposite real-amplitude proxy: tests whether one dimensional omega is missing upstream.,1.0,10.186413296463698,18.417089702681295,1.808005346599764,1.808005346599764,1.0,116.11393135120863,61.24275530975799,54.871176041450646,FAIL,True,False,Real-amplitude unit proxy only; a default change requires complex same-frequency force phase evidence and closure of the complete eight-coefficient Gate 1 set.,diagnostic_body_condition_unit_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,0,A33,A,heave,heave_force,multiply_nondimensional_omega_proxy,Opposite real-amplitude proxy: tests whether one nondimensional omega is missing upstream.,1.0,10.186413296463698,10.186413296463698,1.0,1.808005346599764,1.0,61.24275530975799,61.24275530975799,0.0,FAIL,True,False,Real-amplitude unit proxy only; a default change requires complex same-frequency force phase evidence and closure of the complete eight-coefficient Gate 1 set.,diagnostic_body_condition_unit_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,B33,B,heave,heave_force,current_unit_displacement,Current default body condition scale; heave uses i*omega*N3 and pitch uses i*omega*N5 plus U*m5.,2.1,9.180428403990165,9.180428403990165,1.0,3.616010693199528,2.0,22.477550488857666,22.477550488857666,0.0,FAIL,True,False,Real-amplitude unit proxy only; a default change requires complex same-frequency force phase evidence and closure of the complete eight-coefficient Gate 1 set.,diagnostic_body_condition_unit_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,B33,B,heave,heave_force,remove_dimensional_omega_unit_velocity_proxy,Real-amplitude proxy for interpreting the solved potential as unit velocity in SI time units.,2.1,9.180428403990165,2.538827780917626,0.27654785476178373,3.616010693199528,2.0,1.3931040664051617,22.477550488857666,-21.084446422452505,FAIL,True,False,Real-amplitude unit proxy only; a default change requires complex same-frequency force phase evidence and closure of the complete eight-coefficient Gate 1 set.,diagnostic_body_condition_unit_chain_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,1,B33,B,heave,heave_force,remove_dimensional_omega2_unit_acceleration_proxy,Real-amplitude proxy for interpreting the solved potential as unit acceleration in SI time units.,2.1,9.180428403990165,0.7021073764223893,0.07647871597334462,3.616010693199528,2.0,4.437754360563844,22.477550488857666,-18.039796128293823,FAIL,True,False,Real-amplitude unit proxy only; a default change requires complex same-frequency force phase evidence and closure of the complete eight-coefficient Gate 1 set.,diagnostic_body_condition_unit_chain_not_hard_gate,INFO
