benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,mode_column,generalized_row,station_index,x_m,x_over_l,pitch_base_lever_arm_m,pitch_radiation_lever_arm_m,pitch_moment_lever_arm_m,pitch_moment_to_radiation_lever_ratio,pitch_moment_minus_base_lever_m,pitch_radiation_minus_base_lever_m,pitch_body_condition_oscillation_norm,pitch_body_condition_forward_speed_norm,pitch_body_condition_forward_to_oscillation_norm_ratio,pitch_body_condition_forward_oscillation_real_alignment,pitch_body_condition_forward_oscillation_phase_deg,total_density_value_per_m,time_derivative_density_value_per_m,pressure_gradient_density_value_per_m,stokes_body_forward_density_value_per_m,gate_role
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,0,0.075,0.024999999999999998,1.425,1.425,1.425,1.0,0.0,0.0,0.9711044279759913,0.5451814332496794,0.5614035087719299,0.0,-90.0,-4.931403536334821,0.4915731319441916,-5.422976668279012,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,1,0.15,0.049999999999999996,1.35,1.35,1.35,1.0,0.0,0.0,1.7647665738070073,1.0457875992930414,0.5925925925925927,0.0,-90.0,2.098880229075095,-0.2746822983295851,2.3735625274046797,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,2,0.22499999999999998,0.075,1.275,1.275,1.275,1.0,0.0,0.0,2.3792195456374015,1.4928436364783697,0.627450980392157,0.0,-90.0,5.730488593068115,1.1367234175908576,4.593765175477257,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,3,0.3,0.09999999999999999,1.2,1.2,1.2,1.0,0.0,0.0,2.826660872558334,1.884440581705556,0.6666666666666667,0.0,-90.0,-1.7565991168524933,0.6075263956628623,-2.3641255125153546,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,4,0.375,0.125,1.125,1.125,1.125,1.0,0.0,0.0,3.1265055925672955,2.2232928658256323,0.7111111111111111,0.0,-90.0,0.6274197109162357,0.434698949647771,0.19272076126846469,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,5,0.44999999999999996,0.15,1.05,1.05,1.05,1.0,0.0,0.0,3.3001610634892473,2.5144084293251407,0.7619047619047619,0.0,-90.0,1.0609866475693506,0.2761992517035415,0.7847873958658091,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,6,0.525,0.17500000000000002,0.975,0.975,0.975,1.0,0.0,0.0,3.3680257776722278,2.7635083303977255,0.8205128205128207,0.0,-90.0,1.1773912409413363,0.09855959089071105,1.0788316500506254,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,7,0.6,0.19999999999999998,0.9,0.9,0.9,1.0,0.0,0.0,3.3481777602508753,2.9761580091118893,0.8888888888888891,0.0,-90.0,1.1082012131384804,-0.10347186214664315,1.2116730752851235,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,8,0.6749999999999999,0.22499999999999998,0.8250000000000001,0.8250000000000001,0.8250000000000001,1.0,0.0,0.0,3.2560409837720434,3.157373075172891,0.9696969696969697,0.0,-90.0,0.8294795447574252,-0.32647090459996136,1.1559504493573869,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,9,0.75,0.25,0.75,0.75,0.75,1.0,0.0,0.0,3.104522205128413,3.3114903521369743,1.0666666666666667,0.0,-90.0,0.25628441692020776,-0.5597106995780217,0.8159951164982294,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,10,0.825,0.27499999999999997,0.675,0.675,0.675,1.0,0.0,0.0,2.904330813979366,3.4421698536051752,1.1851851851851853,0.0,-90.0,-0.6890842376461677,-0.7828437546934386,0.09375951704727102,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,11,0.8999999999999999,0.3,0.6000000000000001,0.6000000000000001,0.6000000000000001,1.0,0.0,0.0,2.664339702200356,3.5524529362671413,1.3333333333333333,0.0,-90.0,-1.953929342966618,-0.966140180018731,-0.987789162947887,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,-0.2,pitch,heave_force,12,0.975,0.325,0.525,0.525,0.525,1.0,0.0,0.0,2.3919252300955915,3.644838445859949,1.5238095238095237,0.0,-90.0,-3.2630646738255167,-1.0797493980146489,-2.1833152758108674,0.0,diagnostic_pitch_generalized_force_coordinate_audit_not_hard_gate
