index,time_s,component,coarse_jet_count,fine_jet_count,coarse_jet_increment,fine_jet_increment,coarse_sorted_panel,fine_sorted_panel,overlap_left_m,overlap_right_m,coarse_value,fine_value,difference,coarse_span_fraction,fine_span_fraction
0,0.0,pressure,0,0,0,0,14,17,0.029008403112201164,0.029837214629692625,236.01329214375784,272.2205931534312,-36.20730100967336,0.8875,0.8875
0,0.0,velocity_y,0,0,0,0,15,18,0.031080431905929816,0.03149483766467555,0.8523955616558909,0.7282500948414568,0.12414546681443417,0.9437499999999999,0.9437499999999999
0,0.0,velocity_z,0,0,0,0,15,18,0.031080431905929816,0.03149483766467555,0.0015316809544185794,-0.04365357368511774,0.04518525463953632,0.9437499999999999,0.9437499999999999
1,0.0007775962305832998,pressure,0,0,0,0,15,19,0.032590961366337386,0.034259059464846746,545.5355734856407,614.4642609622329,-68.92868747659213,0.9756546425300876,0.9743118510032768
1,0.0007775962305832998,velocity_y,0,0,0,0,15,18,0.032117868248293824,0.032590961366337386,0.9638477371660197,0.81594030208157,0.1479074350844497,0.9444046425300875,0.943104860315572
1,0.0007775962305832998,velocity_z,0,0,0,0,15,18,0.032117868248293824,0.032590961366337386,0.04209695538431846,-0.011736948413081372,0.05383390379739983,0.9444046425300875,0.943104860315572
2,0.0015551924611665996,pressure,2,2,2,2,15,19,0.03373695637013093,0.035406004739723725,454.4945436850694,643.7320941525325,-189.23755046746305,0.9764298685793231,0.9734993923831992
2,0.0015551924611665996,velocity_y,2,2,2,2,15,19,0.03373695637013093,0.035406004739723725,0.9326301040489201,1.084506955183862,-0.15187685113494187,0.9764298685793231,0.9734993923831992
2,0.0015551924611665996,velocity_z,2,2,2,2,15,19,0.03373695637013093,0.035406004739723725,0.030734666145451395,0.0860133192326491,-0.055278653087197704,0.9764298685793231,0.9734993923831992
3,0.0023327886917498993,pressure,4,4,2,2,15,19,0.03482645165187659,0.0365214038817641,374.49866143158795,564.5152559101591,-190.01659447857116,0.976795083844876,0.973117552061988
3,0.0023327886917498993,velocity_y,4,4,2,2,15,19,0.03482645165187659,0.0365214038817641,0.9098085176322382,1.0676986792953547,-0.15789016166311642,0.976795083844876,0.973117552061988
3,0.0023327886917498993,velocity_z,4,4,2,2,15,19,0.03482645165187659,0.0365214038817641,0.022428287991046014,0.07989560711989824,-0.05746731912885222,0.976795083844876,0.973117552061988
4,0.0031103849223331993,pressure,4,6,0,2,15,18,0.035609455947246654,0.03586058229889516,797.7382380135971,414.6798052048318,383.0584328087653,0.9408057364737509,0.9466736452844293
4,0.0031103849223331993,velocity_y,4,6,0,2,15,18,0.035609455947246654,0.03586058229889516,1.0597866477338813,0.8062739716866101,0.25351267604727123,0.9408057364737509,0.9466736452844293
4,0.0031103849223331993,velocity_z,4,6,0,2,15,18,0.035609455947246654,0.03586058229889516,0.07701586313894748,-0.015255204951430068,0.09227106809037755,0.9408057364737509,0.9466736452844293
5,0.0038879811529164993,pressure,6,8,2,2,15,18,0.036451609983630125,0.036874633503261624,452.97821030085834,399.65947699963004,53.31873330122829,0.9429398770017653,0.9445508293172001
5,0.0038879811529164993,velocity_y,6,8,2,2,15,18,0.036451609983630125,0.036874633503261624,0.9415297473402211,0.8037663713469316,0.13776337599328947,0.9429398770017653,0.9445508293172001
5,0.0038879811529164993,velocity_z,6,8,2,2,15,18,0.036451609983630125,0.036874633503261624,0.033973871399072264,-0.0161678968345087,0.05014176823358096,0.9429398770017653,0.9445508293172001
6,0.0046655773834997985,pressure,8,10,2,2,15,19,0.03787846386610493,0.03987206722747888,340.3233236790491,463.9751911042793,-123.6518674252302,0.9744667597164991,0.9750000000000001
6,0.0046655773834997985,velocity_y,8,10,2,2,15,19,0.03787846386610493,0.03987206722747888,0.9034824142522079,1.0464088947124721,-0.14292648046026424,0.9744667597164991,0.9750000000000001
6,0.0046655773834997985,velocity_z,8,10,2,2,15,19,0.03787846386610493,0.03987206722747888,0.02012577466182358,0.07214675923778918,-0.0520209845759656,0.9744667597164991,0.9750000000000001
7,0.0054431736140830985,pressure,8,12,0,2,15,18,0.03867101251859835,0.03886962061099615,612.6411065508748,386.22856892223587,226.41253762863897,0.9399074245086471,0.9475729414795918
7,0.0054431736140830985,velocity_y,8,12,0,2,15,18,0.03867101251859835,0.03886962061099615,1.0132052252397081,0.8024318301720275,0.21077339506768067,0.9399074245086471,0.9475729414795918
7,0.0054431736140830985,velocity_z,8,12,0,2,15,18,0.03867101251859835,0.03886962061099615,0.06006161188129089,-0.016653630098576733,0.07671524197986762,0.9399074245086471,0.9475729414795918
8,0.006220769844666399,pressure,10,14,2,2,14,17,0.036880410246588044,0.03774617682141948,346.7509793183092,383.01264192194105,-36.26166260363186,0.8852702999764975,0.889678558426795
8,0.006220769844666399,velocity_y,10,14,2,2,15,18,0.03951472526420148,0.03984318664483168,0.9312822783264183,0.8007014840304991,0.13058079429591918,0.9413964277529697,0.9460841697429947
8,0.006220769844666399,velocity_z,10,14,2,2,15,18,0.03951472526420148,0.03984318664483168,0.030244097701482675,-0.017283424589070062,0.04752752229055274,0.9413964277529697,0.9460841697429947
9,0.006998366075249699,pressure,10,16,0,2,15,19,0.04097642786006694,0.04294228651607136,789.1290678147645,425.44023600248903,363.6888318122755,0.9599884474593282,0.9771104566675939
9,0.006998366075249699,velocity_y,10,16,0,2,14,19,0.04079517219026779,0.04097642786006694,0.7977067371256014,1.0359491131379188,-0.23824237601231746,0.9354265250863619,0.952110456667594
9,0.006998366075249699,velocity_z,10,16,0,2,14,19,0.04079517219026779,0.04097642786006694,-0.018373423321613624,0.06833971008772582,-0.08671313340933945,0.9354265250863619,0.952110456667594
10,0.007775962305832999,pressure,12,18,2,2,15,18,0.04165613556881127,0.04172244548663566,428.932617439492,358.6724289403575,70.26018849913447,0.9382461751685736,0.9492450775452107
10,0.007775962305832999,velocity_y,12,18,2,2,15,18,0.04165613556881127,0.04172244548663566,0.9405298185465946,0.7934339723988045,0.14709584614779003,0.9382461751685736,0.9492450775452107
