outer_iteration,coefficient_index,unscaled_step,trust_scaled_step,trust_region_step_scale
1,0,-2.7213212852693704e-05,-2.7213212852693704e-05,1.0
1,1,-3.989045246110571e-05,-3.989045246110571e-05,1.0
1,2,2.9351422566214127e-05,2.9351422566214127e-05,1.0
1,3,-1.595570409811132e-06,-1.595570409811132e-06,1.0
1,4,1.1981782326128256e-05,1.1981782326128256e-05,1.0
1,5,-1.1223971040544214e-06,-1.1223971040544214e-06,1.0
1,6,6.485756070402682e-06,6.485756070402682e-06,1.0
1,7,1.436903992159592e-07,1.436903992159592e-07,1.0
1,8,4.9594491845753675e-06,4.9594491845753675e-06,1.0
1,9,5.618152003105403e-07,5.618152003105403e-07,1.0
1,10,2.7439128515717403e-06,2.7439128515717403e-06,1.0
1,11,1.1684410173104439e-06,1.1684410173104439e-06,1.0
1,12,-3.5951954162719134e-08,-3.5951954162719134e-08,1.0
1,13,1.0323209785235878e-06,1.0323209785235878e-06,1.0
1,14,4.316575029067335e-06,4.316575029067335e-06,1.0
1,15,-6.116903023610063e-06,-6.116903023610063e-06,1.0
1,16,3.4773471860693085e-06,3.4773471860693085e-06,1.0
1,17,1.8003530199541529e-06,1.8003530199541529e-06,1.0
1,18,1.0985662079144151e-06,1.0985662079144151e-06,1.0
1,19,-4.735903814490439e-06,-4.735903814490439e-06,1.0
1,20,-1.1051399274966767e-06,-1.1051399274966767e-06,1.0
1,21,5.5595420906568435e-08,5.5595420906568435e-08,1.0
1,22,3.1978485439798114e-06,3.1978485439798114e-06,1.0
1,23,5.351254600167843e-07,5.351254600167843e-07,1.0
1,24,-6.950097671616349e-07,-6.950097671616349e-07,1.0
1,25,-3.5912122483677952e-06,-3.5912122483677952e-06,1.0
1,26,-2.6887373243887463e-06,-2.6887373243887463e-06,1.0
1,27,-2.547576603986899e-06,-2.547576603986899e-06,1.0
1,28,4.063043622193914e-07,4.063043622193914e-07,1.0
1,29,1.0984182306382584e-06,1.0984182306382584e-06,1.0
1,30,1.6461683711760443e-06,1.6461683711760443e-06,1.0
1,31,9.05463684919889e-07,9.05463684919889e-07,1.0
