case,mode,component,dimensionless_change,tolerance,passed
fn167,3,original,0.0008834461193312858,0.02372479699372411,True
fn167,3,delta,0.0012021867541669837,0.002529497873959502,True
fn167,3,candidate,0.0013258314385569234,0.022847897529288078,True
fn167,3,normal,3.129725675462968e-06,0.001,True
fn167,3,tangent,0.0012016962122734461,0.0015766621093336614,True
fn167,5,original,0.00015766149502622438,0.003657654188589664,True
fn167,5,delta,0.00044820042832174325,0.001,True
fn167,5,candidate,0.0005702490759622439,0.004186749942633283,True
fn167,5,normal,1.5049637991547873e-06,0.001,True
fn167,5,tangent,0.00044696409158196206,0.001,True
fn226,3,original,0.0012224982406278753,0.021082481606810775,True
fn226,3,delta,0.001680834488178314,0.0034917701283343435,True
fn226,3,candidate,0.0028255219992699087,0.02050842342094083,True
fn226,3,normal,4.885514796170495e-06,0.0012917368034974788,True
fn226,3,tangent,0.0016798895725587387,0.0022000470509722244,True
fn226,5,original,0.00026928278926445346,0.002272283148790483,True
fn226,5,delta,0.0004634265000628958,0.001,True
fn226,5,candidate,0.0004453399207692597,0.0030713512854640495,True
fn226,5,normal,2.0056449239740514e-06,0.001,True
fn226,5,tangent,0.0004615392942853123,0.001,True
fn282,3,original,0.002004670897287298,0.018596756782749205,True
fn282,3,delta,0.0021124012664902013,0.00438327211838196,True
fn282,3,candidate,0.0035609015742208774,0.01864880705492,True
fn282,3,normal,3.7667398088258383e-06,0.0016123202780863573,True
fn282,3,tangent,0.002111775842699878,0.00277098734460195,True
fn282,5,original,0.0001359917379125407,0.0017049112512357153,True
fn282,5,delta,0.0004219380706628612,0.001,True
fn282,5,candidate,0.0002944608868476436,0.002524448870163335,True
fn282,5,normal,1.4138471854058184e-06,0.001,True
fn282,5,tangent,0.00042056066893575477,0.001,True
