configuration,running_trim_deg,mean_wetted_length_over_b,matrix,row_dof,column_dof,value,matrix_contract
FnB=1.67,4.660773436054667,3.491499574369506,rigid_mass,heave,heave,32.60032733,heave_pitch_2x2_v1
FnB=1.67,4.660773436054667,3.491499574369506,rigid_mass,heave,pitch,0.0,heave_pitch_2x2_v1
FnB=1.67,4.660773436054667,3.491499574369506,rigid_mass,pitch,heave,0.0,heave_pitch_2x2_v1
FnB=1.67,4.660773436054667,3.491499574369506,rigid_mass,pitch,pitch,11.080492655866367,heave_pitch_2x2_v1
FnB=1.67,4.660773436054667,3.491499574369506,added_mass,heave,heave,88.39683350030198,heave_pitch_2x2_v1
FnB=1.67,4.660773436054667,3.491499574369506,added_mass,heave,pitch,0.5095827373303754,heave_pitch_2x2_v1
FnB=1.67,4.660773436054667,3.491499574369506,added_mass,pitch,heave,0.5095827373303754,heave_pitch_2x2_v1
FnB=1.67,4.660773436054667,3.491499574369506,added_mass,pitch,pitch,15.001880859538808,heave_pitch_2x2_v1
FnB=1.67,4.660773436054667,3.491499574369506,radiation_damping,heave,heave,428.2969181130329,heave_pitch_2x2_v1
FnB=1.67,4.660773436054667,3.491499574369506,radiation_damping,heave,pitch,-451.4125311577487,heave_pitch_2x2_v1
FnB=1.67,4.660773436054667,3.491499574369506,radiation_damping,pitch,heave,177.0137733951614,heave_pitch_2x2_v1
FnB=1.67,4.660773436054667,3.491499574369506,radiation_damping,pitch,pitch,104.82306565009985,heave_pitch_2x2_v1
FnB=1.67,4.660773436054667,3.491499574369506,restoring,heave,heave,5252.124065583208,heave_pitch_2x2_v1
FnB=1.67,4.660773436054667,3.491499574369506,restoring,heave,pitch,-499.1084268141321,heave_pitch_2x2_v1
FnB=1.67,4.660773436054667,3.491499574369506,restoring,pitch,heave,1125.1243992621655,heave_pitch_2x2_v1
FnB=1.67,4.660773436054667,3.491499574369506,restoring,pitch,pitch,890.9420460795299,heave_pitch_2x2_v1
FnB=2.26,5.040492405877072,2.875402568434372,rigid_mass,heave,heave,32.60032733,heave_pitch_2x2_v1
FnB=2.26,5.040492405877072,2.875402568434372,rigid_mass,heave,pitch,0.0,heave_pitch_2x2_v1
FnB=2.26,5.040492405877072,2.875402568434372,rigid_mass,pitch,heave,0.0,heave_pitch_2x2_v1
FnB=2.26,5.040492405877072,2.875402568434372,rigid_mass,pitch,pitch,11.080492655866367,heave_pitch_2x2_v1
FnB=2.26,5.040492405877072,2.875402568434372,added_mass,heave,heave,72.25213193643864,heave_pitch_2x2_v1
FnB=2.26,5.040492405877072,2.875402568434372,added_mass,heave,pitch,-8.771033227543153,heave_pitch_2x2_v1
FnB=2.26,5.040492405877072,2.875402568434372,added_mass,pitch,heave,-8.771033227543153,heave_pitch_2x2_v1
FnB=2.26,5.040492405877072,2.875402568434372,added_mass,pitch,pitch,9.35766264885649,heave_pitch_2x2_v1
FnB=2.26,5.040492405877072,2.875402568434372,radiation_damping,heave,heave,529.7162224288829,heave_pitch_2x2_v1
FnB=2.26,5.040492405877072,2.875402568434372,radiation_damping,heave,pitch,-536.4920989021197,heave_pitch_2x2_v1
FnB=2.26,5.040492405877072,2.875402568434372,radiation_damping,pitch,heave,115.14866187831807,heave_pitch_2x2_v1
FnB=2.26,5.040492405877072,2.875402568434372,radiation_damping,pitch,pitch,141.8563642700934,heave_pitch_2x2_v1
FnB=2.26,5.040492405877072,2.875402568434372,restoring,heave,heave,4444.885448774981,heave_pitch_2x2_v1
FnB=2.26,5.040492405877072,2.875402568434372,restoring,heave,pitch,-2038.6757320864033,heave_pitch_2x2_v1
FnB=2.26,5.040492405877072,2.875402568434372,restoring,pitch,heave,1340.828145177069,heave_pitch_2x2_v1
