frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,fn_b,speed_mps,lambda_over_l
0,1.5394429461116106,3.0529932298937883,0.241660973353061,26.0,0.01,-0.28489558856186664,-1.086375893293699,0.3468750476877032,-0.09518472185579492,1.1231108929717024,0.3596976924906684,1.4884393102445985,1.9422251970591393,-14.694582282561043,74.6553748189259,39.32974424970479,14.694582282561043,74.6553748189259,10.468255691800476,18.103029808637878,0.010674650050527425,0.01845995299989077,2.090090401810729,5.683133642585577e-17,0.9003163161571062,0.9396585011617274,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,4.0
1,1.4790489410946988,2.8761722799705556,0.22307166771051787,28.166666666666664,0.01,-0.2634438661290455,-1.0612873383542782,0.3184254929752751,-0.06387240581738757,1.09349599228901,0.32476834636621843,1.455892403098332,1.7519282869115942,-13.94078170237293,78.65766440700088,40.08363230375187,13.94078170237293,78.65766440700088,9.04580014382559,14.49259371910758,0.009224149066017028,0.014778332783476091,1.9447773246342777,2.5434489584486644e-16,0.9146734907722543,0.9484170576784681,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,4.333333333333333
2,1.425247221963202,2.7225760366336402,0.20713797715976656,30.333333333333336,0.01,-0.2484593156874016,-1.0468724273371226,0.29276278342592865,-0.04011145727682599,1.0759525596747148,0.29549784493997217,1.426574928421036,1.5988926189396544,-13.351261222168489,82.19847385905524,40.148248057142325,13.351261222168489,82.19847385905524,7.975412568541865,11.85166406657865,0.008132657501330083,0.012085333999458174,1.8564105922753407,1.2620139332899645e-16,0.9261605167099024,0.9554077874450132,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,4.666666666666667
3,1.3769196299952429,2.587759857020985,0.1933287786824488,32.5,0.01,-0.23644335641286465,-1.0390549242128249,0.26937972428118373,-0.02197701724920989,1.0656174718550275,0.27027472160928895,1.3980056329493877,1.4742600210355958,-12.819707410833445,85.33592309322205,39.6513325803395,12.819707410833445,85.33592309322205,7.135908548596457,9.872383819541131,0.007276601641331605,0.010067029841527058,1.8009301003127995,2.370826161145605e-16,0.935489283788639,0.9610741546013652,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,5.0
4,1.3331966990094135,2.468359411846047,0.18124573001479577,34.666666666666664,0.01,-0.22578516013494615,-1.035216402877495,0.2480736731900955,-0.008203795428605633,1.0595527071947783,0.24820928586469262,1.369462805244738,1.3725370222200957,-12.303776699064827,88.10591905943471,38.70685216141783,12.303776699064827,88.10591905943471,6.455640812419613,8.362591079267645,0.0065829216015862845,0.008527469706033807,1.7642943132360707,1.2371602497695833e-16,0.9431653207443821,0.9657293983655569,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,5.333333333333333
5,1.293390778762496,2.3617792143734455,0.17058421648451366,36.83333333333333,0.01,-0.21578857023625544,-1.0336831176690704,0.22874223977474256,0.0021550982939098785,1.0559666163277401,0.2287523916942121,1.3409938879953713,1.2897617860157824,-11.791550659180473,90.53979703742743,37.42488117555351,11.791550659180473,90.53979703742743,5.890182902504284,7.194292606250056,0.006006315003089011,0.007336136811500417,1.7383274485444746,2.417401227569486e-16,0.9495551838108746,0.9695996829861291,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,5.666666666666666
6,1.2569499020334356,2.2659834245548875,0.16110731556870733,39.0,0.01,-0.2061957388989291,-1.0334050693893355,0.2112910381820191,0.009850246354552616,1.0537754600386426,0.211520519499364,1.3129169135038874,1.2227470919338945,-11.284059533132108,92.66915821391001,35.90931409756007,11.284059533132108,92.66915821391001,5.410800706850343,6.278416114465697,0.005517481205967728,0.00640220270374256,1.7183492871684343,2.5894772745977846e-16,0.954929658551372,0.9728515069731682,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,6.0
7,1.2234251963882203,2.1793516914085433,0.15262798317035434,41.166666666666664,0.01,-0.19694555910532108,-1.0337416595626812,0.1956042400812476,0.015483931570194067,1.0523351994334855,0.19621613306411073,1.2855842617346642,1.1687876368216141,-10.786564863182122,94.52606655507572,34.25270015340476,10.786564863182122,94.52606655507572,4.998143686622563,5.5512431315870785,0.005096688152042301,0.005660692623461711,1.7017376856062247,1.1786222464707707e-16,0.9594921498783174,0.9756095836134925,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,6.333333333333333
8,1.1924473785453502,2.100577548814657,0.14499658401183663,43.33333333333333,0.01,-0.18805312431511406,-1.0343159890277536,0.18154404400885105,0.019535937006240362,1.0512723446962426,0.18259214865321957,1.2592858645436356,1.125555799224809,-10.30461437902568,96.14195831994351,32.53221567036161,10.30461437902568,96.14195831994351,4.638661467381159,4.96643171637899,0.004730118304804554,0.005064350941839456,1.687057336250867,1.1518411632838835e-16,0.9633977620041159,0.9779687867767397,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,6.666666666666666
9,1.1637094837096942,2.028595360156653,0.13809198477317772,45.5,0.01,-0.1795529312956382,-1.034916950973715,0.16895998805191725,0.022383638307571486,1.0503772420181174,0.17043621923285027,1.2342223881624947,1.091062405862984,-9.842557158417463,97.5465393363566,30.80803956063619,9.842557158417463,97.5465393363566,4.322511518038293,4.489939069110156,0.0044077350757274845,0.004578463664054653,1.6735427216605219,1.8068663200843666e-16,0.9667663853085522,0.980002304614558,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,7.0
10,1.1369539650869684,1.9625268471499746,0.13181507637439693,47.666666666666664,0.01,-0.17147493925072224,-1.0354349164435774,0.15769915038452245,0.0243202515813786,1.0495375748307236,0.1595634565587678,1.2105099124288075,1.0636316928933982,-9.403220754312969,98.7670461064667,29.123961457726722,9.403220754312969,98.7670461064667,4.042306171158118,4.096589830731687,0.0041220051405506655,0.004177359068317608,1.6607982083190582,1.0158136251853462e-16,0.9696918403895681,0.9817673135833637,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,7.333333333333333
11,1.1119629140670966,1.9016413229969287,0.12608398609724925,49.83333333333333,0.01,-0.16383672274090114,-1.0358205201682424,0.14761398252926317,0.025571369035290854,1.0486975835387853,0.1498124919774337,1.1881960319836538,1.0418735728514328,-8.988067232356798,99.82789092305904,27.509467739642417,8.988067232356798,99.82789092305904,3.7923418572552268,3.7676645987488455,0.003867112476997983,0.003841948676407179,1.648627553131182,1.1390568955633015e-16,0.9722483759941571,0.9833089967047706,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,7.666666666666666
12,1.0885505464453167,1.8453256883364055,0.1208304866765305,52.0,0.01,-0.1566428681151057,-1.0360588714837342,0.1385672262717787,0.026309310906254827,1.0478334664017348,0.14104274542498205,1.1672778063251605,1.0246507390316264,-8.597496532129327,100.75059905137607,25.982493796835115,8.597496532129327,100.75059905137607,3.5681107023559657,3.489168255591844,0.0036384603328924415,0.003557961440034919,1.6369387124691774,1.427714213297606e-16,0.9744953584044327,0.9846634349813838,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,8.0
13,1.0665573592075308,1.7930614954229762,0.1159972672094693,54.16666666666666,0.01,-0.1498871552674839,-1.0361537840680366,0.13043439690633157,0.02666506432525608,1.0469387869176927,0.13313210563867936,1.1477176044006947,1.011043044753984,-8.231152461533526,101.55393327553071,24.552226702985593,8.231152461533526,101.55393327553071,3.365980989792257,3.250573683035337,0.0034323453878666588,0.0033146626860705106,1.6256916644551158,1.258639461359878e-16,0.9764807038876557,0.9858597184977984,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,8.333333333333332
14,1.045845535954844,1.7444072053927724,0.11153583385525893,56.33333333333333,0.01,-0.14355542498898255,-1.0361183605665236,0.12310455036686846,0.026737890816900426,1.0460159736575863,0.12597477972342455,1.1294556679147902,1.0003122903524406,-7.888178913125614,102.25412143681706,23.22159627323356,7.888178913125614,102.25412143681706,3.1829811042897806,3.0439067841835143,0.003245737437646679,0.003103921098625437,1.6148704374172236,1.25568112126921e-17,0.9782434240342873,0.9869215085126222,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,8.666666666666666
15,1.0262952974077406,1.6989843124220418,0.1074048770458049,58.5,0.01,-0.13762824363238102,-1.0359695273019283,0.11647997300886016,0.026602874390118707,1.0450714783896433,0.11947927451219825,1.1124194524355164,0.9918697422016695,-7.567415664660217,102.86512844788842,21.989302721481522,7.567415664660217,102.86512844788842,3.016648665860513,2.863079316957971,0.003076125553436202,0.0029195283985438162,1.6044685751957979,2.1264306088822785e-16,0.9798155360510165,0.9878682075995974,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,9.0
