frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,configuration,fn_b,speed_mps,lambda_over_l
0,5.655284970861961,16.7610389796059,3.2612816916742378,1.9265999999999999,0.01,-0.007068584282063191,-0.014638631504831827,0.051233859153738466,-0.0352117926567864,0.01625590403782225,0.06216734404725384,0.01906224298439523,0.07890653045175672,-25.774592587094247,55.50019989369062,43.750856726267955,25.774592587094247,55.50019989369062,4.566810585411356,22.16740315929185,0.004656850795543183,0.02260446040114805,5.502677664323033,2.3240846739514574e-16,0.013995610492069628,0.3166142589302131,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.405334178,1.014
1,5.620244580566254,16.588801485356456,3.2209928105300336,1.9506983333333334,0.01,-0.007871212334323868,-0.014527739479803129,0.04912902693334743,-0.03676685277850548,0.016523050505431576,0.06136336651988607,0.019051072178515156,0.07795607480870846,-28.44908807299319,53.18979832000571,41.084994488900975,28.44908807299319,53.18979832000571,4.5469507530934985,21.452602407960235,0.0046365994025416414,0.021875566485966398,5.529854326571306,3.4741583956913777e-16,0.02665369519297985,0.3278739711187729,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.405334178,1.0266833333333334
2,5.585847557002136,16.420555775019217,3.181687215314785,1.9747966666666668,0.01,-0.008745998359403087,-0.014262812906600461,0.04669495994969221,-0.03834619044525286,0.016730819445304232,0.06042226085117108,0.018990635082019876,0.07679041022684598,-31.516746829100725,50.60694798655959,38.14324887345148,31.516746829100725,50.60694798655959,4.511208678148856,20.70535553542094,0.004600152629235118,0.021113586734941025,5.557742443759804,8.943528241239558e-17,0.03927383644233807,0.3389410362575901,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.405334178,1.0393666666666668
3,5.552074450332887,16.25616129493757,3.1433293430518296,1.9988949999999999,0.01,-0.009696328676045305,-0.01384031841240174,0.04393440627731664,-0.03995295805846028,0.016898911312583576,0.059384096461606674,0.0188921013297166,0.07546242458323464,-35.014534889486356,47.71732366891791,34.88264132101759,35.014534889486356,47.71732366891791,4.465753283231479,19.94191010945465,0.004553801026070553,0.02033508905635936,5.586362241918522,2.6669379464744096e-16,0.051840678746535564,0.349814767996201,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.405334178,1.05205
4,5.518906624083483,16.095484075275976,3.105885325299929,2.022993333333333,0.01,-0.010725721769113702,-0.01325691105607598,0.040849964698189044,-0.04159056048984813,0.017052471909290722,0.058296606571077596,0.018769722789249474,0.07403727781027748,-38.975159433674605,44.485303233111665,31.2574465115043,38.975159433674605,44.485303233111665,4.417691944088204,19.180438324984603,0.004504792099328725,0.019558603932010022,5.615734634252028,2.6343007895134546e-16,0.06434045463354054,0.3604950129221303,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.405334178,1.0647333333333333
5,5.486326211925033,15.93839634715562,3.0693228884130344,2.0470916666666668,0.01,-0.011837842250947105,-0.012509412256019457,0.03744405468722416,-0.04326266227432506,0.01722265670996662,0.057216389072381545,0.018641371778895754,0.07259475443871918,-43.420011872186876,40.87635517044379,27.221693154006118,43.420011872186876,40.87635517044379,4.375114163826051,18.441425368509826,0.004461374846482797,0.018805020438691936,5.645881243855631,4.0725998309165597e-16,0.07676085680614177,0.3709820890156251,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.405334178,1.0774166666666667
6,5.45431607723286,15.784776186274556,3.033611260762936,2.07119,0.01,-0.01303651528443842,-0.011594789741224593,0.033718891000455394,-0.04497319634345227,0.01744677276474373,0.05620989236466567,0.018529036034277246,0.07123145540930394,-48.34982847573116,36.860922541170396,22.733713137220207,48.34982847573116,36.860922541170396,4.347023233702959,17.747969541991615,0.004432730069598649,0.018097892289407308,5.676824426883159,2.018116464976919e-16,0.08909091913558503,0.3812767299824449,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.405334178,1.0901
7,5.422859775210269,15.6345071808956,2.998721086364209,2.0952883333333334,0.01,-0.014325741528467885,-0.010510139460437705,0.02967646234818997,-0.04672637432262489,0.01776766450095001,0.05535382981187116,0.01845914582172254,0.0700622111597483,-53.734211527739376,32.420103886185046,17.763374804267357,53.734211527739376,32.420103886185046,4.343089084524768,17.125853795207718,0.004428718353897374,0.017463510776062896,5.708587296111113,2.255854828389165e-16,0.10132090608094489,0.39138003495199986,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.405334178,1.1027833333333334
8,5.391941517387847,15.487478122276404,2.9646243443918934,2.1193866666666663,0.01,-0.015709712669426716,-0.009252669391779189,0.025318513704472044,-0.04852669842395358,0.01823203123707048,0.05473451923724988,0.018462547992223643,0.06921974322775808,-59.50286632689799,27.553030848451584,12.302160904058411,59.50286632689799,27.553030848451584,4.3731710862017685,16.60318456796269,0.00445939345872624,0.016930536491016494,5.741193744831317,3.328803043147605e-16,0.1134422100990699,0.40129342306686006,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.405334178,1.1154666666666666
9,5.361546138324173,15.343582715788475,2.931294274128154,2.143485,0.01,-0.017192827605532684,-0.007819685204476736,0.020646531867517734,-0.050378974975834885,0.01888758316383224,0.05444557280231537,0.018573902075563177,0.06885133926313283,-65.54289010442854,22.28501408771706,6.375017192046357,65.54289010442854,22.28501408771706,4.446619287270365,16.20936307553092,0.004534289780169951,0.016528950330164657,5.774668470989478,2.239567331303517e-16,0.125447256600573,0.41101859252668527,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.405334178,1.12815
10,5.331659064348433,15.202719311126828,2.8987053049154214,2.1675833333333334,0.01,-0.018779709353508135,-0.006208577735175732,0.01566173394412956,-0.05228832963936732,0.019779381206093398,0.054583507826190855,0.01883030597613078,0.0691114655272699,-71.70609816659648,16.674345035370493,0.050866720704874524,71.70609816659648,16.674345035370493,4.5714634833759025,15.973226748022615,0.004661595431034965,0.016288158288531373,5.809037001470374,3.436536661645157e-16,0.13732941600655907,0.42055748368469137,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.405334178,1.1408333333333334
11,5.302266284198574,15.064790650151693,2.866832990730673,2.1916816666666668,0.01,-0.02047522274997827,-0.0044168122534962205,0.0103650584851124,-0.05426022437107264,0.020946192425924624,0.055241346708773724,0.019269119229262915,0.07015021459665567,-77.8269702420839,10.814637481325974,-6.553293927394634,77.8269702420839,10.814637481325974,4.753694747117713,15.920445103166857,0.004847419605183945,0.016234335989524312,5.844325716410682,1.228318547147323e-16,0.1490829224665656,0.4299122458278014,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.405334178,1.1535166666666667
12,5.273354321420639,14.92970363102993,2.8356539490290493,2.2157799999999996,0.01,-0.022284493022652986,-0.002441919505015604,0.004757159049048314,-0.05630047620079916,0.022417885719791805,0.05650109895085842,0.019925244746526582,0.07209931982194948,-83.74651784555219,4.829785718680569,-13.279750565472426,83.74651784555219,4.829785718680569,4.996858187734826,16.07065363279789,0.005095377307984711,0.01638750606251665,5.88056187339824,1.5940800625840844e-16,0.16070279880884,0.4390852073025213,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.405334178,1.1662
13,5.244910208405784,14.797369087457731,2.8051458035352757,2.239878333333333,0.01,-0.024212925308964635,-0.00028148853463737174,-0.001161599980928383,-0.05841527790319279,0.024214561482972026,0.05842682609061472,0.020828445358162997,0.0750593538923728,-89.33393514910355,-1.1391883846509643,-19.950065199343356,89.33393514910355,-1.1391883846509643,5.302072005588214,16.435156148094855,0.005406608786474703,0.016759195187036204,5.917773631390724,1.4320392901169107e-16,0.17218478730831263,0.44807884867737935,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.405334178,1.1788833333333333
14,5.216921461951359,14.667701581849268,2.7752871306887377,2.2639766666666667,0.01,-0.026266225202312782,0.002066838690626364,-0.007391145457853924,-0.06061122065069301,0.02634741749302351,0.06106020881020756,0.02200140235401674,0.07909218207130028,-94.49922374366726,-6.952522652689936,-26.392403256863076,94.49922374366726,-6.952522652689936,5.668422122095318,17.016008292139496,0.005780181939903349,0.01735149953566151,5.955990074157157,5.123423335210403e-16,0.18352528587434622,0.45689577865948516,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.405334178,1.1915666666666667
15,5.189376060241433,14.540619211469462,2.7460574094728476,2.288075,0.01,-0.02845042040835623,0.0046053708230208434,-0.013931695496611532,-0.06289531874559293,0.02882075401216534,0.06441982039341648,0.023459021712799136,0.08422091845529131,-99.1949137872994,-12.4897007639741,-32.46643728569475,99.1949137872994,-12.4897007639741,6.093560695761988,17.806795694641192,0.006213702636233564,0.01815787827101119,5.995241233011695,3.4367361009992626e-16,0.1947212892787288,0.465538712507475,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.405334178,1.20425
16,5.162262421150358,14.41604342657357,2.717436974381788,2.3121733333333334,0.01,-0.030771883595824296,0.007336368784278769,-0.020783757510189686,-0.0652750365382492,0.03163433462195626,0.06850397777729506,0.025209040144483788,0.0904365357008706,-103.40964110219868,-17.661623300105333,-38.07758749609951,103.40964110219868,-17.661623300105333,6.574320435610514,18.794729583829827,0.006703941137504158,0.019165290475167185,6.035558108570386,1.2253493327276362e-16,0.2057703350637651,0.47401045270590547,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.405334178,1.2169333333333334
