outer_panel_index,xi_mid,eta_mid,panel_length,arc_mid,normalized_arc_mid,s_nu,k_contribution,k_fraction,cumulative_k_fraction
0,4.320173245962055,0.40867854535436365,0.01621453743290984,0.00810726871645492,0.0005148054174741498,-0.3051966956851695,0.0015103034630493434,0.3498646389158161,0.3498646389158161
1,4.3285018433692475,0.3943222172516301,0.017025727568199416,0.02472740121700955,0.0015701712317412594,0.22060310439278918,0.0008285694552305103,0.1919396732929467,0.5418043122087628
2,4.338842400468734,0.38030001957156195,0.01787655544300678,0.04217854272261265,0.002678305487851237,0.0288763486283945,1.4906249739247429e-05,0.003453060798841851,0.5452573730076047
3,4.351272144093125,0.36687370369708827,0.018770706327259634,0.060502173607745846,0.0038418421581379045,0.052418456767227006,5.157616859863212e-05,0.01194771649863597,0.5572050895062406
4,4.365630983621324,0.3540937792513874,0.01970902142932996,0.07974203748604064,0.005063558928905366,0.038520239014233404,2.9244419706511373e-05,0.006774524849637387,0.563979614355878
5,4.381725011826909,0.34190583619722814,0.0206946055395555,0.09994385097048336,0.006346358770421051,0.03414402773330272,2.4126073897041324e-05,0.005588850412487524,0.5695684647683655
6,4.399451612238889,0.33027463414065195,0.021729275117196297,0.12115579129885926,0.007693300900761751,0.029187505737831465,1.8511397438422518e-05,0.004288200046595048,0.5738566648149606
7,4.418736866624814,0.3191483880445106,0.022815767769234652,0.14342831274207474,0.009107589127881262,0.025770038825645436,1.5151835039666292e-05,0.0035099510957631065,0.5773666159107237
8,4.439541649762079,0.3084814159302859,0.023956545825298787,0.16681446953934148,0.010592592355749757,0.022781762752999146,1.2433656043879113e-05,0.0028802798170191957,0.5802468957277429
9,4.461849633539982,0.29823050903247217,0.02515437823394576,0.19136993156896376,0.01215184557943691,0.020427858169151047,1.0496856368476279e-05,0.0024316165280408642,0.5826785122557837
10,4.485663481567543,0.2883579180840819,0.02641209584194934,0.2171531686069113,0.013789061585391577,0.01842617473566266,8.967538193892732e-06,0.0020773470954211586,0.5847558593512049
11,4.511000425430686,0.2788303905523062,0.02773270164224981,0.24422556734901085,0.015508138382262258,0.016766670008115936,7.79625100722985e-06,0.0018060162148038615,0.5865618755660087
12,4.537889725604082,0.26961920833113345,0.029119336689501736,0.27265158651488663,0.01731316904987973,0.015350446463034073,6.8615700366439016e-06,0.001589495609325482,0.5881513711753341
13,4.5663706203106695,0.26069953031532056,0.030575303812201582,0.3024989067657383,0.01920845125892229,0.014146943935730683,6.119219698451299e-06,0.0014175287567193158,0.5895688999320535
14,4.596490967719655,0.25204998741069756,0.03210406909241692,0.33383859321804754,0.02119849759041294,0.01311110561646145,5.51872448602458e-06,0.001278422910903291,0.5908473228429567
15,4.628306244622671,0.2436521859947003,0.03370927267289387,0.36674526410070296,0.023288046245318942,0.012219276185905903,5.033155453479054e-06,0.0011659399308952577,0.592013262773852
16,4.6618788656686,0.2354903206434561,0.035394736380292675,0.4012972686272962,0.025482072339307785,0.011446806689785483,4.637750483278778e-06,0.0010743436255770337,0.593087606399429
17,4.697277710146245,0.22755080694379332,0.037164473270080135,0.43757687345248264,0.027785799742584754,0.010777101947879508,4.316502176935237e-06,0.0009999258509701511,0.5940875322503992
18,4.734577816901715,0.2198219782063533,0.03902269698470547,0.47567045857987544,0.03020471351989566,0.010194411661304859,4.055473943179231e-06,0.000939458169484808,0.5950269904198839
19,4.7738602001280555,0.2122938150095621,0.04097383187864916,0.5156687230115526,0.032744572989114665,0.009686238119569257,3.844296388152604e-06,0.0008905384915233055,0.5959175289114073
20,4.815211762023569,0.2049577160575318,0.04302252350765422,0.5576669007047044,0.03541142543432764,0.009240767469339106,3.673770009650544e-06,0.0008510357350906431,0.596768564646498
21,4.8587252800838385,0.197806297471463,0.04517364971301312,0.601764987315038,0.03821162050386654,0.008847695229486918,3.5362705859522766e-06,0.0008191837348799043,0.5975877483813778
22,4.904499455675998,0.19083322182356727,0.0474323322231176,0.6480679782831034,0.04115182532861052,0.008497508044437274,3.424976910177241e-06,0.0007934023454828156,0.5983811507268607
23,4.952639012713813,0.18403305193976174,0.04980394885510571,0.6966861188222151,0.044239040396029515,0.00818215279973189,3.334256063488966e-06,0.000772386690652331,0.599153537417513
24,5.003254839032827,0.177401129948707,0.052294146315213744,0.7477351664073748,0.04748061621803182,0.007895181233639414,3.2596973921139126e-06,0.0007551150341429771,0.599908652451656
25,5.056464164431577,0.1709334793040595,0.05490885364577436,0.8013366663878689,0.05088427083215507,0.007632366795189638,3.198606708637612e-06,0.0007409632623709634,0.600649615714027
26,5.112390771019679,0.16462672825185454,0.057654296340536725,0.8576182413810245,0.05445810817785041,0.007391851589821363,3.1502001910002553e-06,0.0007297498014813404,0.6013793655155083
27,5.171165232274553,0.158478049991265,0.06053701116823275,0.9167138951354092,0.05821063739156529,0.007174087806341767,3.1156907927406326e-06,0.0007217556344435929,0.6021011211499518
28,5.232925178091488,0.15248511281628604,0.06356386173572975,0.9787643315873904,0.062150793066593116,0.006981088740081409,3.097822939810239e-06,0.0007176165126931392,0.602818737662645
29,5.297815583769144,0.14664603085252265,0.0667420548303613,1.0439172898704359,0.06628795652590987,0.006815213428681632,3.099977169379219e-06,0.0007181155440260682,0.603536853206671
30,5.365989081728947,0.14095930619421154,0.07007915757867166,1.1123278960749523,0.07063197815865718,0.0066775671829581995,3.124822872597332e-06,0.0007238710979247953,0.6042607243045959
31,5.437606295642347,0.13542375643688553,0.07358311546356706,1.1841590325960718,0.07519320087344682,0.006566628308610545,3.17294862901188e-06,0.0007350195199488904,0.6049957438245448
