case_order,case_label,time_step_s,coefficient,value_nondimensional,harmonic_fit_residual_nrmse,sun_fig7_13_value,sun_fig7_13_digitization_uncertainty,reference_relative_error
0,sub8,0.0031103849223331993,A33,0.9533654512416857,0.018092587526104868,1.00621118,0.0372670807,0.05251952056258636
0,sub8,0.0031103849223331993,A53,-0.23091438306912437,0.01960818059243611,-0.208074534,0.0372670807,0.10976763292486512
0,sub8,0.0031103849223331993,B33,2.096662366980895,0.018092587526104868,2.57342657,0.111888112,0.18526435087639018
0,sub8,0.0031103849223331993,B53,0.8324206929426765,0.01960818059243611,1.68764569,0.111888112,0.5067562475494033
1,sub16,0.0015551924611665996,A33,0.9623421070114798,0.019716516859907687,1.00621118,0.0372670807,0.04359827624705995
1,sub16,0.0015551924611665996,A53,-0.23411006849092772,0.021201890881311504,-0.208074534,0.0372670807,0.12512600168037724
1,sub16,0.0015551924611665996,B33,2.1118859726855232,0.019716516859907687,2.57342657,0.111888112,0.17934865626046476
1,sub16,0.0015551924611665996,B53,0.8460249723351007,0.021201890881311504,1.68764569,0.111888112,0.49869514830740297
2,sub32,0.0007775962305832998,A33,0.9574997348368078,0.01918641469031699,1.00621118,0.0372670807,0.04841075723606266
2,sub32,0.0007775962305832998,A53,-0.24203001623613146,0.021772125148206575,-0.208074534,0.0372670807,0.1631890341570173
2,sub32,0.0007775962305832998,B33,2.1223092707604883,0.01918641469031699,2.57342657,0.111888112,0.17529829857920207
2,sub32,0.0007775962305832998,B53,0.8475466069781289,0.021772125148206575,1.68764569,0.111888112,0.4977935167315073
