title,station_index,frequency_index,omega_rad_s,quantity,orientation,row_mode,col_mode,heading_index,wave_heading_rad,wave_heading_deg,force_real,force_imag,complex_added_mass_real_per_m,complex_added_mass_imag_per_m,added_mass_per_m,damping_over_omega_per_m,damping_per_m,status
Station section hydrodynamics: example_station_hull.yml,1,2,0.639226437,radiation,as_written_section_force_rows,sway,sway,,,,39.6050186,-0.08131103218,96.92610599264692,-0.1989940164666456,96.92610599264692,-0.1989940164666456,-0.12720223613029322,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,2,0.639226437,radiation,as_written_section_force_rows,sway,heave,,,,-8.420886297e-05,-4.424016515e-05,-0.000206085932194222,-0.00010826978721482294,-0.000206085932194222,-0.00010826978721482294,-6.920891031607943e-05,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,2,0.639226437,radiation,as_written_section_force_rows,sway,roll,,,,45.7159348,-0.108606167,111.8814660013248,-0.26579391264563407,111.8814660013248,-0.26579391264563407,-0.16990249575675792,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,2,0.639226437,radiation,as_written_section_force_rows,heave,sway,,,,-7.236699457e-05,1.587497172e-05,-0.00017710510521161892,3.885111649873061e-05,-0.00017710510521161892,3.885111649873061e-05,2.4834660772955483e-05,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,2,0.639226437,radiation,as_written_section_force_rows,heave,heave,,,,1178.39099,-973.559753,2883.8984056813483,-2382.6110716547714,2883.8984056813483,-2382.6110716547714,-1523.0279860906314,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,2,0.639226437,radiation,as_written_section_force_rows,heave,roll,,,,-4.461201388e-05,1.327204973e-05,-0.00010917981959686078,3.248093661720086e-05,-0.00010917981959686078,3.248093661720086e-05,2.0762673384236137e-05,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,2,0.639226437,radiation,as_written_section_force_rows,roll,sway,,,,45.7575302,-0.108694039,111.9832632051066,-0.2660089634418932,111.9832632051066,-0.2660089634418932,-0.17003996191102463,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,2,0.639226437,radiation,as_written_section_force_rows,roll,heave,,,,-4.942694432e-05,0.0001568237494,-0.00012096348931024055,0.0003837977078114212,-0.00012096348931024055,0.0003837977078114212,0.00024533364129306187,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,2,0.639226437,radiation,as_written_section_force_rows,roll,roll,,,,60.5892105,-0.145182535,148.28111301363703,-0.35530794513226593,148.28111301363703,-0.35530794513226593,-0.22712223180468985,external_pdstrip_reference_smoke_not_a_validation_gate
Station section hydrodynamics: example_station_hull.yml,1,2,0.639226437,radiation,pdstrip_internal_transposed,sway,sway,,,,39.6050186,-0.08131103218,96.92610599264692,-0.1989940164666456,96.92610599264692,-0.1989940164666456,-0.12720223613029322,external_pdstrip_reference_smoke_not_a_validation_gate
