station_index,frequency_index,x_m,omega_rad_s,row_mode,col_mode,pdstrip_added_mass_per_m,section_bem_added_mass_per_m,added_mass_rel_error_vs_pdstrip,pdstrip_damping_same_sign_per_m,pdstrip_damping_section_bem_sign_per_m,section_bem_damping_per_m,damping_rel_error_same_sign_vs_pdstrip,damping_rel_error_sign_adjusted_vs_pdstrip,section_bem_condition_number,section_bem_max_residual_norm,body_panel_count,free_surface_panel_count,status
1,1,0.0,0.521926165,sway,sway,96.40738581453225,24.547605081328168,0.7453763020962662,-0.046596213182759284,0.046596213182759284,0.0006872365768999595,1.0147487645445454,0.9852512354554546,7.303719053547997,3.3887394196626337e-16,8,8,external_pdstrip_reference_smoke_not_a_validation_gate
1,1,0.0,0.521926165,sway,heave,-0.000144391382542186,9.781452109800924e-15,1.0000000000677427,-4.288269056217942e-06,4.288269056217942e-06,-4.9855427615230034e-18,0.9999999999988374,1.0000000000011626,7.303719053547997,3.3887394196626337e-16,8,8,external_pdstrip_reference_smoke_not_a_validation_gate
1,1,0.0,0.521926165,sway,roll,111.27127574272812,27.720606770951743,0.7508736501319087,-0.06225103399443482,0.06225103399443482,0.000983256399082344,1.0157950211585278,0.984204978841472,7.303719053547997,3.3887394196626337e-16,8,8,external_pdstrip_reference_smoke_not_a_validation_gate
1,1,0.0,0.521926165,heave,sway,6.858769326640016e-05,-8.966331100650846e-15,1.0000000001307279,2.625165189792698e-06,-2.625165189792698e-06,-6.855121297094129e-18,1.0000000000026112,0.9999999999973888,7.303719053547997,3.3887394196626337e-16,8,8,external_pdstrip_reference_smoke_not_a_validation_gate
1,1,0.0,0.521926165,heave,heave,3248.8318080879735,223.99023014820648,0.9310551473946473,-1293.9676841071953,1293.9676841071953,0.31722907619104185,1.0002451599681255,0.9997548400318745,7.303719053547997,3.3887394196626337e-16,8,8,external_pdstrip_reference_smoke_not_a_validation_gate
1,1,0.0,0.521926165,heave,roll,-0.00022313864140483027,6.520968073200616e-15,1.0000000000292237,5.727629100564445e-06,-5.727629100564445e-06,-1.4541166387775426e-18,1.000000000000254,0.9999999999997461,7.303719053547997,3.3887394196626337e-16,8,8,external_pdstrip_reference_smoke_not_a_validation_gate
1,1,0.0,0.521926165,roll,sway,111.17036531127769,27.540490294461666,0.7522676999634919,-0.06220187746287829,0.06220187746287829,0.0009533104723321519,1.0153260723183328,0.9846739276816672,7.303719053547997,3.3887394196626337e-16,8,8,external_pdstrip_reference_smoke_not_a_validation_gate
1,1,0.0,0.521926165,roll,heave,-6.995944618534986e-05,1.3041936146401231e-14,1.0000000001864213,5.9990999205797625e-05,-5.9990999205797625e-05,6.647390348697338e-18,0.9999999999998892,1.0000000000001108,7.303719053547997,3.3887394196626337e-16,8,8,external_pdstrip_reference_smoke_not_a_validation_gate
1,1,0.0,0.521926165,roll,roll,147.30429295949202,37.550028870241164,0.7450853052832124,-0.08310086464049948,0.08310086464049948,0.0013640132030055372,1.016413947182215,0.9835860528177852,7.303719053547997,3.3887394196626337e-16,8,8,external_pdstrip_reference_smoke_not_a_validation_gate
1,26,0.0,6.17551374,sway,sway,60.885757124018134,22.853598923207493,0.6246478650720065,-152.084900551124,152.084900551124,0.16373119050528467,1.0010765775557728,0.9989234224442273,4.302106394396273,4.088855847747653e-16,8,8,external_pdstrip_reference_smoke_not_a_validation_gate
