case,mode,order,error,tolerance,passed
fn167,3,1,0.0013730040756799677,0.001,False
fn167,5,1,0.0005085882942167289,0.001,True
fn167,3,2,0.001346811715059523,0.001,False
fn167,5,2,0.000499072089914919,0.001,True
fn226,3,1,0.0019348200747857883,0.001,False
fn226,5,1,0.000526938693463685,0.001,True
fn226,3,2,0.0018990052187458852,0.001,False
fn226,5,2,0.0005174066412157681,0.001,True
fn282,3,1,0.0024408984017784316,0.001,False
fn282,5,1,0.0004804902401867579,0.001,True
fn282,3,2,0.0023960818932327213,0.001002069598772668,False
fn282,5,2,0.00047192255072456507,0.001,True
