level,case,mode,order,delta_real,delta_imag,difference_from_pointwise
mid,fn167,3,1,-40.650486027176484,-61.74341634236352,3.1170563230562798
mid,fn167,5,1,-25.718142650593954,-41.89078916798927,2.059220931534388
mid,fn167,3,2,-42.05526273339329,-63.72484336324656,0.6881808304151061
mid,fn167,5,2,-26.597385081441992,-43.23319369236553,0.4545051504077047
mid,fn226,3,1,-81.1865688544926,-68.80537702514641,4.175156567673369
mid,fn226,5,1,-37.515366489150495,-34.53557452130576,1.9933554353820986
mid,fn226,3,2,-83.69747179552289,-70.88291713730507,0.9161990842233936
mid,fn226,5,2,-38.66715206687567,-35.58166771359275,0.4374245685156322
mid,fn282,3,1,-119.50036194938642,-63.59545043519424,5.195130030374091
mid,fn282,5,1,-38.49403943884292,-23.743008827743104,1.7303599134062302
mid,fn282,3,2,-123.09479962663588,-65.47741332641954,1.1378198788764466
mid,fn282,5,2,-39.64368304077473,-24.45319214456716,0.37904917842431435
fine,fn167,3,1,-46.282575747931375,-71.01370388376317,2.874629309100707
fine,fn167,5,1,-29.408612847863225,-48.573641577102165,1.8912604679742928
fine,fn167,3,2,-47.576548721296476,-72.82032638692816,0.6524137148380283
fine,fn167,5,2,-30.21686683680899,-49.79207187424174,0.4291236218377556
fine,fn226,3,1,-92.36026626112252,-79.2359161394995,3.844151430360813
fine,fn226,5,1,-43.01685907732865,-40.218456775186795,1.8250830687419004
fine,fn226,3,2,-94.66119667317193,-81.12374210246756,0.8678843289303503
fine,fn226,5,2,-44.06800937637445,-41.162829768829965,0.412016476805746
fine,fn282,3,1,-136.01881831538068,-73.54536384288247,4.7812600673831405
fine,fn282,5,1,-44.37263448408558,-27.921582115286313,1.5787871516096004
fine,fn282,3,2,-139.3072264097818,-75.24918681473201,1.0776618462588232
fine,fn282,5,2,-45.41687118411697,-28.558079356845795,0.3558566492796714
