component,sigma,in_phase_center_from_cg_m,in_phase_center_from_transom_m,in_phase_center_from_transom_over_beam,damping_center_from_cg_m,damping_center_from_transom_m,damping_center_from_transom_over_beam,restoring_subtraction,response_calibration_used
raw_bem,1.4,0.5167569789310503,0.9842169789310503,3.0950219463240574,0.08084819411008745,0.5483081941100875,1.7242396041197718,zero_diagnostic_only,False
resolved_station_bem,1.4,0.5211663453575279,0.9886263453575279,3.108887878482792,0.09706874373197699,0.564528743731977,1.77524762179867,zero_diagnostic_only,False
transom_extrapolation,1.4,-0.4468423777405504,0.020617622259449575,0.06483529012405527,-0.4322073200960322,0.0352526799039678,0.1108574839747415,zero_diagnostic_only,False
pre_chine_bem,1.4,0.4306042155935292,0.8980642155935292,2.8241013068978904,0.3708932115831336,0.8383532115831336,2.636330854035011,zero_diagnostic_only,False
post_chine_bem,1.4,-0.03934283209229626,0.4281171679077037,1.3462804022254833,-0.06554800125143312,0.40191199874856687,1.2638742099011537,zero_diagnostic_only,False
longitudinal_bin_aft_post_chine,1.4,-0.1729258602893449,0.2945341397106551,0.926207986511494,-0.3466095492356036,0.12085045076439638,0.3800328640389823,zero_diagnostic_only,False
longitudinal_bin_middle_post_chine,1.4,-0.11241971659252846,0.3550402834074715,1.1164788786398474,-0.11142605656155675,0.35603394343844325,1.119603595718375,zero_diagnostic_only,False
longitudinal_bin_forward_post_chine,1.4,0.053694557735452064,0.521154557735452,1.6388508104888428,0.1218160000300178,0.5892760000300178,1.8530691824843326,zero_diagnostic_only,False
longitudinal_bin_pre_chine,1.4,0.4306042155935292,0.8980642155935292,2.8241013068978904,0.3708932115831336,0.8383532115831336,2.636330854035011,zero_diagnostic_only,False
bem,1.4,0.5167569789310503,0.9842169789310503,3.0950219463240574,0.08084819411008745,0.5483081941100875,1.7242396041197718,zero_diagnostic_only,False
front,1.4,0.7736900153915751,1.241150015391575,3.9029874697848275,0.6216450647803198,1.0891050647803198,3.4248586942777353,zero_diagnostic_only,False
transom,1.4,nan,nan,nan,nan,nan,nan,zero_diagnostic_only,False
total,1.4,0.5986807658795088,1.0661407658795088,3.3526439178600906,0.13456752059698215,0.6020275205969822,1.893168303764095,zero_diagnostic_only,False
