case,net_vertical_force_n,moment_nm,net_force_per_weight,moment_per_weight_length
fn167,-52.156715080844265,0.617804380076836,-0.16314268088549072,0.0010170791367829593
fn226,-39.791146923598035,7.998438666059922,-0.12446401915001794,0.013167671444925524
fn282,-24.628856483142613,7.8754561255540265,-0.07703739906886108,0.012965207719884346
