case,method,coefficient,analytic,numerical,error,tolerance,passed
fn167,production,C33,6.859943420615906,6.859943422285583,1.6696768412316487e-09,6.860943420615906e-05,True
fn167,production,C35,-0.32112530920994226,-0.32112528980017463,1.940976762648816e-08,3.2212530920994227e-06,True
fn167,production,C53,0.7773078031759325,0.7773078050560177,1.8800851986355838e-09,7.783078031759326e-06,True
fn167,production,C55,0.3235814459916297,0.3235814539125496,7.920919919968128e-09,3.245814459916297e-06,True
fn167,0.0001,C33,6.859943420615906,6.859943588151195,1.6753528875312895e-07,6.860943420615906e-05,True
fn167,0.0001,C35,-0.32112530920994226,-0.3211233678093957,1.9414005465456796e-06,3.2212530920994227e-06,True
fn167,0.0001,C53,0.7773078031759325,0.7773079911489224,1.879729898401905e-07,7.783078031759326e-06,True
fn167,0.0001,C55,0.3235814459916297,0.3235822381042537,7.921126239929244e-07,3.245814459916297e-06,True
fn167,5e-05,C33,6.859943420615906,6.859943462500924,4.1885018120524364e-08,6.860943420615906e-05,True
fn167,5e-05,C35,-0.32112530920994226,-0.3211248238605873,4.853493549283883e-07,3.2212530920994227e-06,True
fn167,5e-05,C53,0.7773078031759325,0.7773078501696707,4.699373823413566e-08,7.783078031759326e-06,True
fn167,5e-05,C55,0.3235814459916297,0.3235816440192389,1.9802760919951368e-07,3.245814459916297e-06,True
fn167,1e-05,C33,6.859943420615906,6.859943422285583,1.6696768412316487e-09,6.860943420615906e-05,True
fn167,1e-05,C35,-0.32112530920994226,-0.32112528980017463,1.940976762648816e-08,3.2212530920994227e-06,True
fn167,1e-05,C53,0.7773078031759325,0.7773078050560177,1.8800851986355838e-09,7.783078031759326e-06,True
fn167,1e-05,C55,0.3235814459916297,0.3235814539125496,7.920919919968128e-09,3.245814459916297e-06,True
fn226,production,C33,6.158641938004336,6.158641939787943,1.7836070398402626e-09,6.159641938004336e-05,True
fn226,production,C35,-1.2868497868346263,-1.2868497779899455,8.844680765562885e-09,1.2878497868346264e-05,True
fn226,production,C53,1.035452248706345,1.0354522500444854,1.33814048730585e-09,1.0364522487063449e-05,True
fn226,production,C55,0.28377659550563494,0.28377659860512455,3.0994896094149738e-09,2.8477659550563496e-06,True
fn226,0.0001,C33,6.158641938004336,6.158642115945645,1.7794130879877912e-07,6.159641938004336e-05,True
fn226,0.0001,C35,-1.2868497868346263,-1.286848902945543,8.838890832585378e-07,1.2878497868346264e-05,True
fn226,0.0001,C53,1.035452248706345,1.0354523824612825,1.337549375701741e-07,1.0364522487063449e-05,True
fn226,0.0001,C55,0.28377659550563494,0.28377690543371026,3.099280753149358e-07,2.8477659550563496e-06,True
fn226,5e-05,C33,6.158641938004336,6.158641982490738,4.448640211762722e-08,6.159641938004336e-05,True
fn226,5e-05,C35,-1.2868497868346263,-1.2868495658630072,2.2097161900269668e-07,1.2878497868346264e-05,True
fn226,5e-05,C53,1.035452248706345,1.0354522821449346,3.3438589674972263e-08,1.0364522487063449e-05,True
fn226,5e-05,C55,0.28377659550563494,0.2837766729875588,7.748192387690978e-08,2.8477659550563496e-06,True
fn226,1e-05,C33,6.158641938004336,6.158641939787943,1.7836070398402626e-09,6.159641938004336e-05,True
fn226,1e-05,C35,-1.2868497868346263,-1.2868497779899455,8.844680765562885e-09,1.2878497868346264e-05,True
fn226,1e-05,C53,1.035452248706345,1.0354522500444854,1.33814048730585e-09,1.0364522487063449e-05,True
fn226,1e-05,C55,0.28377659550563494,0.28377659860512455,3.0994896094149738e-09,2.8477659550563496e-06,True
fn282,production,C33,5.9877487490680075,5.987748751325904,2.257896092316969e-09,5.9887487490680084e-05,True
fn282,production,C35,-2.157781178296585,-2.157781173174217,5.12236786320841e-09,2.1587811782965852e-05,True
fn282,production,C53,1.4009582507546878,1.4009582517928458,1.0381580040075278e-09,1.401958250754688e-05,True
fn282,production,C55,0.2962061964556228,0.2962061979802122,1.5245893991711057e-09,2.9720619645562283e-06,True
fn282,0.0001,C33,5.9877487490680075,5.987748973799346,2.2473133842737525e-07,5.9887487490680084e-05,True
fn282,0.0001,C35,-2.157781178296585,-2.1577806659246703,5.123719146737926e-07,2.1587811782965852e-05,True
fn282,0.0001,C53,1.4009582507546878,1.4009583546008322,1.0384614435032802e-07,1.401958250754688e-05,True
fn282,0.0001,C55,0.2962061964556228,0.29620634889357617,1.5243795337127608e-07,2.9720619645562283e-06,True
fn282,5e-05,C33,5.9877487490680075,5.987748805253363,5.6185355923332736e-08,5.9887487490680084e-05,True
fn282,5e-05,C35,-2.157781178296585,-2.1577810502041497,1.280924353252999e-07,2.1587811782965852e-05,True
fn282,5e-05,C53,1.4009582507546878,1.4009582767168203,2.5962132443879682e-08,1.401958250754688e-05,True
fn282,5e-05,C55,0.2962061964556228,0.29620623456492373,3.8109300937172463e-08,2.9720619645562283e-06,True
fn282,1e-05,C33,5.9877487490680075,5.987748751325904,2.257896092316969e-09,5.9887487490680084e-05,True
fn282,1e-05,C35,-2.157781178296585,-2.157781173174217,5.12236786320841e-09,2.1587811782965852e-05,True
fn282,1e-05,C53,1.4009582507546878,1.4009582517928458,1.0381580040075278e-09,1.401958250754688e-05,True
fn282,1e-05,C55,0.2962061964556228,0.2962061979802122,1.5245893991711057e-09,2.9720619645562283e-06,True
