sweep,far_radius,pseudo_cfl,grid_mode,root_spacing_ratio,far_spacing_ratio,endpoint_decay,coarse_run,fine_run,coarse_level,fine_level,coarse_kinematic_integral,fine_kinematic_integral,kinematic_integral_relative_change,outer_panels
outer_panels,20.0,0.25,double_ended,0.08,0.25,4.0,self_similar_wedge_20deg_doubleended80_r20_probe12_v127,self_similar_wedge_20deg_doubleended120_r20_probe4_v128,80.0,120.0,0.003612683550499718,0.003643316350758768,0.008407944111872243,
pseudo_cfl,20.0,,double_ended,0.08,0.25,4.0,self_similar_wedge_20deg_doubleended80_r20_cfl0125_probe24_v137,self_similar_wedge_20deg_doubleended80_r20_probe12_v127,0.125,0.25,0.004610910856901905,0.003612683550499718,0.2763118586082937,80.0
