outer_iteration,coefficient_index,unscaled_step,trust_scaled_step,trust_region_step_scale
1,0,0.007017601348327891,0.00042615775930204434,0.060726983216791944
1,1,0.011727179749624178,0.0007121562478357298,0.060726983216791944
1,2,0.007854994033527102,0.0004770100908420012,0.060726983216791944
1,3,0.003025637424225409,0.00018373783308103401,0.060726983216791944
1,4,0.0013711893742024976,8.326819411423852e-05,0.060726983216791944
1,5,-7.215812941588438e-05,-4.381945513993512e-06,0.060726983216791944
1,6,-0.0009564719771174898,-5.808365770174561e-05,0.060726983216791944
1,7,-0.001663910787049013,-0.00010104428243936449,0.060726983216791944
1,8,-0.0019913049005007145,-0.00012092593927222244,0.060726983216791944
1,9,-0.0020864537519066084,-0.0001267040419746452,0.060726983216791944
1,10,-0.00199292241440368,-0.00012102416601186075,0.060726983216791944
1,11,-0.0018111925014501515,-0.00010998825663794277,0.060726983216791944
1,12,-0.0015711852538528622,-9.541334054119376e-05,0.060726983216791944
1,13,-0.001274574588049306,-7.740106961701971e-05,0.060726983216791944
1,14,-0.0009158518606280883,-5.5616920569429595e-05,0.060726983216791944
1,15,-0.0005827799286578326,-3.53904669466874e-05,0.060726983216791944
1,16,-0.0002811210904468724,-1.707163574145347e-05,0.060726983216791944
1,17,-4.8626905656871944e-05,-2.952965283709388e-06,0.060726983216791944
1,18,0.0001492333904909842,9.062493599730956e-06,0.060726983216791944
1,19,0.00028653357808429707,1.740031978737245e-05,0.060726983216791944
1,20,0.0004032927987527707,2.4490755021312558e-05,0.060726983216791944
1,21,0.0004538554770369945,2.756127393687467e-05,0.060726983216791944
1,22,0.00045469327148398887,2.7612150666196417e-05,0.060726983216791944
1,23,0.0004063572275473822,2.4676848537291984e-05,0.060726983216791944
1,24,0.00035290308378486956,2.1430739646157896e-05,0.060726983216791944
1,25,0.00030535505184439,1.8543291108516906e-05,0.060726983216791944
1,26,0.000259328247023698,1.5748222104648186e-05,0.060726983216791944
1,27,0.00018056156815340744,1.0964959318849609e-05,0.060726983216791944
1,28,6.008046060039366e-05,3.6485051225372358e-06,0.060726983216791944
1,29,-5.976744576544069e-07,-3.6294966759084396e-08,0.060726983216791944
1,30,3.372451499481497e-05,2.047988056084577e-06,0.060726983216791944
1,31,-3.056961193359281e-05,-1.8564003108351334e-06,0.060726983216791944
1,32,-0.00016522693654538127,-1.0033733402553315e-05,0.060726983216791944
1,33,-0.0001265406838295522,-7.684433983158591e-06,0.060726983216791944
1,34,-0.00010438789310073779,-6.339161832364775e-06,0.060726983216791944
1,35,-0.00016760320493178454,-1.017803701297302e-05,0.060726983216791944
1,36,-0.00015975931743238635,-9.701701388442662e-06,0.060726983216791944
1,37,-0.00013110191082892726,-7.96142353859762e-06,0.060726983216791944
1,38,-0.00012119239916863939,-7.359648790316714e-06,0.060726983216791944
1,39,-9.18563369610363e-05,-5.578158232988837e-06,0.060726983216791944
1,40,-5.020010353823834e-05,-3.0485008450478177e-06,0.060726983216791944
1,41,-2.1326612231797708e-05,-1.2951008230714091e-06,0.060726983216791944
1,42,7.38633897143454e-06,4.4855008275184154e-07,0.060726983216791944
1,43,3.067693984730403e-05,1.8629180112497678e-06,0.060726983216791944
1,44,4.891703336834519e-05,2.9705838643747497e-06,0.060726983216791944
1,45,5.895850217812332e-05,3.580371972258086e-06,0.060726983216791944
1,46,5.8886912733097834e-05,3.576024561231524e-06,0.060726983216791944
1,47,5.463354735754959e-05,3.3177305134557216e-06,0.060726983216791944
1,48,4.654282791252684e-05,2.8264055295060533e-06,0.060726983216791944
1,49,4.056152296602134e-05,2.4631789244050988e-06,0.060726983216791944
1,50,3.2376482227698396e-05,1.966126092860203e-06,0.060726983216791944
1,51,2.3372161423550544e-05,1.419320854508106e-06,0.060726983216791944
1,52,1.0906750664578004e-05,6.623340645575628e-07,0.060726983216791944
1,53,-1.161731912361838e-07,-7.054847434440895e-09,0.060726983216791944
1,54,-1.1227425649620523e-05,-6.818076889922849e-07,0.060726983216791944
1,55,-1.7966348761176525e-05,-1.0910421596869975e-06,0.060726983216791944
1,56,-2.3703599840000505e-05,-1.4394481096612628e-06,0.060726983216791944
1,57,-2.621141117763355e-05,-1.5917399266725854e-06,0.060726983216791944
1,58,-2.5944359328163545e-05,-1.5755226734918072e-06,0.060726983216791944
1,59,-2.5508777867071578e-05,-1.5490711254145296e-06,0.060726983216791944
1,60,-2.1833593989499696e-05,-1.3258882957625974e-06,0.060726983216791944
1,61,-1.865371959909254e-05,-1.1327841170248355e-06,0.060726983216791944
1,62,-6.422326420770907e-06,-3.9000850876691435e-07,0.060726983216791944
1,63,-1.8570595918376148e-06,-1.1277362666610533e-07,0.060726983216791944
