node_index,xi,eta
0,4.551637717980245,-0.03623296021341852
1,4.548785904932462,-0.0372515201725695
2,4.545798591329686,-0.03825029755575166
3,4.5426750775772256,-0.039236603421083455
4,4.539442943020011,-0.04030897456034713
5,4.536101465662736,-0.0414763237978391
6,4.532623136599956,-0.042671756418001625
7,4.529029438413289,-0.04396998474729611
8,4.525306563916091,-0.04534466609013652
9,4.521460465214945,-0.046824093641121244
10,4.517491367995575,-0.048419847106656866
11,4.513399596944364,-0.0501430247359896
12,4.509190102876278,-0.05201449778699565
13,4.504850047673264,-0.05401474662455898
14,4.50042290206686,-0.05624259031152183
15,4.495887859540891,-0.05865910348816266
16,4.4912611661727775,-0.061298740796285195
17,4.486577257382016,-0.06422015773544083
18,4.481855279862163,-0.06744748205033782
19,4.477134435945511,-0.07102703978596084
20,4.472460644916012,-0.07500159441539146
21,4.4679135008192405,-0.07943709814786269
22,4.463534841669018,-0.08434167451383275
23,4.459451996191616,-0.08978497419607358
24,4.455685705720361,-0.09573121951721685
25,4.4524839823761395,-0.10227152915237897
26,4.449818224176056,-0.10931163937855434
27,4.447973667330244,-0.11687557349528714
28,4.4469110881541685,-0.12484856400760481
29,4.446896994599206,-0.13316428145410972
30,4.447750114333674,-0.14170916174764606
31,4.449560064013848,-0.15039531244161652
32,4.452239893884244,-0.159153315345725
33,4.45584576596009,-0.16789751703991335
34,4.460144887075939,-0.17665919616656614
35,4.46524370584962,-0.18534562669143662
36,4.471033306747471,-0.1939734526971772
37,4.477473254691626,-0.20253861206961285
38,4.484588019182228,-0.21099392805858824
39,4.492293964256653,-0.219383164370424
40,4.5006038219807,-0.22767728597591358
41,4.509490949889978,-0.2358853376315133
42,4.518951009910444,-0.24399856294677907
43,4.528978603118802,-0.2520110771715995
44,4.539558375856565,-0.25993228530461504
45,4.550687080895728,-0.26775967745512985
46,4.562352640099407,-0.27550552962523495
47,4.5745570389047545,-0.283164455066223
48,4.587295247238474,-0.29074338258556714
49,4.600561640141681,-0.29825326564802335
50,4.614349401016589,-0.30571009220943945
51,4.628662481507365,-0.31311251527409995
52,4.643500834257892,-0.32046793987968997
53,4.658861360038285,-0.32779184456861993
54,4.6747497297944305,-0.3350833254576595
55,4.691166343688416,-0.34235360376812846
56,4.708119000987734,-0.3495985268771536
57,4.725610110724067,-0.3568267875036018
58,4.743645861588887,-0.36403901704180547
59,4.762232690803002,-0.3712354984839818
60,4.781376886813612,-0.3784173055339414
61,4.8010838086406675,-0.3855882788140778
62,4.821363465431628,-0.39273987282091916
63,4.842217230104413,-0.3998878293799776
64,4.863658102196726,-0.4070149159211912
65,4.88568456382017,-0.4141469130257441
66,4.908311089114393,-0.4212615469156353
67,4.931535771805504,-0.4283876935537434
68,4.955371810428241,-0.43550639660980317
69,4.979819636637913,-0.4426406048746343
70,5.004889561536605,-0.44978044694341696
71,5.030585473453304,-0.45693806332440473
72,5.056915772660879,-0.46410979949902553
73,5.083886230261649,-0.47130130229796086
74,5.1115043505281,-0.47851169785101505
75,5.139777987050307,-0.48573837489419436
76,5.168712626474615,-0.49298761180036377
77,5.198317012433445,-0.5002524607653466
78,5.2285962525804095,-0.507540165867094
79,5.259557709596925,-0.514848400572918
80,5.291207438594137,-0.5221798132823121
81,5.3235501497212265,-0.5295425053928728
82,5.356593940761758,-0.5369293077471883
83,5.3903412653137455,-0.544357569499375
84,5.424801682315427,-0.5518120672982039
85,5.459977085119311,-0.5593119170480552
86,5.495876819406528,-0.5668409107742667
87,5.5325037042388425,-0.5744126914423455
88,5.569865333662102,-0.5820172257786237
89,5.607965628101857,-0.5896613125834554
90,5.6468100161696,-0.5973434272751585
91,5.68640351507028,-0.6050630079275741
92,5.726748638064622,-0.61283134372389
93,5.767850098461233,-0.6206474294556018
94,5.809712006842256,-0.6285121651964634
95,5.8523405392831185,-0.6364140951913766
96,5.89573645000276,-0.6443695525367057
97,5.93990379079548,-0.6523759003040124
98,5.984844977227544,-0.6604380547582986
99,6.03056596958522,-0.668539655585455
100,6.077066663772254,-0.6766967911243085
101,6.124350553729934,-0.6849037871633371
102,6.172417973494513,-0.693171501287155
103,6.2212718220184415,-0.7014943855031093
104,6.270913029313165,-0.7098766259263476
105,6.321345538479293,-0.7183027595509486
106,6.37256589961642,-0.7267996334457199
107,6.424577963402871,-0.7353485506723115
