root_xi_scale,status,reason
1.0,REJECTED_PHYSICAL,The deadrise homotopy lost outer-node xi ordering.
0.995,REJECTED_PHYSICAL,The deadrise homotopy lost outer-node xi ordering.
0.99,REJECTED_PHYSICAL,The deadrise homotopy lost outer-node xi ordering.
0.98,REJECTED_PHYSICAL,The deadrise homotopy lost outer-node xi ordering.
0.97,REJECTED_PHYSICAL,The deadrise homotopy lost outer-node xi ordering.
0.95,REJECTED_PHYSICAL,The deadrise homotopy lost outer-node xi ordering.
