frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,configuration,lambda_over_l
0,5.655284970861961,24.40765469798883,3.2612816916742378,1.9265999999999999,0.01,0.08246334504694186,0.009001657469486809,0.13518676598309956,0.137773001086722,0.08295319833212556,0.19302036557164437,0.05918543193138091,0.3010075732580611,96.22971275514846,135.54284894791942,125.48751335946548,-96.22971275514846,135.54284894791942,49.41800812561273,179.3203276090811,0.0503923440987623,0.1828558453794936,6.239060314655928,2.5481006458696025e-16,0.7007407807263686,0.8152249678266597,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.82,1.014
1,5.620244580566254,24.140953241113948,3.2209928105300336,1.9506983333333334,0.01,0.08556275713542777,0.011209733638384416,0.13301202131500622,0.14109518334425827,0.08629393684877126,0.19390731955564114,0.060201102877883335,0.30504029668824145,97.46391501597435,136.68910880344765,126.38379854799325,-97.46391501597435,136.68910880344765,50.29086578115825,177.7730994644206,0.051282411201743976,0.18127811175520753,6.245820645622088,2.3207753708977474e-16,0.7073743160690914,0.8194492523327094,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.82,1.0266833333333334
2,5.585847557002136,23.88054904506215,3.181687215314785,1.9747966666666668,0.01,0.08868016967302263,0.013493694624934879,0.13078087268229574,0.14449609111946252,0.08970090461008226,0.1948916545374554,0.06125418413204188,0.3092093457026165,98.65183845438798,137.852308646673,127.28723957194109,-98.65183845438798,137.852308646673,51.15468773721861,176.33609820997455,0.05216326445546503,0.1798127782779793,6.253417974011566,2.281566987322987e-16,0.7137989831337298,0.8235342122623872,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.82,1.0393666666666668
3,5.552074450332887,23.626218172880904,3.1433293430518296,1.9988949999999999,0.01,0.09181529753806508,0.015853391244661248,0.128494037606342,0.1479760308610435,0.09317391735866708,0.1959786299823747,0.06234746938483412,0.3135200718943939,99.79644638468443,139.03079397569678,128.19653785106993,-99.79644638468443,139.03079397569678,52.00951157316331,175.0063351403533,0.053034942180217814,0.1784567973164672,6.261841285271293,6.292391582038096e-16,0.7200229861469847,0.8274857153807293,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.82,1.05205
4,5.518906624083483,23.377747244558073,3.105885325299929,2.022993333333333,0.01,0.09496799941101589,0.018288734370663896,0.1261521763121839,0.15153536130961134,0.09671297077957752,0.1971733686772501,0.06348378900892275,0.31797780661277447,100.9004538858025,140.2228447115778,129.1104176349669,-100.9004538858025,140.2228447115778,52.85548248282679,173.78093395201776,0.05389759243250936,0.17720723585731904,6.271080800301209,3.274565101227165e-16,0.7260541615917926,0.8313093358205484,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.82,1.0647333333333333
5,5.486326211925033,23.13493282029998,3.0693228884130344,2.0470916666666668,0.01,0.0981382661995448,0.02079969378218643,0.12375589245570555,0.1551744934683062,0.10031822643012306,0.19848084124331386,0.06466600239179678,0.3225878432528574,101.96634710485853,141.42668389838423,130.0276292359223,-101.96634710485853,141.42668389838423,53.69283443814707,172.6571160186864,0.05475145379731822,0.17606126049026571,6.281127909335098,1.5314445795326848e-16,0.7318999952432479,0.8350103706168704,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.82,1.0774166666666667
6,5.45431607723286,22.897580826619745,3.033611260762936,2.07119,0.01,0.10132621068879863,0.023386297096818363,0.1213057340079209,0.1588938906502015,0.10398999886744621,0.19990585181319392,0.06589699029628428,0.32735542216481944,102.99640207966507,142.6404875327775,130.94695225443752,-102.99640207966507,142.6404875327775,54.52187401613058,171.63218848110597,0.0555968388961884,0.17501612526306742,6.291975111922115,2.1732443168707096e-16,0.7375676385551156,0.8385938552499769,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.82,1.0901
7,5.422859775210269,22.66550602180447,2.998721086364209,2.0952883333333334,0.01,0.10453205829924668,0.026048628787473545,0.1188021942603788,0.1626940686041744,0.107728743954363,0.2014530250953323,0.06717964735412704,0.3322857180488457,103.99270271694684,143.86239537154472,131.86719874304168,-103.99270271694684,143.86239537154472,55.34296657192062,170.7035347417984,0.05643412028768297,0.1740691619888529,6.303615962471509,4.359805188457516e-16,0.7430639243898097,0.8420645782551571,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.82,1.1027833333333334
8,5.391941517387847,22.438531497641236,2.9646243443918934,2.1193866666666663,0.01,0.10775613884681202,0.028786829284711282,0.11624571292131493,0.16657559572070824,0.11153504830070476,0.2031267950377143,0.06851687480134347,0.33738382970808745,104.95715771138998,145.09052253492308,132.78721625599576,-104.95715771138998,145.09052253492308,56.15652446658864,169.86860700999821,0.05726371846307215,0.17321777264407137,6.316045020880972,1.881473135850075e-16,0.7483953820919899,0.8454270949546914,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.82,1.1154666666666666
9,5.361546138324173,22.216488214561057,2.931294274128154,2.143485,0.01,0.11099887921104755,0.03160109416452174,0.11363667727699509,0.1705390933189469,0.11540961978320391,0.20493139528292,0.06991157356382179,0.342654772035064,105.89151629480989,146.3229716981278,133.70589073579652,-105.89151629480989,146.3229716981278,56.96299708601294,169.12492058813987,0.05808609166842187,0.17245942354233085,6.329257807820731,1.2427478541101953e-16,0.7535682519117097,0.8486857403649178,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,FnB=2.82,1.12815
