node_index,normal_displacement
0,2.5342400688754558e-05
1,2.5787195856294062e-05
2,2.450646039691166e-05
3,2.1511457881892224e-05
4,1.6816465420856595e-05
5,1.0438911787007642e-05
6,2.399040518839303e-06
7,-7.279509872200676e-06
8,-1.8570514380237494e-05
9,-3.14442498026259e-05
10,-4.5868405490129445e-05
11,-6.180737582925887e-05
12,-7.922277958050204e-05
13,-9.80731943102419e-05
14,-0.00011834686003471106
15,-0.00014030172413555578
16,-0.00016356853869833095
17,-0.00018809534925690909
18,-0.0002138274489590342
19,-0.00024070743123823105
20,-0.00026867522738236046
21,-0.000297668149680224
22,-0.0003276209381362059
23,-0.0003333567640688374
24,-0.0003351461691690947
25,-0.00033619082741720126
26,-0.0003363409750686635
27,-0.0003354407799489068
28,-0.0003342758980209484
29,-0.00035961342414924627
30,-0.0003848368558786574
31,-0.00040983672714085665
32,-0.0004345003262582268
33,-0.0004578270294637926
34,-0.00047959579560440113
35,-0.0005005770480257183
36,-0.0005206403029749756
37,-0.0005460104551801054
38,-0.0005724155477681937
39,-0.0005979187863736224
40,-0.0006206658415063926
41,-0.0006411265324692946
42,-0.0006601631509414295
43,-0.0006709980450381119
44,-0.000679060859693807
45,-0.000714600736096397
46,-0.0007800589357006725
47,-0.0008286803611550995
48,-0.0008430216448206627
49,-0.0008647107300223714
50,-0.0008993993533343337
51,-0.000893519709285262
52,-0.0008593821862134474
53,-0.0009562092744063595
54,-0.0010234353243324377
55,-0.001053882069078092
56,-0.0011398195790128108
57,-0.0011649811657097225
58,-0.0012351364704032578
59,-0.0013677952900928412
60,-0.0014794654190588689
61,-0.0015798483447469515
62,-0.0016117833686694703
63,-0.001642329793640555
64,-0.0016714416749353974
65,-0.0016990752255191463
66,-0.0017251888819067721
67,-0.0017497433666784897
68,-0.0017727017475567346
69,-0.0017940294929558154
70,-0.0018136945239206946
71,-0.0016829037020221775
72,-0.0014798559285249847
73,-0.0018081238719222647
74,-0.0018491243517091307
75,-0.0014377779550424205
76,-0.0022899289727055312
77,-0.0023985626412719122
78,-0.0025187874787021727
79,-0.002617877780701928
80,-0.002737008405600176
