grid,omega,mode,reference_real,reference_imag,computed_real,computed_imag,relative_error,identity_error,quadrature_error
kang_heave_medium_20260924,2.0,heave,-4687.418699856179,-9.757472607674345e-14,-4687.124784373562,8.171241461241152e-14,6.270305714874849e-05,1.0089914869106538e-14,3.686569773614512e-15
kang_heave_medium_20260924,2.0,geometric_pitch,2.280814426214306e-13,1824.17811895239,3.6415315207705135e-14,1821.8356950547204,0.0012840982321478231,3.864915358819421e-15,1.8801607814093166e-15
kang_heave_fine_20260924,2.0,heave,-4687.418699856179,-9.757472607674345e-14,-4687.253494110964,-3.3439917501709715e-13,3.524450359422843e-05,1.0089914869106538e-14,3.686569773614512e-15
kang_heave_fine_20260924,2.0,geometric_pitch,2.280814426214306e-13,1824.17811895239,3.1508129438861943e-13,1822.860435117543,0.0007223438441437602,3.864915358819421e-15,1.8801607814093166e-15
kang_heave_medium_20260924,3.0,heave,-2736.0994830223235,-3.760880495917718e-15,-2737.5902566061213,-3.3084646133829665e-13,0.0005448535746043467,1.2132881139009116e-14,3.490339351792588e-15
kang_heave_medium_20260924,3.0,geometric_pitch,2.7467611518616764e-14,2381.7150292808424,7.593925488436071e-14,2380.0736220439435,0.0006891702897783316,3.818660618958598e-15,2.4825096702963023e-15
kang_heave_fine_20260924,3.0,heave,-2736.0994830223235,-3.760880495917718e-15,-2736.9381424408116,-1.056932319443149e-13,0.00030651642006879296,1.2132881139009116e-14,3.490339351792588e-15
kang_heave_fine_20260924,3.0,geometric_pitch,2.7467611518616764e-14,2381.7150292808424,-2.233768725545815e-13,2380.791984863218,0.0003875545169242526,3.818660618958598e-15,2.4825096702963023e-15
kang_heave_medium_20260924,4.0,heave,-739.3640789995983,6.672960795039984e-14,-741.1187652788005,-2.2637447472106942e-13,0.0023732371223341513,2.8449543749099894e-14,5.382063901628617e-15
kang_heave_medium_20260924,4.0,geometric_pitch,2.1073420786166253e-13,1791.6186759247682,-9.947598300641403e-14,1792.6636210075897,0.000583240784918728,5.20335540889226e-15,3.554383020237706e-15
kang_heave_fine_20260924,4.0,heave,-739.3640789995983,6.672960795039984e-14,-740.3509910267213,-6.392664175791651e-13,0.0013348119757973286,2.8449543749099894e-14,5.382063901628617e-15
kang_heave_fine_20260924,4.0,geometric_pitch,2.1073420786166253e-13,1791.6186759247682,8.881784197001252e-16,1792.2066173755916,0.00032816215789884125,5.20335540889226e-15,3.554383020237706e-15
