scope,metric,eligible_point_count,median_relative_error,nrmse,median_limit,nrmse_limit,status
faltinsen_ch9,heave_motion,7,0.5849799609246206,0.6301021362908418,0.15,0.2,FAIL
faltinsen_ch9,pitch_motion,7,0.4166278585069974,0.480596614859002,0.15,0.2,FAIL
matched_delta_added_only,heave_motion,7,0.7385039361381344,1.1400174607141669,0.15,0.2,FAIL
matched_delta_added_only,pitch_motion,7,0.7095167341836136,0.9974287991082397,0.15,0.2,FAIL
matched_delta_damping_only,heave_motion,7,0.5866171113840944,0.6225997799256189,0.15,0.2,FAIL
matched_delta_damping_only,pitch_motion,7,0.4166278585069974,0.4742420429527351,0.15,0.2,FAIL
matched_delta_added_and_damping,heave_motion,7,0.7432294357239215,1.1136053077561794,0.15,0.2,FAIL
matched_delta_added_and_damping,pitch_motion,7,0.7095167341836136,0.9786928195901865,0.15,0.2,FAIL
matched_raw_added_only,heave_motion,7,0.6306362558023129,1.243988722306149,0.15,0.2,FAIL
matched_raw_added_only,pitch_motion,7,0.7482590147227391,0.8957821910941053,0.15,0.2,FAIL
matched_raw_damping_only,heave_motion,7,0.5518253201560276,0.48806877272684374,0.15,0.2,FAIL
matched_raw_damping_only,pitch_motion,7,0.4985253319988457,0.4110512583524169,0.15,0.2,FAIL
matched_raw_added_and_damping,heave_motion,7,0.4797076214361669,0.41914557071966596,0.15,0.2,FAIL
matched_raw_added_and_damping,pitch_motion,7,0.3405285248202385,0.26059321778255823,0.15,0.2,FAIL
