case_order,case_label,interval_index,lower_x_m,upper_x_m,channel,interval_contribution
0,sub8,0,0.0,0.2332,cumulative_sine_vertical_force_n,-0.2609872041307233
0,sub8,0,0.0,0.2332,cumulative_sine_pitch_moment_nm,0.07138503567069275
0,sub8,0,0.0,0.2332,cumulative_cosine_vertical_force_n,5.047339850132579
0,sub8,0,0.0,0.2332,cumulative_cosine_pitch_moment_nm,-1.7469786645389882
0,sub8,1,0.2332,0.4664,cumulative_sine_vertical_force_n,-1.3051527689266003
0,sub8,1,0.2332,0.4664,cumulative_sine_pitch_moment_nm,0.14011829894108963
0,sub8,1,0.2332,0.4664,cumulative_cosine_vertical_force_n,6.775722151609992
0,sub8,1,0.2332,0.4664,cumulative_cosine_pitch_moment_nm,-0.7498682039626825
0,sub8,2,0.4664,0.6996,cumulative_sine_vertical_force_n,0.29076293151257127
0,sub8,2,0.4664,0.6996,cumulative_sine_pitch_moment_nm,0.14812962945152547
0,sub8,2,0.4664,0.6996,cumulative_cosine_vertical_force_n,9.066097689824606
0,sub8,2,0.4664,0.6996,cumulative_cosine_pitch_moment_nm,1.0742649650327727
0,sub8,3,0.6996,1.0985454545454545,cumulative_sine_vertical_force_n,12.33831416597035
0,sub8,3,0.6996,1.0985454545454545,cumulative_sine_pitch_moment_nm,5.2595901188981795
0,sub8,3,0.6996,1.0985454545454545,cumulative_cosine_vertical_force_n,9.418797326794671
0,sub8,3,0.6996,1.0985454545454545,cumulative_cosine_pitch_moment_nm,3.5108080158456585
1,sub16,0,0.0,0.2332,cumulative_sine_vertical_force_n,-0.4970988617824639
1,sub16,0,0.0,0.2332,cumulative_sine_pitch_moment_nm,0.1583143148003638
1,sub16,0,0.0,0.2332,cumulative_cosine_vertical_force_n,5.3584198635181615
1,sub16,0,0.0,0.2332,cumulative_cosine_pitch_moment_nm,-1.858072666992148
1,sub16,1,0.2332,0.4664,cumulative_sine_vertical_force_n,-0.7247703790110644
1,sub16,1,0.2332,0.4664,cumulative_sine_pitch_moment_nm,0.09672946834728402
1,sub16,1,0.2332,0.4664,cumulative_cosine_vertical_force_n,6.744629513030359
1,sub16,1,0.2332,0.4664,cumulative_cosine_pitch_moment_nm,-0.7616013999415798
1,sub16,2,0.4664,0.6996,cumulative_sine_vertical_force_n,-1.1378953363504956
1,sub16,2,0.4664,0.6996,cumulative_sine_pitch_moment_nm,-0.07323197145103075
1,sub16,2,0.4664,0.6996,cumulative_cosine_vertical_force_n,8.99145619493901
1,sub16,2,0.4664,0.6996,cumulative_cosine_pitch_moment_nm,1.100587001943886
1,sub16,3,0.6996,1.0985454545454545,cumulative_sine_vertical_force_n,12.733550183398963
1,sub16,3,0.6996,1.0985454545454545,cumulative_sine_pitch_moment_nm,5.439777884036641
1,sub16,3,0.6996,1.0985454545454545,cumulative_cosine_vertical_force_n,10.334380115151799
1,sub16,3,0.6996,1.0985454545454545,cumulative_cosine_pitch_moment_nm,3.8299981704175994
2,sub32,0,0.0,0.2332,cumulative_sine_vertical_force_n,-0.6116414947337978
2,sub32,0,0.0,0.2332,cumulative_sine_pitch_moment_nm,0.20125526270968325
2,sub32,0,0.0,0.2332,cumulative_cosine_vertical_force_n,5.772651903116092
2,sub32,0,0.0,0.2332,cumulative_cosine_pitch_moment_nm,-2.005246824194424
2,sub32,1,0.2332,0.4664,cumulative_sine_vertical_force_n,-0.20881405971734923
2,sub32,1,0.2332,0.4664,cumulative_sine_pitch_moment_nm,0.05930001291133552
2,sub32,1,0.2332,0.4664,cumulative_cosine_vertical_force_n,6.862854913382428
2,sub32,1,0.2332,0.4664,cumulative_cosine_pitch_moment_nm,-0.7885803551475115
2,sub32,2,0.4664,0.6996,cumulative_sine_vertical_force_n,-2.1077738090911624
2,sub32,2,0.4664,0.6996,cumulative_sine_pitch_moment_nm,-0.26160169225397667
2,sub32,2,0.4664,0.6996,cumulative_cosine_vertical_force_n,8.927343549233118
2,sub32,2,0.4664,0.6996,cumulative_cosine_pitch_moment_nm,1.114932871972973
2,sub32,3,0.6996,1.0985454545454545,cumulative_sine_vertical_force_n,13.88608622894457
2,sub32,3,0.6996,1.0985454545454545,cumulative_sine_pitch_moment_nm,5.988860658021982
2,sub32,3,0.6996,1.0985454545454545,cumulative_cosine_vertical_force_n,10.861841878275097
2,sub32,3,0.6996,1.0985454545454545,cumulative_cosine_pitch_moment_nm,3.9896653437015583
