panel_count,arc_fraction_lower,arc_fraction_upper,residual_energy_fraction
320,0.0,0.1,0.675081621648075
320,0.1,0.2,0.16049529580699928
320,0.2,0.3,0.07315313307776031
320,0.3,0.4,0.040714357050482694
320,0.4,0.5,0.021651039187397653
320,0.5,0.6,0.0115345879761577
320,0.6,0.7,0.005757600169165939
320,0.7,0.8,0.0030480695132301706
320,0.8,0.9,0.0008053854133601603
320,0.9,1.0,0.007758910157371211
640,0.0,0.1,0.670490950334285
640,0.1,0.2,0.15984906037476135
640,0.2,0.3,0.07492676961079334
640,0.3,0.4,0.04114458594875001
640,0.4,0.5,0.023251718989056525
640,0.5,0.6,0.011412573051763873
640,0.6,0.7,0.005722276334052588
640,0.7,0.8,0.00337097784469925
640,0.8,0.9,0.0008554822294648317
640,0.9,1.0,0.008975605282373232
1280,0.0,0.1,0.667960076660492
1280,0.1,0.2,0.1617375690458171
1280,0.2,0.3,0.07446024728476389
1280,0.3,0.4,0.04171585198133708
1280,0.4,0.5,0.023075907529685937
1280,0.5,0.6,0.011636281224017069
1280,0.6,0.7,0.005826349075031766
1280,0.7,0.8,0.003317309014786646
1280,0.8,0.9,0.0008493776624422104
1280,0.9,1.0,0.00942103052162625
