component,sigma,in_phase_center_from_cg_m,in_phase_center_from_transom_m,in_phase_center_from_transom_over_beam,damping_center_from_cg_m,damping_center_from_transom_m,damping_center_from_transom_over_beam,restoring_subtraction,response_calibration_used
raw_bem,1.4,0.5055329994017468,0.9729929994017468,3.05972641321304,0.07036121092586967,0.5378212109258697,1.6912616695782063,zero_diagnostic_only,False
resolved_station_bem,1.4,0.5081753070765793,0.9756353070765793,3.068035556844589,0.08554011594274223,0.5530001159427422,1.7389940752916422,zero_diagnostic_only,False
transom_extrapolation,1.4,-0.4530548005173993,0.014405199482600661,0.04529936944214044,-0.4335462588227674,0.03391374117723256,0.10664698483406465,zero_diagnostic_only,False
pre_chine_bem,1.4,0.4272508294587383,0.8947108294587383,2.813556067480309,0.37282707845722496,0.840287078457225,2.642412196406368,zero_diagnostic_only,False
post_chine_bem,1.4,-0.24032063829530645,0.22713936170469354,0.7142747223418036,-0.06717481489871038,0.40028518510128963,1.2587584437147472,zero_diagnostic_only,False
longitudinal_bin_aft_post_chine,1.4,-0.2564335547213637,0.2110264452786363,0.6636051738321895,-0.3461904946794501,0.12126950532054986,0.38135064566210647,zero_diagnostic_only,False
longitudinal_bin_middle_post_chine,1.4,-0.10755236295854911,0.3599076370414509,1.1317850221429273,-0.11057658271288638,0.3568834172871136,1.122274897129288,zero_diagnostic_only,False
longitudinal_bin_forward_post_chine,1.4,0.8718987083052199,1.3393587083052199,4.211819837437798,0.11882351859289939,0.5862835185928994,1.8436588634996836,zero_diagnostic_only,False
longitudinal_bin_pre_chine,1.4,0.4272508294587383,0.8947108294587383,2.813556067480309,0.37282707845722496,0.840287078457225,2.642412196406368,zero_diagnostic_only,False
bem,1.4,0.5055329994017468,0.9729929994017468,3.05972641321304,0.07036121092586967,0.5378212109258697,1.6912616695782063,zero_diagnostic_only,False
front,1.4,0.7791717031807234,1.2466317031807232,3.9202254817003874,0.622500149372321,1.089960149372321,3.4275476395356006,zero_diagnostic_only,False
transom,1.4,nan,nan,nan,nan,nan,nan,zero_diagnostic_only,False
total,1.4,0.5878075461928004,1.0552675461928005,3.318451403122014,0.12625293634517895,0.593712936345179,1.8670218124062232,zero_diagnostic_only,False
