eta,xi,pressure_coefficient,potential,normal_derivative,segment
-0.9847708709521641,0.0430057337546611,7.442200262302608,-3.2392319498309803,-0.9426414910921784,body
-0.9543126128564925,0.12901720126398308,7.460271672151854,-3.2675101703452274,-0.9426414910921784,body
-0.9238543547608209,0.21502866877330507,7.467759642044425,-3.286852122190221,-0.9426414910921784,body
-0.8933960966651493,0.30104013628262727,7.476878687712944,-3.301249484626082,-0.9426414910921784,body
-0.8629378385694776,0.38705160379194925,7.488453425763801,-3.311706893827787,-0.9426414910921784,body
-0.832479580473806,0.47306307130127123,7.502696807454287,-3.3187229760527397,-0.9426414910921784,body
-0.8020213223781343,0.5590745388105934,7.519708249495151,-3.3225935612221655,-0.9426414910921784,body
-0.7715630642824627,0.6450860063199154,7.539561397315413,-3.323510941008368,-0.9426414910921784,body
-0.7411048061867911,0.7310974738292374,7.562327538364353,-3.321606633556807,-0.9426414910921784,body
-0.7106465480911194,0.8171089413385596,7.588084174890119,-3.316972833952783,-0.9426414910921784,body
-0.6801882899954478,0.9031204088478816,7.616919294881865,-3.309674283023636,-0.9426414910921784,body
-0.6497300318997762,0.9891318763572036,7.64893418352038,-3.299755294768473,-0.9426414910921784,body
-0.6192717738041045,1.0751433438665257,7.684245706535244,-3.2872441181360568,-0.9426414910921784,body
-0.5888135157084329,1.1611548113758476,7.722988443905696,-3.2721557271482276,-0.9426414910921784,body
-0.5583552576127613,1.2471662788851696,7.765316872290099,-3.2544936280223578,-0.9426414910921784,body
-0.5278969995170896,1.333177746394492,7.811407730926922,-3.2342510164990586,-0.9426414910921784,body
-0.497438741421418,1.419189213903814,7.8614626836907,-3.2114114808991125,-0.9426414910921784,body
-0.4669804833257463,1.505200681413136,7.915711386081278,-3.1859493679742616,-0.9426414910921784,body
-0.4365222252300746,1.591212148922458,7.974415073200776,-3.15782988145665,-0.9426414910921784,body
-0.406063967134403,1.67722361643178,8.037870800191188,-3.1270089531954737,-0.9426414910921784,body
-0.3756057090387314,1.763235083941102,8.106416491514327,-3.093432906295293,-0.9426414910921784,body
-0.3451474509430597,1.8492465514504244,8.180436990098679,-3.0570379144096487,-0.9426414910921784,body
-0.3146891928473881,1.9352580189597464,8.260371344736656,-3.0177492486614086,-0.9426414910921784,body
