iteration,pseudo_time,thickness_jump_ratio,resolution_jump_ratio,residual_jump_ratio
4,0.0038608699225455,1.0877043309775152,1.0884989939219143,1.004055109776999
8,0.0077212860063176,1.087573641261468,1.088368572857119,1.00416300966237
12,0.011581353699566,1.0874423794870776,1.0882377109776646,1.0041782075807417
16,0.0154410968871653,1.0873107238005768,1.0881065482852281,1.0042889137808295
20,0.0193005194122535,1.0871790668165189,1.087975390712356,1.0044643053585167
24,0.0231596174258314,1.0870476000625908,1.0878444076049287,1.0046083905166887
28,0.0270183884146943,1.0869163177128358,1.0877136049983809,1.004701895587636
32,0.0308768306542692,1.08678521753398,1.0875829836327116,1.0047531227996112
36,0.0347349416705988,1.0866543355009508,1.0874525750574604,1.00475231568863
40,0.0385927186375214,1.0865236991307425,1.0873224054062396,1.0046835915822458
44,0.0424501589609714,1.0863933196516025,1.0871924870851661,1.0045398915602175
48,0.046307260229451,1.0862632081460692,1.0870628315183617,1.0043198316298787
53,0.0511298975699858,1.08866234846353,1.0894900661661564,0.9047740778356702
57,0.054996499925381,1.0884076186196763,1.0892124545328987,1.0665287069457225
61,0.0588587036162269,1.088349807687614,1.0891401106263685,1.0293491039277032
65,0.0627202618033448,1.0882233987822454,1.0890140595355764,1.0161556714398474
69,0.0665818811373252,1.088085659204787,1.0888784148274588,1.0172321932610506
73,0.0704432658084893,1.0879512430445109,1.0887446769757798,1.0185188236527112
77,0.0743042770959278,1.0878192433979879,1.0886129441500978,1.017600817467166
81,0.0781649460064625,1.0876868847286647,1.08848106956297,1.0164113450264325
85,0.0820252949593608,1.0875541818886234,1.0883489373505968,1.0155924520338342
89,0.0858853150582189,1.087421750741481,1.0882170303685652,1.014823873792298
93,0.0897449975644472,1.0872896438986892,1.0880854194213458,1.013958599931453
97,0.0936043406278451,1.0871577373900476,1.087954010292871,1.013064512909039
101,0.0974633429296339,1.0870260317721219,1.0878228008900683,1.012185120716843
105,0.1013220017979746,1.0868945750702215,1.0876918323509266,1.0113116561390683
109,0.1051803145880063,1.0867633841336213,1.087561122101483,1.010437546304774
113,0.1090382791399176,1.0866324618705345,1.0874306748583338,1.0095677030238477
117,0.112895893442559,1.0865018184336008,1.087300500689876,1.0087055747473448
121,0.1167531555041313,1.0863714668280346,1.087170612170053,1.0078506217689571
125,0.1206100634369183,1.0862414169085424,1.087041019253322,1.0070020072137442
130,0.1254324305971746,1.0886475432869778,1.0894749446260852,0.9036490395467968
134,0.1292988064107116,1.0883869006580547,1.089191824610872,1.0697315852505667
138,0.1331607717115121,1.0883326868567016,1.0891230329408634,1.030921049029474
142,0.1370220822974759,1.0882061011515858,1.0889967962964804,1.0171868912437207
146,0.1408834407843553,1.0880677263731655,1.0888605112575072,1.0179595900365532
150,0.1447445512157912,1.0879329913758613,1.0887264517985102,1.0189793216547662
154,0.1486052766628156,1.0878007822097067,1.0885945105227288,1.0178675450803956
158,0.1524656488389906,1.087668210852201,1.0884624241711176,1.0165493651986715
162,0.1563256902099158,1.0875353197724928,1.088330103176631,1.0156406994212859
166,0.1601853921762088,1.0874027417059278,1.0881980485726708,1.0148094894888848
170,0.1640447464759239,1.0872705209183156,1.088066323391956,1.013902596102428
174,0.1679037516786262,1.0871385276889318,1.0879348273119036,1.0129818809684903
178,0.1717624068105123,1.087006762099152,1.0878035575577973,1.0120844112882865
182,0.175620709565926,1.086875270833257,1.08767255401846,1.011197162508569
186,0.1794786576706962,1.0867440682990912,1.0875418317527052,1.0103109693790564
190,0.1833362493270616,1.086613155335698,1.0874113933977485,1.0094290204747547
194,0.1871934828726617,1.086482540479728,1.0872812473965356,1.0085536836972584
198,0.1910503566551346,1.086352235164643,1.0871514047698725,1.0076839684112184
203,0.1958726659713904,1.0887592629463154,1.0895863450884244,0.9041852812999984
207,0.1997389668684435,1.0885024436237654,1.0893069223635548,1.0705334966487412
211,0.2036008686763959,1.0884448362210715,1.0892346861336106,1.0317360280778027
215,0.2074621123814967,1.088317695566291,1.089107902021569,1.0179354935161073
219,0.2113233982616567,1.0881792528031582,1.088971561196029,1.0186837112315346
223,0.2151844314728548,1.08804425639866,1.088837246780371,1.019695241036136
