level,case,component,region,mode,real,imag
mid,fn167,normal,waterline,3,16.588100957885505,26.017534455055088
mid,fn167,normal,waterline,5,10.703178369223348,18.468653028768315
mid,fn167,normal,keel,3,7.824205971438548,12.376361621023845
mid,fn167,normal,keel,5,5.062495568856342,8.81890981457527
mid,fn167,normal,interior,3,56.297141939695884,88.69314009856747
mid,fn167,normal,interior,5,36.37787312051582,63.08545559914133
mid,fn167,tangent,waterline,3,-81.66480375102448,-125.68439633735228
mid,fn167,tangent,waterline,5,-52.234542877551604,-87.66240853784207
mid,fn167,tangent,keel,3,0.5729856941143892,0.8905010340936963
mid,fn167,tangent,keel,5,0.37058538173040967,0.6369969352467894
mid,fn167,tangent,interior,3,-42.07278210676996,-66.57805743870576
mid,fn167,tangent,interior,5,-27.12706252007255,-46.96031467704666
mid,fn226,normal,waterline,3,31.029624027682132,28.051030780992654
mid,fn226,normal,waterline,5,14.965459448047199,15.02436774284515
mid,fn226,normal,keel,3,14.676348498708657,13.365215159423013
mid,fn226,normal,keel,5,7.10933209211003,7.193638000443472
mid,fn226,normal,interior,3,105.46160501982463,95.70647221890808
mid,fn226,normal,interior,5,50.9806564535488,51.393514304724626
mid,fn226,tangent,waterline,3,-155.4189447647927,-136.57998826993796
mid,fn226,tangent,waterline,5,-73.60376970414005,-71.3329390329582
mid,fn226,tangent,keel,3,1.0336250235233184,0.9416637554451389
mid,fn226,tangent,keel,5,0.5022399259038939,0.510457054534631
mid,fn226,tangent,interior,3,-81.1862447281832,-72.95062642245652
mid,fn226,tangent,interior,5,-38.945016619462294,-38.664642891778335
mid,fn282,normal,waterline,3,45.1260263750667,26.262151375877284
mid,fn282,normal,waterline,5,15.615797488072786,10.810130004796457
mid,fn282,normal,keel,3,21.36692998148884,12.54348724315359
mid,fn282,normal,keel,5,7.443448748065666,5.197297270943911
mid,fn282,normal,interior,3,153.4594172586969,89.71845187448243
mid,fn282,normal,interior,5,53.291000423358774,37.058685684313
mid,fn282,tangent,waterline,3,-226.63142205366574,-127.00153726087503
mid,fn282,tangent,waterline,5,-76.10568738955098,-50.39150727678037
mid,fn282,tangent,keel,3,1.4905214526876651,0.8799456647318461
mid,fn282,tangent,keel,5,0.5226308985252724,0.36884291896392274
mid,fn282,tangent,interior,3,-118.91454567510839,-68.40718783035139
mid,fn282,tangent,interior,5,-40.73328160194192,-27.69596738321645
fine,fn167,normal,waterline,3,16.58377520521859,26.020220914646714
fine,fn167,normal,waterline,5,10.702459295703003,18.472856083552443
fine,fn167,normal,keel,3,7.822942447038298,12.378670066984572
fine,fn167,normal,keel,5,5.062606370617471,8.821590503267162
fine,fn167,normal,interior,3,56.28393399449751,88.70420814761921
fine,fn167,normal,interior,5,36.376230486239024,63.10104961979355
fine,fn167,tangent,waterline,3,-86.20416535661418,-133.06258232372824
fine,fn167,tangent,waterline,5,-55.19646922074371,-92.91822853531905
fine,fn167,tangent,keel,3,0.6281260077131628,0.9755368109649682
fine,fn167,tangent,keel,5,0.40606966629722835,0.6968870937956646
fine,fn167,tangent,interior,3,-43.07253722132334,-68.36571529198446
fine,fn167,tangent,interior,5,-27.805828003061166,-48.323259332814715
fine,fn226,normal,waterline,3,31.02459918866112,28.057143768162554
fine,fn226,normal,waterline,5,14.967658938740065,15.029709600109504
fine,fn226,normal,keel,3,14.675344941882024,13.369147704363474
fine,fn226,normal,keel,5,7.110940592302525,7.196683353741181
fine,fn226,normal,interior,3,105.44709879132465,95.7291075138277
fine,fn226,normal,interior,5,50.98910828746828,51.41262338329937
fine,fn226,tangent,waterline,3,-164.49508819172073,-144.89984926309776
fine,fn226,tangent,waterline,5,-78.02592160509656,-75.78811088982572
fine,fn226,tangent,keel,3,1.1350964515295068,1.0322693199116038
fine,fn226,tangent,keel,5,0.5509339625046812,0.5584579594631237
fine,fn226,tangent,interior,3,-83.11972021024599,-74.96142302314601
fine,fn226,tangent,interior,5,-39.9673552757326,-39.84739899475065
fine,fn282,normal,waterline,3,45.12267322858808,26.26730792438163
fine,fn282,normal,waterline,5,15.618365644150945,10.81319918313567
fine,fn282,normal,keel,3,21.367231848529453,12.546838577221148
fine,fn282,normal,keel,5,7.445211355000655,5.199098725402912
fine,fn282,normal,interior,3,153.45141700211119,89.73757387311473
fine,fn282,normal,interior,5,53.30065304217211,37.06977935046125
fine,fn282,tangent,waterline,3,-240.06434747952153,-134.88592652109318
fine,fn282,tangent,waterline,5,-80.79234712728532,-53.61732935515482
fine,fn282,tangent,keel,3,1.6374767834566202,0.96404809696074
fine,fn282,tangent,keel,5,0.5729273498336096,0.402861111461295
fine,fn282,tangent,interior,3,-121.77876983620548,-70.37433662474487
fine,fn282,tangent,interior,5,-41.86550759010865,-28.610954748489636
