panel_index,kinematic_residual,scaled_kinematic_residual
0,23.87064070036391,23.87064070036391
1,9.46388210608635,9.46388210608635
2,8.122103569401832,8.122103569401832
3,6.358928478224551,6.358928478224551
4,5.373077370221873,5.373077370221873
5,4.657176109617551,4.657176109617551
6,4.11802778224987,4.11802778224987
7,3.689838930150925,3.689838930150925
8,3.3386780509356244,3.3386780509356244
9,3.043198336952692,3.043198336952692
10,2.7896950722457756,2.7896950722457756
11,2.568802202933841,2.568802202933841
12,2.3738993199389626,2.3738993199389626
13,2.200147387416784,2.200147387416784
14,2.0439163324486294,2.0439163324486294
15,1.9024206607837426,1.9024206607837426
16,1.773481552518492,1.773481552518492
17,1.6553660757124586,1.6553660757124586
18,1.5466757327022647,1.5466757327022647
19,1.4462673424154107,1.4462673424154107
20,1.353195715467113,1.353195715467113
21,1.2666713484791272,1.2666713484791272
22,1.1860286858312947,1.1860286858312947
23,1.1107019539927758,1.1107019539927758
24,1.040206513185089,1.040206513185089
25,0.9741242897760345,0.9741242897760345
26,0.9120922684866086,0.9120922684866086
27,0.8537933078766705,0.8537933078766705
28,0.7989487403016284,0.7989487403016284
29,0.7473123572054018,0.7473123572054018
30,0.6986654805825129,0.6986654805825129
31,0.6528128939826178,0.6528128939826178
32,0.6095794596562814,0.6095794596562814
33,0.568807287976006,0.568807287976006
34,0.5303533548842677,0.5303533548842677
35,0.4940874855881956,0.4940874855881956
36,0.4598906398361041,0.4598906398361041
37,0.4276534473465755,0.4276534473465755
38,0.3972749521862575,0.3972749521862575
39,0.3686615329232223,0.3686615329232223
40,0.3417259716653187,0.3417259716653187
41,0.3163866500825546,0.3163866500825546
42,0.292566854451178,0.292566854451178
43,0.2701941749322032,0.2701941749322032
44,0.2491999867801582,0.2491999867801582
45,0.22951900322868907,0.22951900322868907
46,0.21108889137930797,0.21108889137930797
47,0.1938499437354701,0.1938499437354701
48,0.17774479904132068,0.17774479904132068
49,0.16271820690769406,0.16271820690769406
50,0.14871683137699315,0.14871683137699315
51,0.13568908906589816,0.13568908906589816
52,0.12358501797678256,0.12358501797678256
53,0.11235617335309672,0.11235617335309672
54,0.10195554725091438,0.10195554725091438
55,0.09233750868268328,0.09233750868268328
56,0.08345776137479807,0.08345776137479807
57,0.07527331632890044,0.07527331632890044
58,0.06774247650720441,0.06774247650720441
59,0.06082483106660996,0.06082483106660996
60,0.0544812567009319,0.0544812567009319
61,0.048673923724545376,0.048673923724545376
62,0.043366304623331214,0.043366304623331214
63,0.038523182854576676,0.038523182854576676
64,0.03411065967566959,0.03411065967566959
65,0.030096156668759283,0.030096156668759283
66,0.026448411359234925,0.026448411359234925
67,0.023137462662385255,0.023137462662385255
68,0.020134621566820526,0.020134621566820526
69,0.017412419700852014,0.017412419700852014
70,0.014944522722862646,0.014944522722862646
71,0.01270558247722206,0.01270558247722206
72,0.010670972990947297,0.010670972990947297
73,0.008816273881695341,0.008816273881695341
74,0.007116136004407594,0.007116136004407594
75,0.00554168679846434,0.00554168679846434
76,0.004047175791226737,0.004047175791226737
77,0.0026181604741363773,0.0026181604741363773
78,8.244798437120893e-05,8.244798437120893e-05
79,0.016522898460401017,0.016522898460401017
