benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,candidate_name,candidate_order,candidate_description,candidate_is_current_default,reference_value,computed_value,raw_computed_value,raw_to_reference_raw_ratio,abs_error,rel_error,tolerance,effective_abs_tolerance,gate_error_ratio,current_default_gate_error_ratio,gate_ratio_delta_vs_current,candidate_gate_status,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,current_default,0,Current matched-BIE pressure integral plus current end term.,True,1.0,10.486101731065332,838.3638333986734,10.486101731065332,9.486101731065332,9.486101731065332,0.15,0.15,63.24067820710222,63.24067820710222,0.0,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,ghost_aft_pressure_plus_end,1,"Treats the first aft active station as a free-surface start-up station: it remains in the solved station history, but its pressure-density contribution is excluded from whole-ship integration; the current end term is retained.",False,1.0,10.489634446685844,838.6462740125332,10.489634446685844,9.489634446685844,9.489634446685844,0.15,0.15,63.264229644572296,63.24067820710222,0.023551437470075598,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,ghost_aft_pressure_no_end,2,"Same aft start-up pressure exclusion, but without adding the current end term. This separates pressure-integral sensitivity from end-contour sensitivity.",False,1.0,10.489634446685844,838.6462740125332,10.489634446685844,9.489634446685844,9.489634446685844,0.15,0.15,63.264229644572296,63.24067820710222,0.023551437470075598,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,ghost_aft_forward_only_removed_keep_time_end,3,"Keeps the full time-derivative pressure integral and current end term, but excludes the first aft active station only from the forward-speed pressure-gradient integral.",False,1.0,10.486101731065332,838.3638333986734,10.486101731065332,9.486101731065332,9.486101731065332,0.15,0.15,63.24067820710222,63.24067820710222,0.0,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,ghost_aft_time_only_removed_keep_forward_end,4,"Keeps the full forward-speed pressure-gradient integral and current end term, but excludes the first aft active station only from the time-derivative pressure integral.",False,1.0,10.489634446685844,838.6462740125332,10.489634446685844,9.489634446685844,9.489634446685844,0.15,0.15,63.264229644572296,63.24067820710222,0.023551437470075598,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,bow_pressure_excluded_plus_end,5,Control candidate excluding the bow active station pressure integral while retaining the current end term; this checks whether endpoint sensitivity is aft-specific.,False,1.0,10.487206324214275,838.4521456209313,10.487206324214275,9.487206324214275,9.487206324214275,0.15,0.15,63.24804216142851,63.24067820710222,0.007363954326287114,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,both_end_pressure_excluded_plus_end,6,Control candidate excluding both aft and bow active station pressure integrals while retaining the current end term.,False,1.0,10.490739039834786,838.7345862347911,10.490739039834786,9.490739039834786,9.490739039834786,0.15,0.15,63.271593598898576,63.24067820710222,0.030915391796355607,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,current_default,0,Current matched-BIE pressure integral plus current end term.,True,2.1,10.801512660825933,1561.3589517389596,5.143577457536159,8.701512660825934,4.143577457536159,0.15,0.315,27.623849716907724,27.623849716907724,0.0,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,ghost_aft_pressure_plus_end,1,"Treats the first aft active station as a free-surface start-up station: it remains in the solved station history, but its pressure-density contribution is excluded from whole-ship integration; the current end term is retained.",False,2.1,9.685153603707583,1399.9892193765554,4.61197790652742,7.5851536037075835,3.6119779065274207,0.15,0.315,24.079852710182806,27.623849716907724,-3.5439970067249185,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,ghost_aft_pressure_no_end,2,"Same aft start-up pressure exclusion, but without adding the current end term. This separates pressure-integral sensitivity from end-contour sensitivity.",False,2.1,8.839945442346693,1277.8143564418724,4.209497829688901,6.739945442346693,3.2094978296889014,0.15,0.315,21.39665219792601,27.623849716907724,-6.227197518981715,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,ghost_aft_forward_only_removed_keep_time_end,3,"Keeps the full time-derivative pressure integral and current end term, but excludes the first aft active station only from the forward-speed pressure-gradient integral.",False,2.1,9.685153603707583,1399.9892193765554,4.61197790652742,7.5851536037075835,3.6119779065274207,0.15,0.315,24.079852710182806,27.623849716907724,-3.5439970067249185,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,ghost_aft_time_only_removed_keep_forward_end,4,"Keeps the full forward-speed pressure-gradient integral and current end term, but excludes the first aft active station only from the time-derivative pressure integral.",False,2.1,10.801512660825933,1561.3589517389596,5.143577457536159,8.701512660825934,4.143577457536159,0.15,0.315,27.623849716907724,27.623849716907724,0.0,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,bow_pressure_excluded_plus_end,5,Control candidate excluding the bow active station pressure integral while retaining the current end term; this checks whether endpoint sensitivity is aft-specific.,False,2.1,10.87496826860853,1571.9769618610728,5.178556318385014,8.77496826860853,4.178556318385015,0.15,0.315,27.857042122566764,27.623849716907724,0.23319240565903954,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,both_end_pressure_excluded_plus_end,6,Control candidate excluding both aft and bow active station pressure integrals while retaining the current end term.,False,2.1,9.75860921149018,1410.6072294986686,4.646956767376276,7.65860921149018,3.646956767376276,0.15,0.315,24.31304511584184,27.623849716907724,-3.3108046010658825,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,current_default,0,Current matched-BIE pressure integral plus current end term.,True,-0.2,-3.0938284595059806,-742.0547560125095,15.469142297529903,2.8938284595059804,14.4691422975299,0.3,0.06,48.23047432509968,48.23047432509968,0.0,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,ghost_aft_pressure_plus_end,1,"Treats the first aft active station as a free-surface start-up station: it remains in the solved station history, but its pressure-density contribution is excluded from whole-ship integration; the current end term is retained.",False,-0.2,-2.9025676715492965,-696.1808560210989,14.512838357746483,2.7025676715492963,13.512838357746482,0.3,0.06,45.042794525821606,48.23047432509968,-3.1876797992780723,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,ghost_aft_pressure_no_end,2,"Same aft start-up pressure exclusion, but without adding the current end term. This separates pressure-integral sensitivity from end-contour sensitivity.",False,-0.2,-2.752308442862916,-660.1411800206704,13.761542214314579,2.5523084428629157,12.761542214314577,0.3,0.06,42.53847404771526,48.23047432509968,-5.692000277384416,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,ghost_aft_forward_only_removed_keep_time_end,3,"Keeps the full time-derivative pressure integral and current end term, but excludes the first aft active station only from the forward-speed pressure-gradient integral.",False,-0.2,-2.8953646271293842,-694.4532058169829,14.47682313564692,2.695364627129384,13.476823135646919,0.3,0.06,44.922743785489736,48.23047432509968,-3.307730539609942,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,ghost_aft_time_only_removed_keep_forward_end,4,"Keeps the full forward-speed pressure-gradient integral and current end term, but excludes the first aft active station only from the time-derivative pressure integral.",False,-0.2,-3.1010315039258933,-743.7824062166255,15.505157519629465,2.901031503925893,14.505157519629465,0.3,0.06,48.350525065431555,48.23047432509968,0.12005074033187668,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,bow_pressure_excluded_plus_end,5,Control candidate excluding the bow active station pressure integral while retaining the current end term; this checks whether endpoint sensitivity is aft-specific.,False,-0.2,-3.107342130769313,-745.2960100650198,15.536710653846564,2.907342130769313,14.536710653846564,0.3,0.06,48.455702179488554,48.23047432509968,0.22522785438887638,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,both_end_pressure_excluded_plus_end,6,Control candidate excluding both aft and bow active station pressure integrals while retaining the current end term.,False,-0.2,-2.9160813428126295,-699.4221100736092,14.580406714063146,2.7160813428126294,13.580406714063146,0.3,0.06,45.26802238021049,48.23047432509968,-2.962451944889189,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,3,wigley_iii,Fn0.4,2.5,B35,current_default,0,Current matched-BIE pressure integral plus current end term.,True,0.13,6.2073666527815625,2691.8250603537153,47.748974252165866,6.077366652781563,46.748974252165866,0.3,0.039,155.8299141738862,155.8299141738862,0.0,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,3,wigley_iii,Fn0.4,2.5,B35,ghost_aft_pressure_plus_end,1,"Treats the first aft active station as a free-surface start-up station: it remains in the solved station history, but its pressure-density contribution is excluded from whole-ship integration; the current end term is retained.",False,0.13,5.532899157109142,2399.34217529142,42.5607627469934,5.402899157109142,41.5607627469934,0.3,0.039,138.53587582331133,155.8299141738862,-17.29403835057488,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,3,wigley_iii,Fn0.4,2.5,B35,ghost_aft_pressure_no_end,2,"Same aft start-up pressure exclusion, but without adding the current end term. This separates pressure-integral sensitivity from end-contour sensitivity.",False,0.13,5.028743336626541,2180.714962205799,38.682641050973395,4.898743336626541,37.682641050973395,0.3,0.039,125.60880350324464,155.8299141738862,-30.221110670641565,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,3,wigley_iii,Fn0.4,2.5,B35,ghost_aft_forward_only_removed_keep_time_end,3,"Keeps the full time-derivative pressure integral and current end term, but excludes the first aft active station only from the forward-speed pressure-gradient integral.",False,0.13,5.531486070860938,2398.7293903234736,42.549892852776445,5.401486070860938,41.549892852776445,0.3,0.039,138.49964284258814,155.8299141738862,-17.330271331298064,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,3,wigley_iii,Fn0.4,2.5,B35,ghost_aft_time_only_removed_keep_forward_end,4,"Keeps the full forward-speed pressure-gradient integral and current end term, but excludes the first aft active station only from the time-derivative pressure integral.",False,0.13,6.208779739029767,2692.437845321662,47.759844146382825,6.078779739029767,46.759844146382825,0.3,0.039,155.86614715460942,155.8299141738862,0.036232980723212904,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,3,wigley_iii,Fn0.4,2.5,B35,bow_pressure_excluded_plus_end,5,Control candidate excluding the bow active station pressure integral while retaining the current end term; this checks whether endpoint sensitivity is aft-specific.,False,0.13,6.172063354295458,2676.5157820568616,47.477410417657374,6.0420633542954585,46.477410417657374,0.3,0.039,154.92470139219125,155.8299141738862,-0.9052127816949564,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,3,wigley_iii,Fn0.4,2.5,B35,both_end_pressure_excluded_plus_end,6,Control candidate excluding both aft and bow active station pressure integrals while retaining the current end term.,False,0.13,5.497595858623038,2384.0328969945663,42.289198912484906,5.367595858623038,41.289198912484906,0.3,0.039,137.63066304161637,155.8299141738862,-18.199251132269836,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,4,wigley_iii,Fn0.4,2.0,A53,current_default,0,Current matched-BIE pressure integral plus current end term.,True,0.15,1.5067324721629993,361.3897834482954,10.04488314775333,1.3567324721629994,9.04488314775333,0.3,0.045,30.149610492511098,30.149610492511098,0.0,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,4,wigley_iii,Fn0.4,2.0,A53,ghost_aft_pressure_plus_end,1,"Treats the first aft active station as a free-surface start-up station: it remains in the solved station history, but its pressure-density contribution is excluded from whole-ship integration; the current end term is retained.",False,0.15,1.5076618753161664,361.6127007945825,10.051079168774443,1.3576618753161664,9.051079168774443,0.3,0.045,30.17026389591481,30.149610492511098,0.020653403403713355,FAIL,diagnostic_startup_ghost_station_candidate_not_hard_gate
