benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,candidate_name,candidate_order,candidate_description,candidate_is_current_default,candidate_recomputed_matched_bie,free_surface_time_direction_sign,free_surface_dynamic_gravity_sign,free_surface_potential_elevation_level,reference_value,computed_value,raw_computed_value,raw_to_reference_raw_ratio,abs_error,rel_error,tolerance,near_zero_abs_tolerance,effective_abs_tolerance,gate_error_ratio,current_default_gate_error_ratio,gate_ratio_delta_vs_current,error_metric,candidate_gate_status,matched_heave_free_surface_potential_norm_max,matched_pitch_free_surface_potential_norm_max,matched_heave_free_surface_potential_increment_to_normal_derivative_gain_max,matched_heave_free_surface_potential_increment_normal_derivative_phase_deg_median,matched_selected_body_pressure_to_body_potential_gain_max,matched_selected_body_pressure_forward_to_time_norm_ratio_max,matched_selected_pressure_gradient_component_value,provider_route,provider_formulation,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,current_eq19_22,0,Current Eq.19-Eq.22 staggered update: positive local-time step and -g*eta_updated dynamic condition.,True,False,1.0,-1.0,updated,1.0,10.486101731065332,838.3638333986734,10.486101731065332,9.486101731065332,9.486101731065332,0.15,0.0,0.15,63.24067820710222,63.24067820710222,0.0,relative,FAIL,2.174845296935436,2.714845545624616,0.38960644826773155,180.0,82304.20986116356,44.400550403529316,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,reverse_local_time,1,Uses a negative local-time increment in both kinematic and dynamic updates; diagnostic for station-order time mapping.,False,True,-1.0,-1.0,updated,1.0,10.486101731065332,838.3638333986734,10.486101731065332,9.486101731065332,9.486101731065332,0.15,0.0,0.15,63.24067820710222,63.24067820710222,0.0,relative,FAIL,2.174845296935436,2.714845545624616,0.38960644826773155,180.0,82304.20986116356,44.400550403529316,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,dynamic_gravity_sign_flipped,2,Flips only the free-surface dynamic condition sign from -g*eta to +g*eta.,False,True,1.0,1.0,updated,1.0,-101.7915334267919,-8138.233097472013,-101.7915334267919,102.7915334267919,102.7915334267919,0.15,0.0,0.15,685.276889511946,63.24067820710222,622.0362113048438,relative,FAIL,226.25759135934183,346.0755418758129,0.09394158793864205,0.0,80303.59811169132,43.32072857184781,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,potential_uses_previous_elevation,3,Updates phi with the previous half-step elevation instead of the newly updated half-step elevation.,False,True,1.0,-1.0,previous,1.0,10.740192377447897,858.6783805769594,10.740192377447897,9.740192377447897,9.740192377447897,0.15,0.0,0.15,64.93461584965266,63.24067820710222,1.6939376425504378,relative,FAIL,2.3335760854816177,2.9160018623472883,0.3125988198063418,180.0,81469.43843672848,43.94998769155679,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,potential_uses_average_elevation,4,Updates phi with the average of previous and updated half-step elevations.,False,True,1.0,-1.0,average,1.0,10.595635839186844,847.1210853429882,10.595635839186844,9.595635839186844,9.595635839186844,0.15,0.0,0.15,63.970905594578966,63.24067820710222,0.7302273874767451,relative,FAIL,2.2434395546730603,2.806641224852552,0.356462239007268,180.0,81888.25660823102,44.17604250279117,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,reverse_time_and_dynamic_sign,5,"Uses reverse local time and flips the dynamic sign, separating dt direction from the sign of the pressure-potential update.",False,True,-1.0,1.0,updated,1.0,-101.7915334267919,-8138.233097472013,-101.7915334267919,102.7915334267919,102.7915334267919,0.15,0.0,0.15,685.276889511946,63.24067820710222,622.0362113048438,relative,FAIL,226.25759135934183,346.0755418758129,0.09394158793864205,0.0,80303.59811169132,43.32072857184781,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,current_eq19_22,0,Current Eq.19-Eq.22 staggered update: positive local-time step and -g*eta_updated dynamic condition.,True,False,1.0,-1.0,updated,2.1,10.801512660825933,1561.3589517389596,5.143577457536159,8.701512660825934,4.143577457536159,0.15,0.0,0.315,27.623849716907724,27.623849716907724,0.0,relative,FAIL,4.349690593870872,3.043262328234708,0.38960644826773155,180.0,82366.77772334366,22.200275201764658,9.956304499465043,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,reverse_local_time,1,Uses a negative local-time increment in both kinematic and dynamic updates; diagnostic for station-order time mapping.,False,True,-1.0,-1.0,updated,2.1,10.801512660825933,1561.3589517389596,5.143577457536159,8.701512660825934,4.143577457536159,0.15,0.0,0.315,27.623849716907724,27.623849716907724,0.0,relative,FAIL,4.349690593870872,3.043262328234708,0.38960644826773155,180.0,82366.77772334366,22.200275201764658,9.956304499465043,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,dynamic_gravity_sign_flipped,2,Flips only the free-surface dynamic condition sign from -g*eta to +g*eta.,False,True,1.0,1.0,updated,2.1,-953.3685130545813,-137809.44474215986,-453.98500621646724,955.4685130545813,454.9850062164673,0.15,0.0,0.315,3033.2333747764487,27.623849716907724,3005.609525059541,relative,FAIL,452.51518271868366,507.85975711839234,0.09394158793864205,0.0,80367.72350477698,21.660364285923905,-705.6051404297109,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,potential_uses_previous_elevation,3,Updates phi with the previous half-step elevation instead of the newly updated half-step elevation.,False,True,1.0,-1.0,previous,2.1,11.703268301404693,1691.7077543474163,5.572984905430806,9.603268301404693,4.572984905430806,0.15,0.0,0.315,30.486566036205375,27.623849716907724,2.8627163192976504,relative,FAIL,4.667152170963235,3.2946477769345544,0.3125988198063418,180.0,81532.64690203639,21.974993845778396,10.976112252776918,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,potential_uses_average_elevation,4,Updates phi with the average of previous and updated half-step elevations.,False,True,1.0,-1.0,average,2.1,11.191202057023782,1617.688564660483,5.329143836677991,9.091202057023782,4.329143836677991,0.15,0.0,0.315,28.86095891118661,27.623849716907724,1.2371091942788865,relative,FAIL,4.486879109346121,3.1545450401529003,0.356462239007268,180.0,81951.14204202245,22.088021251395585,10.404482800077433,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,reverse_time_and_dynamic_sign,5,"Uses reverse local time and flips the dynamic sign, separating dt direction from the sign of the pressure-potential update.",False,True,-1.0,1.0,updated,2.1,-953.3685130545813,-137809.44474215986,-453.98500621646724,955.4685130545813,454.9850062164673,0.15,0.0,0.315,3033.2333747764487,27.623849716907724,3005.609525059541,relative,FAIL,452.51518271868366,507.85975711839234,0.09394158793864205,0.0,80367.72350477698,21.660364285923905,-705.6051404297109,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,current_eq19_22,0,Current Eq.19-Eq.22 staggered update: positive local-time step and -g*eta_updated dynamic condition.,True,False,1.0,-1.0,updated,-0.2,-3.0938284595059806,-742.0547560125095,15.469142297529903,2.8938284595059804,14.4691422975299,0.3,0.0,0.06,48.23047432509968,48.23047432509968,0.0,relative,FAIL,3.2622679454031545,2.8562786446185453,0.38960644826773133,180.0,79215.45336913165,28.48605824879709,-1.770009688793787,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,reverse_local_time,1,Uses a negative local-time increment in both kinematic and dynamic updates; diagnostic for station-order time mapping.,False,True,-1.0,-1.0,updated,-0.2,-3.0938284595059806,-742.0547560125095,15.469142297529903,2.8938284595059804,14.4691422975299,0.3,0.0,0.06,48.23047432509968,48.23047432509968,0.0,relative,FAIL,3.2622679454031545,2.8562786446185453,0.38960644826773133,180.0,79215.45336913165,28.48605824879709,-1.770009688793787,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,dynamic_gravity_sign_flipped,2,Flips only the free-surface dynamic condition sign from -g*eta to +g*eta.,False,True,1.0,1.0,updated,-0.2,199.44042760818326,47835.78656182276,-997.2021380409162,199.64042760818324,998.2021380409162,0.3,0.0,0.06,3327.3404601363877,48.23047432509968,3279.109985811288,relative,FAIL,339.3863870390126,421.1082233518111,0.09394158793864212,0.0,77271.3971144187,27.78626630940252,125.44091385417097,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,potential_uses_previous_elevation,3,Updates phi with the previous half-step elevation instead of the newly updated half-step elevation.,False,True,1.0,-1.0,previous,-0.2,-3.3862639931752025,-812.1954187630724,16.931319965876014,3.1862639931752024,15.93131996587601,0.3,0.0,0.06,53.104399886253375,48.23047432509968,4.873925561153698,relative,FAIL,3.500364128222427,3.0794343081534334,0.3125988198063421,180.0,78408.34210539868,28.195514659174552,-1.9513088449381182,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,potential_uses_average_elevation,4,Updates phi with the average of previous and updated half-step elevations.,False,True,1.0,-1.0,average,-0.2,-3.2234136748307405,-773.1357699081532,16.117068374153703,3.0234136748307403,15.117068374153702,0.3,0.0,0.06,50.39022791384567,48.23047432509968,2.1597535887459927,relative,FAIL,3.3651593320095907,2.943525234730482,0.3564622390072681,180.0,78813.30356146075,28.3412928748263,-1.849685831124877,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_update_formula_candidate_not_hard_gate
