benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,mode_column,generalized_row,station_local_index,x_m,x_over_l,row_block_index,row_block_name,free_surface_panel_index,free_surface_panel_y_m,free_surface_panel_length_m,free_surface_potential_abs,free_surface_potential_phase_deg,matrix_column_norm,row_block_contribution_norm,row_block_free_rhs_norm,total_free_rhs_norm,row_block_to_total_free_rhs_norm_ratio,panel_to_row_block_free_rhs_norm_ratio,panel_to_total_free_rhs_norm_ratio,panel_to_row_block_real_alignment,panel_to_row_block_phase_deg,row_block_to_total_real_alignment,row_block_to_total_phase_deg,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,0,-0.44999999999999996,0.3,0.9271916706877582,-90.0,0.4108978350054766,0.38098105012071065,1.6043925751049233,5.215392979985776,0.3076264015505307,0.23746123986879922,0.07304934672856613,0.9941004713091989,0.0,0.3076264015505307,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,1,-0.15,0.3,0.1848394874355001,-90.0,2.3094316583505643,0.4268741639968353,1.6043925751049233,5.215392979985776,0.3076264015505307,0.266065905951303,0.08184889722308127,0.9920086099910359,0.0,0.3076264015505307,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,2,0.14999999999999997,0.29999999999999993,0.1848394874355034,-90.0,2.3094316583505647,0.42687416399684297,1.6043925751049233,5.215392979985776,0.3076264015505307,0.26606590595130775,0.08184889722308274,0.9920086099910362,0.0,0.3076264015505307,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,0,eq23_body,3,0.44999999999999996,0.30000000000000004,0.9271916706877563,-90.0,0.41089783500547666,0.38098105012070993,1.6043925751049233,5.215392979985776,0.3076264015505307,0.23746123986879877,0.07304934672856599,0.994100471309199,0.0,0.3076264015505307,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,1,eq23_free_surface,0,-0.44999999999999996,0.3,0.9271916706877582,-90.0,3.141592653589793,2.912858541102308,4.200463353736919,5.215392979985776,0.8053972864281409,0.6934612436294437,0.5585118038622379,0.6934612436294436,0.0,0.805397286428141,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,1,eq23_free_surface,1,-0.15,0.3,0.1848394874355001,-90.0,3.141592653589793,0.58069037582067,4.200463353736919,5.215392979985776,0.8053972864281409,0.13824436185214234,0.11134163389970543,0.13824436185214234,0.0,0.805397286428141,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,1,eq23_free_surface,2,0.14999999999999997,0.29999999999999993,0.1848394874355034,-90.0,3.141592653589793,0.5806903758206804,4.200463353736919,5.215392979985776,0.8053972864281409,0.1382443618521448,0.11134163389970743,0.1382443618521448,0.0,0.805397286428141,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,1,eq23_free_surface,3,0.44999999999999996,0.30000000000000004,0.9271916706877563,-90.0,3.141592653589793,2.912858541102302,4.200463353736919,5.215392979985776,0.8053972864281409,0.6934612436294424,0.5585118038622368,0.6934612436294423,0.0,0.805397286428141,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,2,eq23_inner_control,0,-0.44999999999999996,0.3,0.9271916706877582,-90.0,1.5818241185109596,1.466654147176367,2.642414807433967,5.215392979985776,0.5066568938475607,0.5550431155056332,0.2812164208535571,0.7906184929290954,0.0,0.5066568938475609,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,2,eq23_inner_control,1,-0.15,0.3,0.1848394874355001,-90.0,1.032795585800654,0.19090140670503994,2.642414807433967,5.215392979985776,0.5066568938475607,0.07224505636585618,0.03660345585416664,0.8467381933856063,0.0,0.5066568938475609,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,2,eq23_inner_control,2,0.14999999999999997,0.29999999999999993,0.1848394874355034,-90.0,1.0327955858006537,0.1909014067050433,2.642414807433967,5.215392979985776,0.5066568938475607,0.07224505636585746,0.036603455854167286,0.8467381933856063,0.0,0.5066568938475609,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,0,0.075,0.024999999999999998,2,eq23_inner_control,3,0.44999999999999996,0.30000000000000004,0.9271916706877563,-90.0,1.5818241185109598,1.4666541471763643,2.642414807433967,5.215392979985776,0.5066568938475607,0.5550431155056322,0.2812164208535565,0.790618492929095,0.0,0.5066568938475609,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,1,0.15,0.049999999999999996,0,eq23_body,0,-0.44999999999999996,0.3,0.9670286704520267,-90.0,0.4136844801349531,0.40004475281154156,2.2654592243149065,5.865925325001217,0.38620662534848016,0.176584397775916,0.06819806435423018,0.988913033443939,0.0,0.38620662534848016,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,1,0.15,0.049999999999999996,0,eq23_body,1,-0.15,0.3,0.316112310267244,-90.0,2.370551230444362,0.7493604260626252,2.2654592243149065,5.865925325001217,0.38620662534848016,0.33077639094971484,0.1277480336936389,0.9836656921080289,0.0,0.38620662534848016,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,1,0.15,0.049999999999999996,0,eq23_body,2,0.14999999999999997,0.29999999999999993,0.3161123102672455,-90.0,2.370551230444362,0.7493604260626288,2.2654592243149065,5.865925325001217,0.38620662534848016,0.3307763909497164,0.12774803369363952,0.983665692108029,0.0,0.38620662534848016,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,1,0.15,0.049999999999999996,0,eq23_body,3,0.44999999999999996,0.30000000000000004,0.9670286704520249,-90.0,0.41368448013495324,0.40004475281154095,2.2654592243149065,5.865925325001217,0.38620662534848016,0.17658439777591572,0.06819806435423008,0.9889130334439389,0.0,0.38620662534848016,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,1,0.15,0.049999999999999996,1,eq23_free_surface,0,-0.44999999999999996,0.3,0.9670286704520267,-90.0,3.141592653589793,3.038010166902792,4.52012071988545,5.865925325001217,0.7705724961448452,0.6721081924953062,0.5179080875705082,0.6721081924953062,0.0,0.7705724961448454,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,1,0.15,0.049999999999999996,1,eq23_free_surface,1,-0.15,0.3,0.316112310267244,-90.0,3.141592653589793,0.9930961116448711,4.52012071988545,5.865925325001217,0.7705724961448452,0.21970566123951626,0.16929913979848782,0.21970566123951626,0.0,0.7705724961448454,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,heave,heave_force,1,0.15,0.049999999999999996,1,eq23_free_surface,2,0.14999999999999997,0.29999999999999993,0.3161123102672455,-90.0,3.141592653589793,0.9930961116448759,4.52012071988545,5.865925325001217,0.7705724961448452,0.21970566123951732,0.16929913979848862,0.2197056612395173,0.0,0.7705724961448454,0.0,diagnostic_inner_free_surface_rhs_block_not_hard_gate
