benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,row_idx,col_idx,candidate_name,candidate_order,candidate_class,candidate_description,reference_value,candidate_reference_value,current_computed_value,candidate_value,time_derivative_component_value,forward_speed_pressure_gradient_component_value,stokes_body_forward_speed_component_value,end_contour_component_value,eq31_direct_time_plus_gradient_value,eq32_stokes_time_plus_body_plus_end_value,current_hybrid_time_plus_gradient_plus_end_value,forward_identity_residual_value,forward_identity_residual_over_effective_tolerance,current_minus_eq31_direct_value,current_minus_eq32_stokes_value,candidate_abs_error,candidate_rel_error,candidate_gate_error_ratio,current_gate_error_ratio,gate_ratio_delta_vs_current,candidate_gate_status,current_gate_status,candidate_row_decision,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,2,2,current_hybrid_eq30_gradient_plus_end,0,baseline_current_hybrid,Current default: Eq.30 time pressure plus finite-difference forward gradient plus Eq.32 end term.,1.0,1.0,10.486101731065332,10.486101731065332,10.486101731065332,0.0,0.0,0.0,10.486101731065332,10.486101731065332,10.486101731065332,0.0,0.0,0.0,0.0,9.486101731065332,9.486101731065332,63.24067820710222,63.24067820710222,0.0,FAIL,FAIL,baseline_current_default,false,diagnostic-only until either the Eq.31 direct-gradient route or the Eq.32 Stokes route passes all Wigley III coefficients and the forward-speed identity residual is explained,diagnostic_eq31_eq32_forward_identity_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,2,2,eq31_direct_time_plus_gradient,1,equation_consistent_eq31_direct_gradient,"Eq.31 direct-gradient path: Eq.30 time pressure plus finite-difference forward gradient, without Eq.32 end term.",1.0,1.0,10.486101731065332,10.486101731065332,10.486101731065332,0.0,0.0,0.0,10.486101731065332,10.486101731065332,10.486101731065332,0.0,0.0,0.0,0.0,9.486101731065332,9.486101731065332,63.24067820710222,63.24067820710222,0.0,FAIL,FAIL,neutral_or_not_evaluable,false,diagnostic-only until either the Eq.31 direct-gradient route or the Eq.32 Stokes route passes all Wigley III coefficients and the forward-speed identity residual is explained,diagnostic_eq31_eq32_forward_identity_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,2,2,eq32_stokes_time_plus_body_plus_end,2,equation_consistent_eq32_stokes,Eq.32 Stokes path: Eq.30 time pressure plus Stokes body forward-speed term plus end-contour term.,1.0,1.0,10.486101731065332,10.486101731065332,10.486101731065332,0.0,0.0,0.0,10.486101731065332,10.486101731065332,10.486101731065332,0.0,0.0,0.0,0.0,9.486101731065332,9.486101731065332,63.24067820710222,63.24067820710222,0.0,FAIL,FAIL,neutral_or_not_evaluable,false,diagnostic-only until either the Eq.31 direct-gradient route or the Eq.32 Stokes route passes all Wigley III coefficients and the forward-speed identity residual is explained,diagnostic_eq31_eq32_forward_identity_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,2,2,forward_identity_gradient_minus_body_end,3,diagnostic_eq31_eq32_forward_identity_residual,Forward-speed identity residual: Eq.31 gradient term minus Eq.32 body-plus-end term.,1.0,0.0,10.486101731065332,0.0,10.486101731065332,0.0,0.0,0.0,10.486101731065332,10.486101731065332,10.486101731065332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.24067820710222,-63.24067820710222,PASS,FAIL,identity_closed,false,diagnostic-only until either the Eq.31 direct-gradient route or the Eq.32 Stokes route passes all Wigley III coefficients and the forward-speed identity residual is explained,diagnostic_eq31_eq32_forward_identity_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2,2,current_hybrid_eq30_gradient_plus_end,0,baseline_current_hybrid,Current default: Eq.30 time pressure plus finite-difference forward gradient plus Eq.32 end term.,2.1,2.1,10.801512660825933,10.801512660825933,-0.0,9.956304499465043,-0.0,0.8452081613608908,9.956304499465043,0.8452081613608908,10.801512660825933,9.111096338104153,28.924115359060803,0.8452081613608904,9.956304499465043,8.701512660825934,4.143577457536159,27.623849716907724,27.623849716907724,0.0,FAIL,FAIL,baseline_current_default,false,diagnostic-only until either the Eq.31 direct-gradient route or the Eq.32 Stokes route passes all Wigley III coefficients and the forward-speed identity residual is explained,diagnostic_eq31_eq32_forward_identity_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2,2,eq31_direct_time_plus_gradient,1,equation_consistent_eq31_direct_gradient,"Eq.31 direct-gradient path: Eq.30 time pressure plus finite-difference forward gradient, without Eq.32 end term.",2.1,2.1,10.801512660825933,9.956304499465043,-0.0,9.956304499465043,-0.0,0.8452081613608908,9.956304499465043,0.8452081613608908,10.801512660825933,9.111096338104153,28.924115359060803,0.8452081613608904,9.956304499465043,7.856304499465043,3.7410973806976395,24.94064920465093,27.623849716907724,-2.683200512256793,FAIL,FAIL,equation_path_improves_but_still_fails,false,diagnostic-only until either the Eq.31 direct-gradient route or the Eq.32 Stokes route passes all Wigley III coefficients and the forward-speed identity residual is explained,diagnostic_eq31_eq32_forward_identity_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2,2,eq32_stokes_time_plus_body_plus_end,2,equation_consistent_eq32_stokes,Eq.32 Stokes path: Eq.30 time pressure plus Stokes body forward-speed term plus end-contour term.,2.1,2.1,10.801512660825933,0.8452081613608908,-0.0,9.956304499465043,-0.0,0.8452081613608908,9.956304499465043,0.8452081613608908,10.801512660825933,9.111096338104153,28.924115359060803,0.8452081613608904,9.956304499465043,1.2547918386391093,0.5975199231614806,3.9834661544098706,27.623849716907724,-23.640383562497853,FAIL,FAIL,equation_path_improves_but_still_fails,false,diagnostic-only until either the Eq.31 direct-gradient route or the Eq.32 Stokes route passes all Wigley III coefficients and the forward-speed identity residual is explained,diagnostic_eq31_eq32_forward_identity_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2,2,forward_identity_gradient_minus_body_end,3,diagnostic_eq31_eq32_forward_identity_residual,Forward-speed identity residual: Eq.31 gradient term minus Eq.32 body-plus-end term.,2.1,0.0,10.801512660825933,9.111096338104153,-0.0,9.956304499465043,-0.0,0.8452081613608908,9.956304499465043,0.8452081613608908,10.801512660825933,9.111096338104153,28.924115359060803,0.8452081613608904,9.956304499465043,9.111096338104153,9111096338104.152,1822.2192676208306,27.623849716907724,1794.595417903923,FAIL,FAIL,identity_not_closed,false,diagnostic-only until either the Eq.31 direct-gradient route or the Eq.32 Stokes route passes all Wigley III coefficients and the forward-speed identity residual is explained,diagnostic_eq31_eq32_forward_identity_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,2,4,current_hybrid_eq30_gradient_plus_end,0,baseline_current_hybrid,Current default: Eq.30 time pressure plus finite-difference forward gradient plus Eq.32 end term.,-0.2,-0.2,-3.0938284595059806,-3.0938284595059806,-1.1735595420258131,-1.770009688793787,0.0,-0.15025922868638075,-2.9435692308196,-1.3238187707121938,-3.0938284595059806,-1.6197504601074062,26.995841001790104,-0.15025922868638064,-1.7700096887937868,2.8938284595059804,14.4691422975299,48.23047432509968,48.23047432509968,0.0,FAIL,FAIL,baseline_current_default,false,diagnostic-only until either the Eq.31 direct-gradient route or the Eq.32 Stokes route passes all Wigley III coefficients and the forward-speed identity residual is explained,diagnostic_eq31_eq32_forward_identity_not_hard_gate
ma2005_wigley_iii_coefficients,2,wigley_iii,Fn0.4,1.5,A35,2,4,eq31_direct_time_plus_gradient,1,equation_consistent_eq31_direct_gradient,"Eq.31 direct-gradient path: Eq.30 time pressure plus finite-difference forward gradient, without Eq.32 end term.",-0.2,-0.2,-3.0938284595059806,-2.9435692308196,-1.1735595420258131,-1.770009688793787,0.0,-0.15025922868638075,-2.9435692308196,-1.3238187707121938,-3.0938284595059806,-1.6197504601074062,26.995841001790104,-0.15025922868638064,-1.7700096887937868,2.7435692308196,13.717846154097998,45.726153846993334,48.23047432509968,-2.5043204781063437,FAIL,FAIL,equation_path_improves_but_still_fails,false,diagnostic-only until either the Eq.31 direct-gradient route or the Eq.32 Stokes route passes all Wigley III coefficients and the forward-speed identity residual is explained,diagnostic_eq31_eq32_forward_identity_not_hard_gate
