benchmark,coefficient,pair_count,peak_pressure_gradient_pair_index,peak_pressure_gradient_x_mid_over_l,peak_pressure_gradient_density_abs_pair_max,max_body_potential_adjacent_relative_jump,max_body_potential_adjacent_phase_deg_abs,min_body_potential_adjacent_real_alignment,max_body_potential_x_gradient_gain_times_l_pair,max_phase_aligned_gradient_gain_to_raw_gain_ratio_pair,max_body_pressure_forward_to_time_norm_ratio_pair,max_body_to_free_surface_potential_gain_pair,pressure_gradient_density_sign_change_pairs,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,A33,38,0,0.0375,0.0,1.2935120527596993,180.0,-0.7751411520070942,111.00137600882326,1.8304666255605477,44.400550403529316,9.534491865114409e+299,0,diagnostic_station_transfer_path_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B33,38,0,0.0375,42.540982655476284,1.2935120527596993,180.0,-0.7751411520070942,111.00137600882326,1.8304666255605477,22.200275201764658,1.9068983730228817e+300,7,diagnostic_station_transfer_path_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A35,38,0,0.0375,7.562841360973568,1.340373709322111,178.59623145178494,-0.7748027738834617,106.82271843298908,1.6981420349086527,28.48605824879709,2.3371967120549833e+300,7,diagnostic_station_transfer_path_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B35,38,0,0.0375,16.557807313102455,1.3689725430744901,178.98130223399477,-0.7748904346422295,106.04811194457506,1.658398668993367,16.967697911132014,3.584183559256488e+300,8,diagnostic_station_transfer_path_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A53,38,0,0.0375,0.0,1.2935120527596993,180.0,-0.7751411520070942,111.00137600882326,1.8304666255605477,22.200275201764658,1.9068983730228817e+300,0,diagnostic_station_transfer_path_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B53,38,0,0.0375,20.206966761351236,1.2935120527596993,180.0,-0.7751411520070942,111.00137600882326,1.8304666255605477,22.200275201764658,1.9068983730228817e+300,9,diagnostic_station_transfer_path_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A55,38,0,0.0375,8.082786704540501,1.3204443666518748,178.426495954606,-0.7747700557573678,107.80029035318884,1.7383191630828492,43.12011614127555,1.776238985810864e+300,9,diagnostic_station_transfer_path_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B55,38,0,0.0375,7.864958473723669,1.3204443666518748,178.426495954606,-0.7747700557573678,107.80029035318884,1.7383191630828492,43.12011614127555,1.776238985810864e+300,10,diagnostic_station_transfer_path_not_hard_gate,INFO
