benchmark,matrix_cell,coefficient,pair_status,station_index,x_m,x_over_l,trapz_weight_m,time_density_value_per_m,pressure_gradient_density_value_per_m,force_derivative_proxy_density_value_per_m,pressure_gradient_minus_force_derivative_proxy_density_value_per_m,pressure_gradient_station_contribution_value,force_derivative_proxy_station_contribution_value,station_residual_contribution_value,station_abs_residual_share_of_total_abs,diagnostic_flags,gate_role
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,0,0.075,0.024999999999999998,0.0375,0.7043401344674087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,first_active_station;peak_abs_derivative_path_difference;near_aft_startup_region,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,1,0.15,0.049999999999999996,0.07499999999999998,-0.7985458843477021,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,near_aft_startup_region,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,2,0.22499999999999998,0.075,0.075,4.328825659085228,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,3,0.3,0.09999999999999999,0.07500000000000001,3.45316511354637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,4,0.375,0.125,0.07499999999999998,3.973456916465597,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,5,0.44999999999999996,0.15,0.07500000000000001,4.765710045684741,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,6,0.525,0.17500000000000002,0.07500000000000001,5.692006167432283,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,7,0.6,0.19999999999999998,0.07499999999999996,6.691043610377543,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,8,0.6749999999999999,0.22499999999999998,0.07500000000000001,7.701125945877207,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,9,0.75,0.25,0.07500000000000001,8.630545717912852,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,10,0.825,0.27499999999999997,0.07499999999999996,9.341089120909837,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,11,0.8999999999999999,0.3,0.07500000000000001,9.665968342885114,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,12,0.975,0.325,0.07500000000000007,9.484480221371562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,13,1.05,0.35000000000000003,0.07500000000000001,8.81379954783811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,14,1.125,0.375,0.07499999999999996,7.820749557896817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,15,1.2,0.39999999999999997,0.07499999999999996,6.72787394271574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,16,1.275,0.425,0.07499999999999996,5.70724714428133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,17,1.3499999999999999,0.44999999999999996,0.07500000000000007,4.842604689375209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,18,1.425,0.47500000000000003,0.07500000000000007,4.149792466536674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,19,1.5,0.5,0.07499999999999996,3.6109715874211337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,20,1.575,0.525,0.07499999999999996,3.1979413930539846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,21,1.65,0.5499999999999999,0.07499999999999996,2.8820288449984433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,22,1.7249999999999999,0.575,0.07499999999999996,2.635688677754077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,23,1.7999999999999998,0.6,0.07500000000000007,2.430985010501429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,24,1.875,0.625,0.07500000000000007,2.239188492730701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
ma2005_wigley_iii_coefficients,33,A33,paired_ab_complex_reconstruction,25,1.95,0.65,0.07499999999999996,2.0349638631824236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,diagnostic_section_force_derivative_not_hard_gate
