benchmark,candidate_name,candidate_order,pitch_oscillation_scale,pitch_forward_speed_scale,row_count,affected_pitch_radiation_column_count,unaffected_row_count,pass_count,fail_count,pass_fraction,median_gate_error_ratio,max_gate_error_ratio,median_gate_ratio_delta_vs_current,max_gate_ratio_delta_vs_current,improved_row_count,worsened_row_count,candidate_gate_status,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,pitch_body_condition_zero,3,0.0,0.0,8,4,4,0,8,0.0,10.463210889868915,63.24067820710222,-5.391595503209977,0.0,4,0,FAIL,diagnostic_pitch_body_condition_split_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,pitch_oscillation_only,1,1.0,0.0,8,4,4,0,8,0.0,28.88673010470941,77.93675196404912,-6.937410653801832,0.0,4,0,FAIL,diagnostic_pitch_body_condition_split_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,pitch_forward_only,2,0.0,1.0,8,4,4,0,8,0.0,29.41037955859028,104.21642801092648,0.0,3.091630301183713,3,1,FAIL,diagnostic_pitch_body_condition_split_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,current_combined,0,1.0,1.0,8,4,4,0,8,0.0,39.19004240880539,155.8299141738862,0.0,0.0,0,0,FAIL,diagnostic_pitch_body_condition_split_candidate_not_hard_gate,INFO
