benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,candidate_name,candidate_order,candidate_description,candidate_is_current_default,candidate_recomputed_matched_bie,use_free_surface_marching,time_step_scale,free_surface_velocity_scale,history_rhs_scale,reference_value,computed_value,raw_computed_value,raw_to_reference_raw_ratio,abs_error,rel_error,tolerance,near_zero_abs_tolerance,effective_abs_tolerance,gate_error_ratio,current_default_gate_error_ratio,gate_ratio_delta_vs_current,error_metric,candidate_gate_status,matched_heave_free_surface_potential_norm_max,matched_pitch_free_surface_potential_norm_max,matched_heave_inner_free_surface_normal_derivative_norm_max,matched_pitch_inner_free_surface_normal_derivative_norm_max,matched_selected_body_pressure_to_body_potential_gain_max,matched_selected_body_pressure_forward_to_time_norm_ratio_max,matched_selected_pressure_gradient_component_value,provider_route,provider_formulation,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,current_marching,0,Current default: station-to-station inner free-surface state marching is active with unit velocity and unit outer-control history RHS.,True,False,True,1.0,1.0,1.0,1.0,10.486101731065332,838.3638333986734,10.486101731065332,9.486101731065332,9.486101731065332,0.15,0.0,0.15,63.24067820710222,63.24067820710222,0.0,relative,FAIL,2.174845296935436,2.714845545624616,6.305133419679557,8.249782515440636,82304.20986116356,44.400550403529316,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_marching_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,free_surface_marching_disabled,1,Sets the prescribed inner free-surface potential/elevation to zero at each station while keeping the matched control-surface history chain active.,False,True,False,1.0,1.0,1.0,1.0,1.06129974890338,84.85091492482523,1.06129974890338,0.06129974890337997,0.06129974890337997,0.15,0.0,0.15,0.4086649926891998,63.24067820710222,-62.832013214413024,relative,PASS,0.0,0.0,1.3662385572595828,1.6394879275989471,81415.78498421444,43.92102849152328,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_marching_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,free_surface_velocity_zero,2,Keeps the marching machinery active but suppresses the BIE-derived inner free-surface normal derivative before the Eq.19-Eq.22 free-surface update.,False,True,True,1.0,0.0,1.0,1.0,1.06129974890338,84.85091492482523,1.06129974890338,0.06129974890337997,0.06129974890337997,0.15,0.0,0.15,0.4086649926891998,63.24067820710222,-62.832013214413024,relative,PASS,0.0,0.0,1.3662385572595828,1.6394879275989471,81415.78498421444,43.92102849152328,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_marching_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,free_surface_velocity_half,3,Halves the BIE-derived inner free-surface normal derivative before the station-to-station update; diagnostic for state-amplification scale.,False,True,True,1.0,0.5,1.0,1.0,7.78147969738547,622.1293018059683,7.78147969738547,6.78147969738547,6.78147969738547,0.15,0.0,0.15,45.20986464923647,63.24067820710222,-18.03081355786575,relative,FAIL,1.5084586182223803,1.8648543081690785,4.109614083835394,5.453610485817048,81808.27473935342,44.132872773738285,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_marching_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,free_surface_time_step_half,4,Halves the local free-surface marching time step while keeping hull station spacing unchanged; diagnostic for A1 Section 3.3's statement that free-surface stations are twice the hull stations.,False,True,True,0.5,1.0,1.0,1.0,5.158223485073548,412.3999676316302,5.158223485073548,4.158223485073548,4.158223485073548,0.15,0.0,0.15,27.721489900490322,63.24067820710222,-35.519188306611895,relative,FAIL,1.0908520202516712,1.3224013329063324,3.719905306607188,4.504755847070986,81554.21616397964,43.99574605317908,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_marching_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,free_surface_time_step_quarter,5,Uses a quarter local free-surface marching time step as a bounded refinement diagnostic for state-amplification sensitivity; it is not a production correction.,False,True,True,0.25,1.0,1.0,1.0,2.2763166841949007,181.9915189013823,2.2763166841949007,1.2763166841949007,1.2763166841949007,0.15,0.0,0.15,8.508777894632672,63.24067820710222,-54.73190031246955,relative,FAIL,0.41344543090897296,0.5071034497912164,1.7081416536080476,2.1389505111466227,81365.7540190353,43.89402450317153,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_marching_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,free_surface_velocity_flipped,6,Flips only the BIE-derived inner free-surface normal derivative used by the free-surface marching update; diagnostic for free-surface vertical-velocity sign.,False,True,True,1.0,-1.0,1.0,1.0,-101.7915334267919,-8138.233097472013,-101.7915334267919,102.7915334267919,102.7915334267919,0.15,0.0,0.15,685.276889511946,63.24067820710222,622.0362113048438,relative,FAIL,226.25759135934183,346.0755418758129,1402.2139585847567,2145.4639480100577,80303.59811169132,43.32072857184781,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_marching_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,outer_history_rhs_disabled,7,Keeps inner free-surface marching active but suppresses the transient outer-control history RHS; diagnostic for separating local free-surface propagation from history convolution.,False,True,True,1.0,1.0,0.0,1.0,10.155471665576371,811.9299596628309,10.155471665576371,9.155471665576371,9.155471665576371,0.15,0.0,0.15,61.036477770509144,63.24067820710222,-2.2042004365930765,relative,FAIL,2.114316320259825,2.642361913575011,6.344355820089253,8.30547991129148,82297.37190331389,44.39685966759703,0.0,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_marching_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,current_marching,0,Current default: station-to-station inner free-surface state marching is active with unit velocity and unit outer-control history RHS.,True,False,True,1.0,1.0,1.0,2.1,10.801512660825933,1561.3589517389596,5.143577457536159,8.701512660825934,4.143577457536159,0.15,0.0,0.315,27.623849716907724,27.623849716907724,0.0,relative,FAIL,4.349690593870872,3.043262328234708,12.610266839359115,10.024734912587594,82366.77772334366,22.200275201764658,9.956304499465043,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_marching_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,free_surface_marching_disabled,1,Sets the prescribed inner free-surface potential/elevation to zero at each station while keeping the matched control-surface history chain active.,False,True,False,1.0,1.0,1.0,2.1,0.05358764685659926,7.746095824673098,0.025517927074571074,2.046412353143401,0.974482072925429,0.15,0.0,0.315,6.496547152836193,27.623849716907724,-21.12730256407153,relative,FAIL,0.0,0.0,2.7324771145191655,1.8816117058979596,81479.03507192562,21.96051424576164,-0.0007702431601480526,matched_bie_station_sweep,matched_bie,diagnostic_free_surface_marching_candidate_not_hard_gate
