benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,candidate_name,candidate_description,candidate_is_current_default,reference_value,computed_value,raw_computed_value,raw_to_reference_raw_ratio,abs_error,rel_error,tolerance,effective_abs_tolerance,gate_error_ratio,error_metric,candidate_gate_status,inner_a_scale,inner_diagonal_sign,inner_free_surface_self_diagonal_scale,provider_route,provider_formulation,gate_role
ma2005_wigley_iii_coefficients,4,wigley_iii,Fn0.4,2.0,A53,current_default,Current production default.,True,0.15,1.5067324721629993,361.3897834482954,10.04488314775333,1.3567324721629994,9.04488314775333,0.3,0.045,30.149610492511098,relative,FAIL,1.0,-1.0,1.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,4,wigley_iii,Fn0.4,2.0,A53,free_self_diagonal_removed,Diagnostic candidate with only the Eq.23 free-surface self-boundary A_free diagonal removed.,False,0.15,3.6787234222721295,882.3418128319703,24.52482281514753,3.5287234222721295,23.52482281514753,0.3,0.045,78.41607605049177,relative,FAIL,1.0,-1.0,0.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,4,wigley_iii,Fn0.4,2.0,A53,free_self_diagonal_opposite_sign,Diagnostic candidate with only the Eq.23 free-surface self-boundary A_free diagonal sign reversed.,False,0.15,-16.004642420621842,-3838.713484586149,-106.69761613747896,16.15464242062184,107.69761613747895,0.3,0.045,358.99205379159645,relative,FAIL,1.0,-1.0,-1.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,4,wigley_iii,Fn0.4,2.0,A53,inner_a_normalized_by_2pi,Diagnostic candidate that applies a 1/(2*pi) normalization to all inner-domain A blocks.,False,0.15,3.780876364328923,906.8431959842923,25.20584242885949,3.6308763643289232,24.20584242885949,0.3,0.045,80.68614142953163,relative,FAIL,0.15915494309189535,-1.0,1.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,5,wigley_iii,Fn0.4,2.0,B53,current_default,Current production default.,True,-0.1,0.32779265339213487,142.1473111476984,-3.2779265339213484,0.4277926533921349,4.277926533921349,0.3,0.03,14.259755113071163,relative,FAIL,1.0,-1.0,1.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,5,wigley_iii,Fn0.4,2.0,B53,free_self_diagonal_removed,Diagnostic candidate with only the Eq.23 free-surface self-boundary A_free diagonal removed.,False,-0.1,15.940388723728367,6912.550883245168,-159.40388723728367,16.040388723728366,160.40388723728364,0.3,0.03,534.6796241242789,relative,FAIL,1.0,-1.0,0.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,5,wigley_iii,Fn0.4,2.0,B53,free_self_diagonal_opposite_sign,Diagnostic candidate with only the Eq.23 free-surface self-boundary A_free diagonal sign reversed.,False,-0.1,-292.72163074181776,-126938.75928616904,2927.2163074181776,292.62163074181774,2926.216307418177,0.3,0.03,9754.054358060592,relative,FAIL,1.0,-1.0,-1.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,5,wigley_iii,Fn0.4,2.0,B53,inner_a_normalized_by_2pi,Diagnostic candidate that applies a 1/(2*pi) normalization to all inner-domain A blocks.,False,-0.1,15.696932092171563,6806.975894914127,-156.96932092171562,15.796932092171563,157.96932092171562,0.3,0.03,526.5644030723854,relative,FAIL,0.15915494309189535,-1.0,1.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,6,wigley_iii,Fn0.4,1.0,A55,current_default,Current production default.,True,0.063,-0.10190115501066861,-73.3229760879266,-1.617478650962994,0.1649011550106686,2.6174786509629935,0.15,0.00945,17.449857673086623,relative,FAIL,1.0,-1.0,1.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,6,wigley_iii,Fn0.4,1.0,A55,free_self_diagonal_removed,Diagnostic candidate with only the Eq.23 free-surface self-boundary A_free diagonal removed.,False,0.063,-7.00180808268261,-5038.151005894272,-111.1398108362319,7.064808082682609,112.13981083623189,0.15,0.00945,747.5987389082127,relative,FAIL,1.0,-1.0,0.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,6,wigley_iii,Fn0.4,1.0,A55,free_self_diagonal_opposite_sign,Diagnostic candidate with only the Eq.23 free-surface self-boundary A_free diagonal sign reversed.,False,0.063,122.08227522615354,87844.30113897879,1937.8138924786276,122.01927522615354,1936.8138924786276,0.15,0.00945,12912.092616524184,relative,FAIL,1.0,-1.0,-1.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,6,wigley_iii,Fn0.4,1.0,A55,inner_a_normalized_by_2pi,Diagnostic candidate that applies a 1/(2*pi) normalization to all inner-domain A blocks.,False,0.063,-6.306613016508636,-4537.923396028789,-100.10496851601009,6.3696130165086355,101.10496851601009,0.15,0.00945,674.0331234400672,relative,FAIL,0.15915494309189535,-1.0,1.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,7,wigley_iii,Fn0.4,1.0,B55,current_default,Current production default.,True,0.09,1.744839140379863,2269.9489109069536,19.38710155977626,1.654839140379863,18.387101559776255,0.15,0.0135,122.58067706517504,relative,FAIL,1.0,-1.0,1.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,7,wigley_iii,Fn0.4,1.0,B55,free_self_diagonal_removed,Diagnostic candidate with only the Eq.23 free-surface self-boundary A_free diagonal removed.,False,0.09,-1.0043091254441303,-1306.5562049573844,-11.15899028271256,1.0943091254441304,12.15899028271256,0.15,0.0135,81.05993521808374,relative,FAIL,1.0,-1.0,0.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,7,wigley_iii,Fn0.4,1.0,B55,free_self_diagonal_opposite_sign,Diagnostic candidate with only the Eq.23 free-surface self-boundary A_free diagonal sign reversed.,False,0.09,83.80602616579557,109027.47045270419,931.1780685088397,83.71602616579557,930.1780685088397,0.15,0.0135,6201.187123392265,relative,FAIL,1.0,-1.0,-1.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,7,wigley_iii,Fn0.4,1.0,B55,inner_a_normalized_by_2pi,Diagnostic candidate that applies a 1/(2*pi) normalization to all inner-domain A blocks.,False,0.09,0.9695235126886644,1261.3018534460407,10.772483474318495,0.8795235126886645,9.772483474318495,0.15,0.0135,65.14988982878997,relative,FAIL,0.15915494309189535,-1.0,1.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_self_block_candidate_not_hard_gate
