benchmark,source_row,coefficient,candidate_name,candidate_source_column,candidate_description,reference_value,candidate_value,abs_error,rel_error,tolerance,gate_error_ratio,status
ma2005_wigley_iii_coefficients,0,A33,current_default,computed_value,Current production matched-BIE pressure chain: time derivative + pressure gradient + end term.,1.0,10.486101731065332,9.486101731065332,9.486101731065332,0.15,63.24067820710222,FAIL
ma2005_wigley_iii_coefficients,0,A33,time_derivative_flipped_keep_gradient_end,matched_pressure_sign_candidate_time_derivative_flipped_keep_gradient_end_value,Flip only Eq. (30) time-derivative pressure contribution; keep pressure-gradient and end term unchanged.,1.0,-10.486101731065332,11.486101731065332,11.486101731065332,0.15,76.57401154043555,FAIL
ma2005_wigley_iii_coefficients,0,A33,pressure_gradient_flipped_keep_time_end,matched_pressure_sign_candidate_pressure_gradient_flipped_keep_time_end_value,Flip only Eq. (30) forward-speed pressure-gradient contribution; keep time pressure and end term unchanged.,1.0,10.486101731065332,9.486101731065332,9.486101731065332,0.15,63.24067820710222,FAIL
ma2005_wigley_iii_coefficients,0,A33,body_pressure_flipped_keep_end,matched_pressure_sign_candidate_body_pressure_flipped_keep_end_value,Flip the full Eq. (30) body-pressure contribution; keep Eq. (32) end term unchanged.,1.0,-10.486101731065332,11.486101731065332,11.486101731065332,0.15,76.57401154043555,FAIL
ma2005_wigley_iii_coefficients,0,A33,body_pressure_and_end_flipped,matched_pressure_sign_candidate_body_pressure_and_end_flipped_value,Flip Eq. (30) body pressure and the currently assembled end term together.,1.0,-10.486101731065332,11.486101731065332,11.486101731065332,0.15,76.57401154043555,FAIL
ma2005_wigley_iii_coefficients,0,A33,all_terms_flipped,matched_pressure_sign_candidate_all_terms_flipped_value,"Flip Eq. (30), Stokes body forward-speed diagnostic term, and end term together.",1.0,-10.486101731065332,11.486101731065332,11.486101731065332,0.15,76.57401154043555,FAIL
ma2005_wigley_iii_coefficients,1,B33,current_default,computed_value,Current production matched-BIE pressure chain: time derivative + pressure gradient + end term.,2.1,10.801512660825933,8.701512660825934,4.143577457536159,0.15,27.623849716907724,FAIL
ma2005_wigley_iii_coefficients,1,B33,time_derivative_flipped_keep_gradient_end,matched_pressure_sign_candidate_time_derivative_flipped_keep_gradient_end_value,Flip only Eq. (30) time-derivative pressure contribution; keep pressure-gradient and end term unchanged.,2.1,10.801512660825933,8.701512660825934,4.143577457536159,0.15,27.623849716907724,FAIL
ma2005_wigley_iii_coefficients,1,B33,pressure_gradient_flipped_keep_time_end,matched_pressure_sign_candidate_pressure_gradient_flipped_keep_time_end_value,Flip only Eq. (30) forward-speed pressure-gradient contribution; keep time pressure and end term unchanged.,2.1,-9.111096338104153,11.211096338104152,5.33861730385912,0.15,35.590782025727464,FAIL
ma2005_wigley_iii_coefficients,1,B33,body_pressure_flipped_keep_end,matched_pressure_sign_candidate_body_pressure_flipped_keep_end_value,Flip the full Eq. (30) body-pressure contribution; keep Eq. (32) end term unchanged.,2.1,-9.111096338104153,11.211096338104152,5.33861730385912,0.15,35.590782025727464,FAIL
