benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,candidate_name,candidate_order,candidate_description,candidate_is_current_default,candidate_recomputed_matched_bie,known_potential_rhs_scale,unknown_normal_column_scale,reference_value,computed_value,raw_computed_value,raw_to_reference_raw_ratio,abs_error,rel_error,tolerance,near_zero_abs_tolerance,effective_abs_tolerance,gate_error_ratio,current_default_gate_error_ratio,gate_ratio_delta_vs_current,error_metric,candidate_gate_status,matched_heave_free_surface_potential_norm_max,matched_pitch_free_surface_potential_norm_max,matched_heave_inner_free_surface_normal_derivative_norm_max,matched_pitch_inner_free_surface_normal_derivative_norm_max,matched_heave_free_surface_potential_increment_to_normal_derivative_gain_max,matched_heave_free_surface_potential_increment_normal_derivative_phase_deg_median,matched_selected_body_pressure_to_body_potential_gain_max,matched_selected_body_pressure_forward_to_time_norm_ratio_max,matched_selected_pressure_gradient_component_value,provider_route,provider_formulation,gate_role,failure_reason
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,current_default,0,Current default: Eq.23 keeps -A_free*phi_free on the RHS and -B_free*phi_n_free in the unknown columns.,True,False,1.0,1.0,1.0,10.486101731065332,838.3638333986734,10.486101731065332,9.486101731065332,9.486101731065332,0.15,0.0,0.15,63.24067820710222,63.24067820710222,0.0,relative,FAIL,2.174845296935436,2.714845545624616,6.305133419679557,8.249782515440636,0.38960644826773155,180.0,82304.20986116356,44.400550403529316,0.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,known_phi_free_rhs_removed,1,Diagnostic candidate that removes only the known inner-free-surface potential RHS contribution.,False,True,0.0,1.0,1.0,1.06129974890338,84.85091492482523,1.06129974890338,0.06129974890337997,0.06129974890337997,0.15,0.0,0.15,0.4086649926891998,63.24067820710222,-62.832013214413024,relative,PASS,7.708134985336617,9.519266283533891,1.3662385572595828,1.6394879275989471,4.4838142799562934,180.0,81415.78498421444,43.92102849152328,0.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,known_phi_free_rhs_flipped,2,Diagnostic candidate that reverses only the known inner-free-surface potential RHS sign.,False,True,-1.0,1.0,1.0,-101.7915334267919,-8138.233097472013,-101.7915334267919,102.7915334267919,102.7915334267919,0.15,0.0,0.15,685.276889511946,63.24067820710222,622.0362113048438,relative,FAIL,226.25759135934183,346.0755418758129,1402.2139585847567,2145.4639480100577,0.09394158793864205,180.0,80303.59811169132,43.32072857184781,0.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,unknown_phi_n_free_column_removed,3,Diagnostic candidate that removes only the unknown inner-free-surface normal-derivative column.,False,False,1.0,0.0,1.0,,,,,,0.15,,,,63.24067820710222,,exception,FAIL,,,,,,,,,,,,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,Singular matrix
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,unknown_phi_n_free_column_flipped,4,Diagnostic candidate that reverses only the unknown inner-free-surface normal-derivative column sign.,False,True,1.0,-1.0,1.0,-101.7915334267919,-8138.233097472013,-101.7915334267919,102.7915334267919,102.7915334267919,0.15,0.0,0.15,685.276889511946,63.24067820710222,622.0362113048438,relative,FAIL,226.25759135934183,346.0755418758129,1402.2139585847567,2145.4639480100577,0.09394158793864205,180.0,80303.59811169132,43.32072857184781,0.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,both_free_blocks_removed,5,Diagnostic candidate that removes both Eq.23 inner-free-surface coupling blocks.,False,False,0.0,0.0,1.0,,,,,,0.15,,,,63.24067820710222,,exception,FAIL,,,,,,,,,,,,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,Singular matrix
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,known_phi_free_rhs_one_over_2pi,6,Diagnostic candidate that applies the canonical 1/(2*pi) BIE normalization only to the known A_free*phi_free RHS block.,False,True,0.15915494309189535,1.0,1.0,3.8899383402663728,311.0005703042965,3.8899383402663728,2.8899383402663728,2.8899383402663728,0.15,0.0,0.15,19.266255601775818,63.24067820710222,-43.9744226053264,relative,FAIL,5.306327008473693,6.461453961607405,3.2448199508670603,3.961832445807534,0.4992146211271441,180.0,81468.5843324911,43.94952669286707,0.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,unknown_phi_n_free_column_one_over_2pi,7,Diagnostic candidate that applies the canonical 1/(2*pi) BIE normalization only to the unknown B_free*phi_n_free column block.,False,True,1.0,0.15915494309189535,1.0,10.566137396292502,844.7626848335856,10.566137396292502,9.566137396292502,9.566137396292502,0.15,0.0,0.15,63.77424930861668,63.24067820710222,0.5335711015144611,relative,FAIL,4.266433754879539,5.137118700117665,57.150711152511526,69.14475654749045,0.17641391891992975,180.0,141271.85853036918,76.22452249835888,0.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,both_free_blocks_one_over_2pi,8,Diagnostic candidate that applies the canonical 1/(2*pi) BIE normalization to both inner-free-surface Eq.23 blocks.,False,True,0.15915494309189535,0.15915494309189535,1.0,10.486101731065332,838.3638333986734,10.486101731065332,9.486101731065332,9.486101731065332,0.15,0.0,0.15,63.24067820710222,63.24067820710222,0.0,relative,FAIL,13.664956015093354,17.057877643530535,39.616321662337555,51.834912288443654,0.3896064482677314,180.0,82304.20986116353,44.4005504035293,0.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,known_phi_free_rhs_2pi,9,Diagnostic candidate that applies a 2*pi scale only to the known A_free*phi_free RHS block.,False,True,6.283185307179586,1.0,1.0,10.566137396292502,844.7626848335856,10.566137396292502,9.566137396292502,9.566137396292502,0.15,0.0,0.15,63.77424930861668,63.24067820710222,0.5335711015144611,relative,FAIL,0.6790240214631943,0.8175978343735383,9.095818181139313,11.004729793418797,0.17641391891992975,180.0,141271.85853036944,76.22452249835904,0.0,matched_bie_station_sweep,matched_bie,diagnostic_inner_free_surface_block_coupling_candidate_not_hard_gate,
