time_s,x_from_transom_m,side,status,common_width_m,elevation_rms_over_beam,elevation_max_over_beam,potential_rms_over_speed_beam
0.0,1.0985454545454545,left,COMPARED,0.9208475393003415,0.0,0.0,0.0
0.0,1.0985454545454545,right,COMPARED,0.9208475393003415,0.0,0.0,0.0
0.0015551924611665996,1.0916795454545454,left,COMPARED,0.9182451341545279,0.00027946503896402787,0.0028085219418841996,0.00014503935575987462
0.0015551924611665996,1.0916795454545454,right,COMPARED,0.9182451341545279,0.0002794650389640278,0.0028085219418841996,0.00014503935575987462
0.0031103849223331993,1.0848136363636363,left,COMPARED,0.915900690676569,0.00029621956737483306,0.00297657328438593,0.00010817897973485151
0.0031103849223331993,1.0848136363636363,right,COMPARED,0.915900690676569,0.00029621956737483306,0.00297657328438593,0.00010817897973485151
0.0046655773834997985,1.0779477272727271,left,COMPARED,0.9136502506171275,0.00027559695232583844,0.002767353211791073,5.1447451167360094e-05
0.0046655773834997985,1.0779477272727271,right,COMPARED,0.9136502506171275,0.00027559695232583844,0.002767353211791073,5.1447451167360094e-05
0.006220769844666399,1.071081818181818,left,COMPARED,0.911497469538495,0.00023063934493819401,0.0023081537202067526,1.5132215202823698e-05
0.006220769844666399,1.071081818181818,right,COMPARED,0.911497469538495,0.0002306393449381941,0.0023081537202067526,1.513221520282368e-05
0.007775962305832999,1.0642159090909091,left,COMPARED,0.9091914359588078,0.00028070991457165525,0.002804191674274923,3.202590084700342e-05
0.007775962305832999,1.0642159090909091,right,COMPARED,0.9091914359588078,0.0002807099145716553,0.002804191674274923,3.2025900847003424e-05
0.009331154766999597,1.05735,left,COMPARED,0.906055615127715,0.0007417678167374442,0.007422776706190013,0.00030740707579179417
0.009331154766999597,1.05735,right,COMPARED,0.906055615127715,0.0007417678167374443,0.007422776706190013,0.0003074070757917941
0.010886347228166197,1.050484090909091,left,COMPARED,0.9044055360603602,0.0005620562435310892,0.005579385636779921,0.00010087085021730963
0.010886347228166197,1.050484090909091,right,COMPARED,0.9044055360603602,0.0005620562435310892,0.005579385636779921,0.00010087085021730959
0.012441539689332797,1.0436181818181818,left,COMPARED,0.9023202997698214,0.0005410895535017577,0.0053360553464912594,0.00013117973085187223
0.012441539689332797,1.0436181818181818,right,COMPARED,0.9023202997698214,0.0005410895535017576,0.0053360553464912594,0.00013117973085187225
0.013996732150499397,1.0367522727272727,left,COMPARED,0.899402089899159,0.0009015390290738093,0.008948014828651485,0.00023142013033802583
0.013996732150499397,1.0367522727272727,right,COMPARED,0.899402089899159,0.0009015390290738096,0.008948014828651488,0.00023142013033802583
0.015551924611665997,1.0298863636363635,left,COMPARED,0.8978422832991061,0.000621819758781208,0.005992067904430096,5.693582877682202e-05
0.015551924611665997,1.0298863636363635,right,COMPARED,0.8978422832991061,0.0006218197587812079,0.005992067904430096,5.693582877682198e-05
0.017107117072832596,1.0230204545454544,left,COMPARED,0.8958441075009378,0.0005714162856869786,0.0053339924646366894,0.00016631705493586936
0.017107117072832596,1.0230204545454544,right,COMPARED,0.8958441075009378,0.0005714162856869786,0.005333992464636692,0.00016631705493586936
0.018662309533999194,1.0161545454545453,left,COMPARED,0.8933978600565382,0.0006971149336891607,0.006499311909314546,0.00010182125736586756
0.018662309533999194,1.0161545454545453,right,COMPARED,0.8933978600565382,0.0006971149336891603,0.006499311909314544,0.00010182125736586754
