iteration,step_factor,exact_objective,exact_relative_decrease,low_mode_objective,predicted_low_mode_objective,trust_ratio,maximum_displacement_ratio,condition_number,condition_number_ratio,dipole_coefficient,root_relative_mismatch,curvature_energy,curvature_energy_ratio,maximum_turning_angle_deg,accepted,rejection_reason
1,1.0,0.07131489855610187,0.03397589826598834,0.0713377309591624,0.07203722922081694,1.3916836355927642,0.2738567550036766,29758.220747157127,1.0995963454247304,2.8350299034043793,0.0018809930166808601,22.10618920933542,1.021449075916736,21.852971486280367,False,displacement_limit
1,0.5,0.0724157234905586,0.01906423969245221,0.07242886790340408,0.07270705182454242,1.249256901959114,0.1376797838855423,37341.6708861161,1.3798124957571245,2.834581469048835,0.002870698261964862,21.90616158204369,1.0122065043852906,21.097372810499028,True,
1,0.25,0.07307952677448115,0.010072430350188089,0.07308769464560827,0.07320929953694782,1.1981163855857686,0.06931044513725812,43221.21554651982,1.5970676158220245,2.8343441590072525,0.003468052145504557,21.78165361897813,1.006453430320228,20.719566868409355,True,
1,0.125,0.07344121597368879,0.0051730265671681396,0.07344673116260339,0.07350225749578619,1.1730615239587552,0.03507146414735019,47040.26597384901,1.7381853905896947,2.8342220787612566,0.003792403179072579,21.71356206249551,1.003307159527543,20.5311127030271,True,
1,0.0625,0.0736297278380171,0.002619464715562767,0.07363385794921817,0.0736591950008643,1.1545791835771892,0.017941546680598327,49249.30993845487,1.8198117986670397,2.834160155883462,0.003961009481569499,21.67821586180582,1.0016739361940339,20.437029676549358,True,
1,0.03125,0.07372593015485783,0.0013163182680125108,0.07372935080328447,0.07374027838481807,1.131933442621829,0.009376548623211745,50442.666359670235,1.8639075250448645,2.834128970024518,0.004046922163740443,21.66024398246761,1.000843519003234,20.390026851531918,True,
2,1.0,0.07074129123517398,0.02312249570499601,0.07076070749676364,0.07150997449393781,1.8272346974377889,0.2373737938424396,26948.19049408465,0.7216653635095953,2.8354182284098486,0.0006203766637671112,22.31340860886183,1.0185905241907809,22.341479736911076,True,
2,0.5,0.07147394423511066,0.01300517636298583,0.07148579985348984,0.07179531673245948,1.4988934677597354,0.11934790155234676,30595.778849199807,0.8193468080876781,2.8350129330103395,0.0016574520906976514,22.139048887552633,1.0106311324618293,21.729999487253178,True,
2,0.25,0.0719174969913371,0.006880087296047792,0.07192548841695873,0.07206363704656187,1.3923713393646626,0.060176612411897125,33624.86730967423,0.9004649902309592,2.8348004489066367,0.00224123912105085,22.029624032332865,1.0056359691234258,21.418781788664692,True,
2,0.125,0.07215971223965517,0.003535299221816125,0.07216564717810962,0.07222920950232344,1.3407911911339934,0.030561976013264117,35431.76585805227,0.9488532520708935,2.834691652630341,0.0025494665112749657,21.969586048857604,1.0028952797858435,21.262130588542117,True,
2,0.0625,0.0722860965574853,0.0017900385002739558,0.07229095830020482,0.07231984880488182,1.3013361084113237,0.01575056715378928,36424.525305331386,0.9754390856375493,2.8346365954704655,0.002707670421930503,21.93834360393853,1.0014690853883421,21.183572015721516,True,
2,0.03125,0.072350630078592,0.0008988850601636072,0.07235494222095626,0.07236713172483042,1.2508553392018913,0.008347534997774509,36945.769461760225,0.9893978653080819,2.8346088992843788,0.0027877959924370362,21.922434336224427,1.000742839137737,21.1442372089484,True,
