stage,panel_count,exact_objective,signed_root_defect,root_relative_mismatch,condition_number,dipole_coefficient
source,320,0.003248051268250527,5.8686051048263436e-05,5.8686051048263436e-05,190853.89332891608,7.647789454258359
source,640,0.0027278692681558495,0.00013696179793734346,0.00013696179793734346,427152.4688461389,7.645412935272499
source,1280,0.0026542689094745443,0.00017232511916653892,0.00017232511916653892,1026351.6954901639,7.643739174376201
candidate_factor_1,320,0.002768648454045114,-0.00017917479884089327,0.00017917479884089327,190804.6715366572,7.642025686920048
candidate_factor_1,640,0.0022465523733618807,-0.00010137707662424229,0.00010137707662424229,427036.0131891806,7.639690162154291
candidate_factor_1,1280,0.002170904618431246,-6.651763904579431e-05,6.651763904579431e-05,1026067.6680992858,7.6380231342895835
candidate_factor_0.5,320,0.0029945741817810436,-6.021113535766003e-05,6.021113535766003e-05,190828.84525522328,7.64489521363972
candidate_factor_0.5,640,0.0024733182853388345,1.7807641352935306e-05,1.7807641352935306e-05,427094.24483456084,7.642557413906146
candidate_factor_0.5,1280,0.0023986574041312573,5.296165885406794e-05,5.296165885406794e-05,1026208.6657212947,7.640887105045821
candidate_factor_0.25,320,0.0031178581335595647,-7.54450076778413e-07,7.54450076778413e-07,190841.36966168554,7.646325673863632
candidate_factor_0.25,640,0.0025971184755393677,7.740806482750094e-05,7.740806482750094e-05,427123.35765482613,7.643986641885755
candidate_factor_0.25,1280,0.002522978944927075,0.00011268339403525776,0.00011268339403525776,1026279.7852804313,7.64231463068303
