coarse,fine,field,relative_complex_l2,max_abs_difference,within_screening
81,161,integrated_potential,0.0030896550978339677,1.4230996489553417e-07,True
81,161,force_per_length,0.0058042001274262464,0.0012845507729664913,True
161,321,integrated_potential,0.0007779405356117174,3.563357697206919e-08,True
161,321,force_per_length,0.0014569644778861125,0.0003221262469351573,True
