time_s,force_real,force_imag
0.0,-0.00037784622605157084,-5.4327660014655834e-05
0.008642103177064818,0.0007769640819784948,7.304998668978075e-05
0.017284206354129635,0.0024465640383060983,0.0003557252171111031
0.02592630953119445,0.00506998865255159,0.0010359882289641038
0.03456841270825927,0.008489198809528397,0.0022733506497490566
0.04321051588532409,0.012534883429802978,0.004198286495775015
0.0518526190623889,0.017029986869987156,0.006912225189818575
0.06049472223945372,0.02179312603235716,0.01048788372762529
0.06913682541651854,0.026641869619577867,0.01496991990069984
0.07777892859358336,0.03139585387138827,0.02037588648699778
0.08642103177064818,0.03587971113504657,0.026697464488468832
0.095063134947713,0.03992578979087208,0.03390195183527718
0.1037052381247778,0.043376646410687024,0.04193398250991076
0.11234734130184262,0.04608729357296462,0.05071744979420229
0.12098944447890744,0.04792718945546315,0.06015760633064325
0.12963154765597226,0.048781958100479555,0.07014331292945952
0.13827365083303708,0.04855483201401916,0.08054940754470863
0.1469157540101019,0.047167811450624,0.09123916557376277
0.15555785718716672,0.04456253732325064,0.10206682258596836
0.16419996036423154,0.040700877179071455,0.11288013074053348
0.17284206354129636,0.03556522613999753,0.12352292050129271
0.18148416671836118,0.029158527159849696,0.13383763979725244
0.190126269895426,0.02150401740700835,0.143667843519269
0.19876837307249082,0.012644710010882241,0.152860607190708
0.2074104762495556,0.0026426227532999917,0.16126883980211695
0.21605257942662043,-0.00842223252003025,0.16875347214534747
0.22469468260368525,-0.02045308398694748,0.1751854985018003
0.23333678578075007,-0.03333783984152738,0.18044785121064585
0.24197888895781489,-0.04695071495746142,0.184437089447447
0.2506209921348797,-0.06115402349018277,0.18706488546932185
0.2592630953119445,-0.0758001153191368,0.18825929362235017
0.26790519848900934,-0.0907334330084547,0.1879657895540699
0.27654730166607416,-0.10579266491762633,0.18614806931851124
0.285189404843139,-0.12081296925998473,0.18278860038722652
0.2938315080202038,-0.13562824330828424,0.17788891896623799
0.3024736111972686,-0.15007341158362736,0.17146967044319733
0.31111571437433344,-0.16398670671953586,0.16357039223110678
0.31975781755139826,-0.17721191674636566,0.1542490407183057
0.3283999207284631,-0.18960057278119147,0.14358126646583225
0.3370420239055279,-0.20101405153747787,0.13165944420020123
0.3456841270825927,-0.21132556769868419,0.11859146651758254
0.35432623025965754,-0.220422032039703,0.10449931252758493
0.36296833343672236,-0.22820575222832218,0.08951740490319104
0.3716104366137872,-0.23459595448316425,0.0737907709504917
0.380252539790852,-0.23953010568799138,0.057473025352602965
0.3888946429679168,-0.24296501715284785,0.0407241941630409
0.39753674614498163,-0.24487771296686311,0.023708401412022562
0.40617884932204645,-0.2452660478067944,0.006591441330571974
0.4148209524991112,-0.2441490611453475,-0.010461739323296566
0.42346305567617604,-0.24156705702635634,-0.027289623049145006
0.43210515885324086,-0.23758140090922333,-0.04373674059727111
0.4407472620303057,-0.23227402749812062,-0.05965629934808387
0.4493893652073705,-0.22574665593813917,-0.07491279253264914
0.4580314683844353,-0.21811971127623794,-0.08938456022630434
0.46667357156150013,-0.20953095366139168,-0.10296627272843364
0.47531567473856495,-0.20013381941008648,-0.11557130683613505
0.48395777791562977,-0.19009548078836333,-0.127133985639901
0.4925998810926946,-0.17959463412993254,-0.13761165282689053
0.5012419842697594,-0.16881902866741064,-0.14698655307692393
0.5098840874468242,-0.15796275114016117,-0.15526749097423945
0.518526190623889,-0.14722328381444044,-0.16249124192271272
0.5271682938009539,-0.13679835599978163,-0.16872368982941555
0.5358103969780187,-0.1268826114908906,-0.17406066780003726
0.5444525001550835,-0.11766411664021276,-0.17862847976627438
