component,sigma,damping_center_from_cg_m,damping_center_from_transom_m,damping_center_from_transom_over_beam,response_calibration_used
bem,1.4,0.018843070292397013,0.486303070292397,1.5292549380264056,False
front,1.4,0.5236825086340904,0.9911425086340904,3.1168003416166363,False
longitudinal_bin_aft_post_chine,1.4,-0.3451423113707159,0.1223176886292841,0.3846468195889437,False
longitudinal_bin_forward_post_chine,1.4,0.11645476829921271,0.5839147682992127,1.8362099632050715,False
longitudinal_bin_middle_post_chine,1.4,-0.11143959174719961,0.35602040825280035,1.1195610322415106,False
longitudinal_bin_pre_chine,1.4,0.3393291555694284,0.8067891555694284,2.5370728162560643,False
post_chine_bem,1.4,-0.0728553078835585,0.3946046921164415,1.2408952582278034,False
pre_chine_bem,1.4,0.3393291555694284,0.8067891555694284,2.5370728162560643,False
raw_bem,1.4,0.018843070292397013,0.486303070292397,1.5292549380264056,False
resolved_station_bem,1.4,0.032467707147856274,0.4999277071478563,1.5720997080121266,False
total,1.4,0.13019903002559938,0.5976590300255994,1.8794309120301866,False
transom,1.4,nan,nan,nan,False
transom_extrapolation,1.4,-0.4366307820135267,0.030829217986473312,0.09694722637255758,False
