scope,metric,eligible_point_count,median_relative_error,nrmse,median_limit,nrmse_limit,status
faltinsen_ch9,heave_motion,7,0.6280985236340985,1.9660301206932087,0.15,0.2,FAIL
faltinsen_ch9,pitch_motion,7,0.48843366413894485,2.0212620384526665,0.15,0.2,FAIL
matched_delta_added_only,heave_motion,7,0.6987464868473985,2.2835902831634796,0.15,0.2,FAIL
matched_delta_added_only,pitch_motion,7,0.5255894628763194,2.196629135436574,0.15,0.2,FAIL
matched_delta_damping_only,heave_motion,7,0.44882040995699857,3.4198334982800587,0.15,0.2,FAIL
matched_delta_damping_only,pitch_motion,7,0.509935600928011,3.735724797555628,0.15,0.2,FAIL
matched_delta_added_and_damping,heave_motion,7,0.6041906104036372,3.1169621102898777,0.15,0.2,FAIL
matched_delta_added_and_damping,pitch_motion,7,0.5197938853912396,3.282276845922806,0.15,0.2,FAIL
matched_raw_added_only,heave_motion,7,1.2586540994603317,2.930457924194872,0.15,0.2,FAIL
matched_raw_added_only,pitch_motion,7,0.5700013094186276,1.8077966944785484,0.15,0.2,FAIL
matched_raw_damping_only,heave_motion,7,0.5177276864005571,0.49995763656248055,0.15,0.2,FAIL
matched_raw_damping_only,pitch_motion,7,0.30142854904101873,0.2326534638644466,0.15,0.2,FAIL
matched_raw_added_and_damping,heave_motion,7,0.19384703662730748,0.24830202865910195,0.15,0.2,FAIL
matched_raw_added_and_damping,pitch_motion,7,0.2101969962337025,0.22822326523918457,0.15,0.2,FAIL
