smoothing_enabled,substeps_per_plane_interval,time_step_s,body_panels_per_side,free_surface_panels_per_side,uniform_near_body_panel_count,free_surface_smoothing_node_count,knuckle_separation_model,pressure_interpolation,jet_cut_distance_fraction,jet_cut_threshold_over_beam,separation_event_count,first_separation_from_leading_over_beam,raw_vertical_force_coefficient,stern_corrected_vertical_force_coefficient,max_potential_bvp_relative_residual,max_pressure_bvp_relative_residual,max_contact_constraint_abs_m,maximum_jet_cut_count,runtime_s,response_calibration_used,raw_vertical_force_coefficient_change_from_previous_percent,stern_corrected_vertical_force_coefficient_change_from_previous_percent
True,8,0.0031103849223331993,12,15,6,7,artificial_surface,constant_panel,0.25,,1,1.6151605054724643,0.07577542751852394,0.059350726952605605,2.283420186316849e-15,2.227602009706902e-15,0.0,54,12.7332902001217,False,,
True,16,0.0015551924611665996,12,15,6,7,artificial_surface,constant_panel,0.25,,1,1.573522435571857,0.0733681599015388,0.05715088486172037,1.6130054288363631e-15,2.2434362285592575e-15,0.0,46,18.020174300298095,False,3.1768446524391534,3.7065124621673404
True,32,0.0007775962305832998,12,15,6,7,artificial_surface,constant_panel,0.25,,1,1.540900784290607,0.07230364334385919,0.056407099780402856,1.896616921499804e-15,3.4431990498695005e-15,0.0,44,27.94175700005144,False,1.4509244324898019,1.301441059254183
