outer_panel_index,xi_mid,eta_mid,panel_length,arc_mid,normalized_arc_mid,s_nu,k_contribution,k_fraction,cumulative_k_fraction,s_nu_left,s_nu_right,k_contribution_linear_exact,s_nu_weak_projected_left,s_nu_weak_projected_right,k_contribution_weak_projected
0,4.313993117111163,0.42339739422661765,0.005467688476507507,0.0027338442382537536,0.00017348353184158135,-0.07115929424107925,2.768643427344227e-05,0.007265550057735001,0.007265550057735001,-0.7835182833491974,0.6411996948670389,0.0009525556531738297,-0.7871601321965371,0.6484833925617184,0.0009653960571732174
1,4.316080706538642,0.41818600193609257,0.0057607633540559386,0.008348070153535475,0.000529749527801079,0.4342438177361032,0.0010862938569875251,0.28506821490276396,0.29233376496049895,0.6644483040253331,0.20403933144687336,0.0011880560239840795,0.6484833925617184,0.22559943750571423,0.0011861859265621087
2,4.318445118831528,0.41276845023246694,0.0060638210114751295,0.01426036233630101,0.0009049301305557901,0.2187520938429648,0.00029016886494742227,0.07614690980607541,0.36848067476657437,0.2595238103531541,0.17798037733277638,0.00029352889460346193,0.22559943750571423,0.22003099003852522,0.0003010638831169596
3,4.321215452306165,0.40719404188611363,0.006391055168017365,0.020487800426047257,0.0013001091751468784,0.20638401342709134,0.0002722229109864152,0.07143748332125803,0.4399181580878324,0.26747853566418733,0.14528949118999357,0.0002801745353845019,0.22003099003852522,0.19257687997768652,0.0002724131297604055
4,4.324449850249783,0.40148158288901226,0.006742249886345256,0.027054452953228565,0.0017168139957256573,0.16212621062347976,0.00017721941912938948,0.046506406284409246,0.4864245643722417,0.23483441511316627,0.08941800613379147,0.00018910034893161626,0.19257687997768652,0.12926063851178193,0.00017684197298048116
5,4.32812059204633,0.39561305358861126,0.007104160303230374,0.03397765804801638,0.002156144830563051,0.08015619370883309,4.564433928048637e-05,0.011978112768848866,0.49840267714109054,0.16259333837341483,-0.002280950955750427,6.173735293329914e-05,0.12926063851178193,0.02886341672306118,5.037397425688637e-05
6,4.332192339304889,0.38957305530831365,0.00746616197630424,0.041262819187783684,0.0026184445720322876,-0.014409945611644215,1.5503226456909719e-06,0.0004068399229984146,0.49880951706408894,0.06293034498074901,-0.09175023620403655,1.643665640662331e-05,0.02886341672306118,-0.05116846315033928,4.913759363676017e-06
7,4.336697243438898,0.3833929395180893,0.007832709876944394,0.048912255114408,0.0031038603622143652,-0.06030022737841634,2.8480652844157296e-05,0.007473971074516059,0.5062834881386049,0.0024441248927797865,-0.12304457964961113,3.875939724032842e-05,-0.05116846315033928,-0.06071203752100733,2.457044008212709e-05
8,4.341737360841073,0.3771535628905711,0.008215270982835284,0.05693624554429784,0.0036130445285110883,-0.03786159791760424,1.1776595857378773e-05,0.0030904466016259584,0.509373934740231,0.014775796630215776,-0.09049899246542426,1.936393343726567e-05,-0.06071203752100733,-0.007267113751957961,1.1446511566471623e-05
9,4.347410488604107,0.37093439091877867,0.008629083093707418,0.06535842258256919,0.0041474967105153086,0.021366108784219406,3.9392679400716445e-06,0.0010337535027714032,0.5104076882430024,0.076667937688351,-0.03393572011991264,1.2736020676800932e-05,-0.007267113751957961,0.04732125660265435,5.60379362088293e-06
