index,x_m,free_panels,minimum_free_length_m,minimum_eigenvalue_real,maximum_eigenvalue_real,maximum_eigenvalue_imag,trapezoidal_radius_dt161,trapezoidal_radius_dt321,map_residual,rhs_replay_error
80,1.5,88,0.017045454545454475,1.6225170712643884,148.31951118861608,0.0,1.0000000000000002,1.0000000000000002,1.0085835911772412e-15,0.0
60,1.12500075,92,0.00011715656253280526,1.6061790153420294,4716.927967826634,1.9227541693034164e-14,1.0000000000000002,1.0000000000000002,1.0626572957630406e-15,0.0
40,0.7500015,98,0.0018748650001649964,1.5534295716722673,577.1766180876609,1.2166333344044618e-14,1.0000000000000002,1.0000000000000002,1.137365913966557e-15,0.0
20,0.37500225,110,0.0019918415629978092,1.4465901665377137,550.5381272485583,1.6965888502627037e-14,1.0000000000000002,1.0000000000000002,1.2463939478750829e-15,0.0
1,0.0187529625,128,0.0030459450604437355,1.291626594801983,420.9439935312463,0.0,1.0000000000000002,1.0000000000000002,1.6355019576684718e-15,0.0
