panel_count,arc_fraction_lower,arc_fraction_upper,residual_energy_fraction
320,0.0,0.1,0.8710944960578092
320,0.1,0.25,0.011803446315808541
320,0.25,0.5,0.00507412830702955
320,0.5,0.75,0.007504403489948598
320,0.75,0.9,0.010799050561317594
320,0.9,1.0,0.09372447526808642
640,0.0,0.1,0.6749609069645117
640,0.1,0.25,0.010740677792734013
640,0.25,0.5,0.010010703843303185
640,0.5,0.75,0.018304231908042416
640,0.75,0.9,0.026203600819496093
640,0.9,1.0,0.2597798786719126
1280,0.0,0.1,0.549974495028869
1280,0.1,0.25,0.008522755694946545
1280,0.25,0.5,0.01250697410117542
1280,0.5,0.75,0.02441969772391858
1280,0.75,0.9,0.034789127186697924
1280,0.9,1.0,0.36978695026439257
