phase,outer_iteration,source_shape_dipole_coefficient,target_shape_dipole_coefficient,source_formal_exact_objective,rebased_formal_exact_objective,formal_exact_relative_change,maximum_displacement_ratio,rebased_root_relative_mismatch,rebased_condition_number
pre_linearization,1,8.115361870922662,8.11536133968534,0.0010680327319049342,0.00106803272332876,-8.029879627991025e-09,1.029465321591879e-08,9.273599468561723e-07,253117.11105840106
final_synchronization,1,8.11536133968534,8.11765293577109,0.0010420194410658433,0.0010420301625658182,1.0289155415347422e-05,1.775172641617666e-05,9.943795225633793e-10,253113.57353867486
