count,field,source,lag,mode,reference,quad_error_estimate,value,absolute_error
64,0,0,1,green,0.08821332589225193,9.793646548434057e-16,0.08820688723062153,6.438661630400744e-06
64,0,0,1,normal,-0.015838415190663906,1.7584173218247907e-16,-0.015839972350142294,1.5571594783880816e-06
64,0,0,128,green,0.1092745049620967,1.4369932207313566e-12,0.10864362729940956,0.0006308776626871432
64,0,0,128,normal,0.0018186677434228436,6.341355100308606e-12,0.001817187087454885,1.480655967958655e-06
64,0,0,512,green,0.014016592820216174,3.2755883314249308e-12,0.012566178772224655,0.0014504140479915193
64,0,0,512,normal,0.005144486503001895,9.996575330132653e-13,0.004614642639287779,0.0005298438637141153
64,0,95,1,green,0.0011563715779932136,1.564690963059244e-12,0.0009528791212445467,0.00020349245674866688
64,0,95,1,normal,0.01691862674020579,4.058931532893717e-11,0.013810335293053167,0.003108291447152625
64,0,95,128,green,0.27039814981972643,3.873392917530368e-11,0.27121986639580314,0.0008217165760767142
64,0,95,128,normal,-0.32915847728911735,4.5010093152444686e-14,-0.3067948134469202,0.022363663842197123
64,0,95,512,green,0.14929699942566854,1.4163840927217742e-11,0.14706077466604595,0.002236224759622596
64,0,95,512,normal,-1.9737502539820704,1.0018021527163816e-10,-2.0087657390524245,0.035015485070354124
64,0,48,1,green,0.0027291515884057295,1.167836003072918e-11,0.00272390775268676,5.243835718969549e-06
64,0,48,1,normal,-4.92145145685467e-05,1.044842525575847e-14,-4.921782508703053e-05,3.3105184838301636e-09
64,0,48,128,green,0.16325912888409982,1.3243213627502429e-11,0.16258706903071118,0.0006720598533886402
64,0,48,128,normal,-0.03341589279251827,7.106758399978136e-11,-0.033416318968253526,4.2617573525749464e-07
64,0,48,512,green,0.026878001497514216,4.892662994583977e-11,0.024137308675607087,0.0027406928219071286
64,0,48,512,normal,0.00029261156022593847,1.0613519244523014e-11,0.0002907429240024457,1.8686362234927563e-06
64,24,48,1,green,0.002754982714289664,4.8666685102411594e-12,0.0027497367823999933,5.245931889670541e-06
