xi,eta
4.658433624848022,-0.0901402894175209
4.656092807731042,-0.09198161662066737
4.653898626622457,-0.09416804797488552
4.651533182344586,-0.09635468679628403
4.64914743549355,-0.09870497756712068
4.6467670693513545,-0.10124476096792907
4.644385124889665,-0.10396694180285475
4.642086618000915,-0.10693961921342146
4.639838772956535,-0.1101302299392484
4.637651363819386,-0.11354167922562589
4.635535254501329,-0.11717793829289803
4.633628116270572,-0.1211055655246322
4.631936413141909,-0.12530840490879724
4.630431989904037,-0.1297607325140446
4.629165825725632,-0.1344676150612284
4.628257273502097,-0.13943862440645668
4.627664425438721,-0.14464366319843652
4.627443842286804,-0.1500680442395989
4.62763629966248,-0.15568942153974605
4.628196243018383,-0.16148902209989044
4.629197053748375,-0.16743896066194308
4.630648672552898,-0.1735150478475027
4.6325759201412176,-0.17968707378099125
4.634934606893441,-0.18594907345788378
4.63774719230388,-0.19227464314749684
4.641003900706599,-0.19865175693767784
4.644710823521953,-0.20506160035178042
4.648857813045171,-0.2114962636961748
4.65344716054514,-0.21794164598069954
4.658462702015912,-0.22439879112217812
4.663890999709791,-0.23087050107402138
4.6697514868592025,-0.23733339471688988
4.676044694265089,-0.24377965622357975
4.682742978811484,-0.2502318079134793
4.689854502875091,-0.2566791599154239
4.697389135670019,-0.2631086368863137
4.7053336296106885,-0.26953500034724964
4.7136935612072905,-0.27595223031762456
4.722476741789769,-0.28235141994714674
4.731672285362313,-0.2887503121375489
4.741280931484488,-0.2951526243495908
4.75131796127223,-0.30154049222304763
4.761784625271868,-0.30791737831898436
4.772676635979074,-0.3142974086955183
4.784001007365184,-0.3206769960236357
4.7957649555924275,-0.32705228422631877
4.807969455749748,-0.33343144900231086
4.820622277152845,-0.3398105608431799
4.833731224469799,-0.3461856267031322
4.8472971195816825,-0.3525674991527452
4.8613215278894755,-0.35896689805265325
4.875818242171881,-0.3653681951148637
4.890795260714544,-0.37176807972349707
4.906253594017631,-0.37818009054073487
4.922198870088962,-0.3846078280430325
4.938641522216438,-0.39104314223139414
4.955585150605406,-0.39749534606713766
4.973037691137591,-0.4039630029513505
4.991009356409402,-0.41043839512889047
5.009505030513127,-0.41692848681882866
5.028527910377568,-0.42344585633660153
5.048088761815156,-0.4299814455808926
5.068197593691369,-0.43652786803937643
5.088857639295924,-0.44309854000350474
5.110075794062433,-0.4496960642894456
5.131862731359709,-0.45631074796024784
5.154223761947861,-0.4629502301404804
5.177165092426105,-0.46961949939369224
5.200696863756838,-0.4763099133191902
5.224825464791564,-0.4830255927394646
5.249555931920501,-0.4897757046467048
5.274897475959861,-0.4965541478294088
5.300858668227756,-0.503356630024366
5.327444186527456,-0.5101934686279757
5.354660483204232,-0.5170682236465286
5.382517551196747,-0.5239700023197049
5.411021507411581,-0.5309028271154329
5.440176123995172,-0.5378803234404987
5.469991481076143,-0.5448895096290297
5.5004739987083475,-0.5519320441233062
5.531628530974426,-0.5590159977788389
5.563461013390732,-0.5661444050323439
5.595981009144678,-0.5733033158529431
5.629191838524696,-0.5805062167862808
5.66309873597956,-0.5877575156101272
5.697710358775956,-0.5950447766778946
5.7330309668450585,-0.6023753638830797
5.769064907318585,-0.6097556552784339
5.80581869329681,-0.6171806411606133
5.843298157077754,-0.6246475413276062
5.881506710991686,-0.6321647455777714
5.920448795028561,-0.6397346047797603
5.960131247945524,-0.6473459287848639
6.000556381820989,-0.6550098217167125
6.041727977844506,-0.6627287207587391
6.083649982960679,-0.6705029807330772
6.126327554438638,-0.6783250389110874
6.169762961749708,-0.6862016365652905
6.213959613922797,-0.6941319628290601
6.258921391674251,-0.7021110528106669
6.304649020758231,-0.7101502263287611
6.3511445985972665,-0.718251688801384
6.3984120176063115,-0.7264056922786148
6.446454016594917,-0.7346072896984368
6.495268907476897,-0.7428758538653465
6.544859240566849,-0.7512042637693505
6.595226884111099,-0.7595875157950038
6.64637170709761,-0.7680307479293627
6.698293781299156,-0.7765361068006686
6.750994746858451,-0.7850942101721373
6.804472193111067,-0.7937186216646607
6.8587255880581735,-0.8024094637879816
6.9137551798179855,-0.8111599181237048
6.969561514701182,-0.8199590420658611
7.026138685637965,-0.8288347409681512
7.083487678355379,-0.8377690678573687
7.1416058453887885,-0.8467650270326273
7.200490841188797,-0.8558215112503438
7.260138505537371,-0.8649470325465873
7.32054851175184,-0.8741227741120762
7.381713624365869,-0.8833730273689874
7.44363167388775,-0.8926864799033284
7.506298871887233,-0.9020601407740902
7.569711311271185,-0.9114894232920746
7.633861635162015,-0.9209906253011757
7.698746030055393,-0.9305538599678862
7.764359475031229,-0.9401749505424604
7.830695209711769,-0.9498591866039724
7.897746627397716,-0.9596084755124675
