reuse_step,step_factor,panel_count,exact_objective,signed_root_defect,root_relative_mismatch,condition_number
1,1.0,80,0.0017692041522034266,7.852691883954255e-07,7.852691883954255e-07,22855.227648748765
1,1.0,160,0.001228711740599605,7.052168342215778e-07,7.052168342215778e-07,49050.89168740636
1,1.0,320,0.0010233130145257232,1.6403791613600025e-06,1.6403791613600025e-06,115672.06117329614
1,0.5,80,0.001862651179957149,1.9653345408868386e-07,1.9653345408868386e-07,22870.062702550724
1,0.5,160,0.0013436905466384748,6.760083867406395e-07,6.760083867406395e-07,49045.731797012086
1,0.5,320,0.0011511565362589075,1.6240498514607676e-06,1.6240498514607676e-06,115657.92205390244
1,0.25,80,0.0019328432182508517,4.9256559505292565e-08,4.9256559505292565e-08,22879.51990719656
1,0.25,160,0.00143103158129298,6.869836390869749e-07,6.869836390869749e-07,49042.88802136451
1,0.25,320,0.0012476874301621025,1.6261816982421543e-06,1.6261816982421543e-06,115650.77978743796
1,0.125,80,0.001973326890195616,1.2324418484586033e-08,1.2324418484586033e-08,22884.258081290274
1,0.125,160,0.0014813694463178062,6.925134406214015e-07,6.925134406214015e-07,49041.465842690515
1,0.125,320,0.0013032736270590112,1.6240077708647047e-06,1.6240077708647047e-06,115647.22486433797
2,1.0,80,0.001728822991144558,7.630220696223651e-07,7.630220696223651e-07,22910.061926179693
2,1.0,160,0.0011823207789743763,7.343422940236385e-07,7.343422940236385e-07,49056.290157293515
2,1.0,320,0.0009730232567964887,1.6740340445834655e-06,1.6740340445834655e-06,115686.19559325489
2,0.5,80,0.001765106527878313,1.8575520017456073e-07,1.8575520017456073e-07,22855.69219789397
2,0.5,160,0.001224572522086327,7.050385608472293e-07,7.050385608472293e-07,49050.87709877429
2,0.5,320,0.001019370873337359,1.6401077059218858e-06,1.6401077059218858e-06,115672.02301104511
2,0.25,80,0.0018064233805275155,4.624111375943539e-08,4.624111375943539e-08,22860.63766447944
2,0.25,160,0.0012742740006649103,6.649975007731866e-07,6.649975007731866e-07,49048.567227494204
2,0.25,320,0.0010747568625043375,1.6086737636560547e-06,1.6086737636560547e-06,115665.07259482818
2,0.125,80,0.001832753086247555,1.1570875158824638e-08,1.1570875158824638e-08,22865.34689228271
2,0.125,160,0.0013067594496519504,6.704262707730966e-07,6.704262707730966e-07,49047.1495978058
2,0.125,320,0.001110500662342472,1.616501919814076e-06,1.616501919814076e-06,115661.49843814205
3,1.0,80,0.001745335449295076,7.397993955493315e-07,7.397993955493315e-07,22963.5221084762
3,1.0,160,0.0012069936516440217,7.54739138791678e-07,7.54739138791678e-07,49061.78341288784
3,1.0,320,0.0010024848143269241,1.733665695525951e-06,1.733665695525951e-06,115700.11434416394
3,0.5,80,0.0017241391394401898,1.8608732818586848e-07,1.8608732818586848e-07,22910.62916848618
3,0.5,160,0.0011774925631586586,7.342287995415184e-07,7.342287995415184e-07,49056.27523299132
3,0.5,320,0.0009683739821016641,1.6738850153261826e-06,1.6738850153261826e-06,115686.15792298858
3,0.25,80,0.0017368551544182447,4.667261335713876e-08,4.667261335713876e-08,22883.620060921334
3,0.25,160,0.0011913845845103752,7.195806105093205e-07,7.195806105093205e-07,49053.576142563776
3,0.25,320,0.0009832743064531863,1.6638331981360388e-06,1.6638331981360388e-06,115679.05996158358
3,0.125,80,0.001749085592564113,1.1691383062330355e-08,1.1691383062330355e-08,22869.970947995753
3,0.125,160,0.001205612658617703,7.123502541506065e-07,7.123502541506065e-07,49052.226615249994
3,0.125,320,0.0009987035513016273,1.6520038803155584e-06,1.6520038803155584e-06,115675.54261240296
4,1.0,80,0.0018188937809770715,6.933954351815371e-07,6.933954351815371e-07,23015.649182688856
4,1.0,160,0.0013026824353644143,7.583352640276332e-07,7.583352640276332e-07,49067.40387486932
4,1.0,320,0.0011110243112146653,1.7611321835178568e-06,1.7611321835178568e-06,115714.12773689479
4,0.5,80,0.0017412467386533524,1.744259922267892e-07,1.744259922267892e-07,22964.17201798529
4,0.5,160,0.001203170074218944,7.546727737821549e-07,7.546727737821549e-07,49061.76742444331
4,0.5,320,0.0009991383142313624,1.7335059720153636e-06,1.7335059720153636e-06,115700.07680232215
4,0.25,80,0.0017248497599350369,4.375615086226294e-08,4.375615086226294e-08,22937.894748563736
4,0.25,160,0.001180739259614819,7.490535357021155e-07,7.490535357021155e-07,49058.966976870135
4,0.25,320,0.000973168644311537,-3.067135516078082e-05,3.067135516078082e-05,115693.08916166093
4,0.125,80,0.0017225431194393321,1.096338672799921e-08,1.096338672799921e-08,22924.617483492635
4,0.125,160,0.0011766811645595775,7.416876852094257e-07,7.416876852094257e-07,49057.62109146017
4,0.125,320,0.0009678858194481257,1.6761246063671124e-06,1.6761246063671124e-06,115689.6960698865
5,1.0,80,0.0018458014301329846,6.820367093962943e-07,6.820367093962943e-07,23028.46407160571
5,1.0,160,0.0013373657832301616,7.592450024604214e-07,7.592450024604214e-07,49068.80482969936
5,1.0,320,0.001150404441598888,5.486794407716576e-05,5.486794407716576e-05,115717.4894486807
5,0.5,80,0.00175419693214182,1.7154803253867463e-07,1.7154803253867463e-07,22977.333037663884
5,0.5,160,0.0012205202746625665,7.555900415328759e-07,7.555900415328759e-07,49063.17249725047
5,0.5,320,0.001019152599468494,1.7458309247189673e-06,1.7458309247189673e-06,115703.55889058603
5,0.25,80,0.001730523773749203,4.302449369323695e-08,4.302449369323695e-08,22951.23460748526
5,0.25,160,0.0011890038159805797,7.538303363918795e-07,7.538303363918795e-07,49060.356381847145
5,0.25,320,0.0009829480476822164,1.7212615202341429e-06,1.7212615202341429e-06,115696.57836637109
5,0.125,80,0.0017245623388326278,1.077568578590725e-08,1.077568578590725e-08,22938.048195220596
5,0.125,160,0.0011804471279324045,7.490864853372409e-07,7.490864853372409e-07,49058.96604357882
5,0.125,320,0.0009728937242565833,-3.066732375223248e-05,3.066732375223248e-05,115693.0868230904
